Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
spark/Access,true,1,50,true,0,true,1
spark/Response,true,92,1135,true,0,true,1
spark/Route,true,14,229,true,0,true,1
spark/HaltException,true,60,239,true,0,true,1
spark/TemplateViewRoute,true,11,162,true,0,true,1
spark/QueryParamsMap,true,172,2053,true,0,true,1
spark/RequestResponseFactory,true,6,69,true,0,true,1
spark/Filter,true,13,203,true,0,true,1
spark/JettyLogger,true,50,918,true,0,NA,2
spark/Request,true,345,3268,true,40,true,1
spark/Spark,true,106,1672,true,34,true,1
spark/ModelAndView,true,10,124,true,0,true,1
spark/servlet/SparkFilter,true,20,561,true,0,true,2
spark/servlet/SparkApplication,true,0,5,true,0,NA,1
spark/servlet/FilterTools,true,58,657,true,2,true,1
spark/webserver/ResponseWrapper,true,84,861,true,0,true,1
spark/webserver/JettyHandler,true,28,229,true,0,true,1
spark/webserver/SparkServerImpl,true,86,1605,true,3,true,1
spark/webserver/SparkServer,true,8,42,true,0,NA,1
spark/webserver/SparkServerFactory,true,3,104,true,0,true,1
spark/webserver/MatcherFilter,true,113,2035,true,432,true,2
spark/webserver/NotConsumedException,true,0,22,true,0,NA,1
spark/webserver/RequestWrapper,true,146,1425,true,0,true,1
spark/Session,true,56,582,true,0,NA,1
spark/utils/SparkUtils,true,41,213,true,0,true,1
spark/utils/IOUtils,true,32,558,true,0,true,1
spark/utils/MimeParse,true,312,2962,true,64,true,1
spark/AbstractRoute,true,4,120,true,0,true,1
spark/ResponseTransformerRoute,true,5,70,true,0,NA,1
spark/route/SimpleRouteMatcher,true,202,3431,true,42,true,2
spark/route/RouteMatch,true,27,290,true,0,true,1
spark/route/HttpMethod,true,55,160,true,50,true,1
spark/route/RouteMatcher,true,9,75,true,0,NA,1
spark/route/RouteMatcherFactory,true,12,140,true,0,true,1
