Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,66,873,true,30,true,1
org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,16,440,true,0,true,1
org/apache/commons/collections4/keyvalue/TiedMapEntry,true,77,955,true,30,true,1
org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/keyvalue/MultiKey,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,31,515,true,12,true,1
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,1,286,true,0,true,1
org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,64,674,true,30,true,1
org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,1,250,true,0,true,1
org/apache/commons/collections4/set/TransformedSortedSet,true,91,973,true,22,true,3
org/apache/commons/collections4/set/TransformedSet,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/set/CompositeSet,true,180,2981,true,2,true,1
org/apache/commons/collections4/set/AbstractSetDecorator,true,1,106,true,0,true,1
org/apache/commons/collections4/set/PredicatedSet,true,2,184,true,0,true,1
org/apache/commons/collections4/set/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/set/MapBackedSet,true,111,1559,true,0,true,2
org/apache/commons/collections4/set/PredicatedSortedSet,true,26,625,true,0,true,1
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,8,173,true,0,true,1
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,20,719,true,0,true,1
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,19,400,true,0,true,1
org/apache/commons/collections4/set/UnmodifiableSet,true,53,408,true,21,true,3
org/apache/commons/collections4/set/ListOrderedSet,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/ResettableIterator,true,0,13,true,0,NA,1
org/apache/commons/collections4/bag/PredicatedBag,true,20,424,true,0,true,1
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,12,229,true,0,true,1
org/apache/commons/collections4/bag/TreeBag,true,23,756,true,0,true,1
org/apache/commons/collections4/bag/SynchronizedSortedBag,true,22,308,true,0,true,1
org/apache/commons/collections4/bag/TransformedSortedBag,true,64,639,true,16,true,3
org/apache/commons/collections4/bag/PredicatedSortedBag,true,14,309,true,0,true,1
org/apache/commons/collections4/bag/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/bag/AbstractBagDecorator,true,15,322,true,0,true,1
org/apache/commons/collections4/bag/CollectionSortedBag,true,82,1102,true,0,true,1
org/apache/commons/collections4/bag/HashBag,true,3,232,true,0,true,1
org/apache/commons/collections4/bag/TransformedBag,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/bag/UnmodifiableBag,true,80,672,true,25,true,3
org/apache/commons/collections4/bag/AbstractMapBag,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/bag/CollectionBag,true,82,1102,true,0,true,1
org/apache/commons/collections4/bag/SynchronizedBag,true,29,522,true,0,true,1
org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,17,590,true,0,true,1
org/apache/commons/collections4/TrieUtils,true,0,85,true,0,true,1
org/apache/commons/collections4/ComparatorUtils,true,53,1077,true,5,true,2
org/apache/commons/collections4/BidiMap,true,4,63,true,0,NA,1
org/apache/commons/collections4/MultiMapUtils,true,66,1294,true,24,true,1
org/apache/commons/collections4/Get,true,4,82,true,0,NA,1
org/apache/commons/collections4/comparators/NullComparator,true,20,883,true,0,true,2
org/apache/commons/collections4/comparators/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/comparators/ComparatorChain,true,190,2170,true,19,true,2
org/apache/commons/collections4/comparators/ReverseComparator,true,18,508,true,0,true,2
org/apache/commons/collections4/comparators/BooleanComparator,true,32,498,true,0,true,1
org/apache/commons/collections4/comparators/TransformingComparator,true,38,1250,true,0,true,2
org/apache/commons/collections4/comparators/ComparableComparator,true,19,288,true,3,true,4
org/apache/commons/collections4/comparators/FixedOrderComparator,true,218,2193,true,133,true,1
org/apache/commons/collections4/list/AbstractSerializableListDecorator,true,8,173,true,0,true,1
org/apache/commons/collections4/list/GrowthList,true,27,671,true,0,true,1
org/apache/commons/collections4/list/AbstractListDecorator,true,31,653,true,0,true,1
org/apache/commons/collections4/list/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/list/UnmodifiableList,true,98,727,true,33,true,3
org/apache/commons/collections4/list/PredicatedList,true,85,1041,true,0,true,2
org/apache/commons/collections4/list/FixedSizeList,true,28,992,true,0,true,1
org/apache/commons/collections4/list/TransformedList,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/list/CursorableLinkedList,true,319,4212,true,2,true,1
org/apache/commons/collections4/list/NodeCachingLinkedList,true,84,1230,true,0,true,1
org/apache/commons/collections4/list/TreeList,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/list/SetUniqueList,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/list/AbstractLinkedList,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/list/LazyList,true,62,655,true,56,true,1
org/apache/commons/collections4/ListValuedMap,true,2,37,true,0,NA,1
org/apache/commons/collections4/PredicateUtils,true,140,1802,true,58,true,3
org/apache/commons/collections4/MultiMap,true,7,79,true,0,NA,1
org/apache/commons/collections4/MapIterator,true,1,44,true,0,NA,1
org/apache/commons/collections4/IterableGet,true,0,24,true,0,NA,1
org/apache/commons/collections4/QueueUtils,true,11,325,true,0,true,1
org/apache/commons/collections4/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/Bag,true,13,127,true,0,NA,1
org/apache/commons/collections4/FactoryUtils,true,0,324,true,0,true,1
org/apache/commons/collections4/MultiValuedMap,true,19,226,true,0,NA,1
org/apache/commons/collections4/iterators/EnumerationIterator,true,48,643,true,23,true,1
org/apache/commons/collections4/iterators/PushbackIterator,true,43,520,true,23,true,1
org/apache/commons/collections4/iterators/LoopingIterator,true,42,498,true,0,true,1
org/apache/commons/collections4/iterators/ReverseListIterator,true,97,813,true,0,true,1
org/apache/commons/collections4/iterators/AbstractUntypedIteratorDecorator,true,10,212,true,0,true,1
org/apache/commons/collections4/iterators/CollatingIterator,true,33,2973,true,0,true,5
org/apache/commons/collections4/iterators/PeekingIterator,true,116,961,true,16,true,1
org/apache/commons/collections4/iterators/EmptyMapIterator,true,20,117,true,0,true,1
org/apache/commons/collections4/iterators/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/iterators/FilterIterator,true,106,931,true,6,true,2
org/apache/commons/collections4/iterators/IteratorEnumeration,true,9,274,true,0,true,1
org/apache/commons/collections4/iterators/EmptyOrderedMapIterator,true,20,117,true,0,true,1
org/apache/commons/collections4/iterators/EmptyIterator,true,25,159,true,0,true,1
org/apache/commons/collections4/iterators/ArrayListIterator,true,53,827,true,12,true,1
org/apache/commons/collections4/iterators/UnmodifiableOrderedMapIterator,true,26,675,true,0,true,1
org/apache/commons/collections4/iterators/AbstractOrderedMapIteratorDecorator,true,34,509,true,0,NA,1
org/apache/commons/collections4/iterators/LoopingListIterator,true,111,1088,true,0,true,1
org/apache/commons/collections4/iterators/LazyIteratorChain,true,118,874,true,0,true,1
org/apache/commons/collections4/iterators/EmptyListIterator,true,25,159,true,0,true,1
org/apache/commons/collections4/iterators/IteratorIterable,true,12,571,true,0,true,1
org/apache/commons/collections4/iterators/AbstractEmptyIterator,true,1,181,true,0,true,1
org/apache/commons/collections4/iterators/SingletonListIterator,true,100,748,true,0,true,1
org/apache/commons/collections4/iterators/TransformIterator,true,37,708,true,0,true,2
org/apache/commons/collections4/iterators/UnmodifiableIterator,true,9,348,true,0,true,1
org/apache/commons/collections4/iterators/ObjectArrayIterator,true,15,792,true,0,true,1
org/apache/commons/collections4/iterators/ObjectArrayListIterator,true,64,747,true,12,true,1
org/apache/commons/collections4/iterators/UniqueFilterIterator,true,0,50,true,0,true,1
org/apache/commons/collections4/iterators/FilterListIterator,true,240,1709,true,12,true,2
org/apache/commons/collections4/iterators/AbstractMapIteratorDecorator,true,25,425,true,0,NA,1
org/apache/commons/collections4/iterators/PermutationIterator,true,153,1833,true,3,true,1
org/apache/commons/collections4/iterators/AbstractIteratorDecorator,true,3,65,true,0,true,1
org/apache/commons/collections4/iterators/BoundedIterator,true,78,797,true,20,true,1
org/apache/commons/collections4/iterators/EmptyOrderedIterator,true,19,98,true,0,true,1
org/apache/commons/collections4/iterators/SingletonIterator,true,78,451,true,14,true,1
org/apache/commons/collections4/iterators/AbstractEmptyMapIterator,true,4,91,true,0,true,1
org/apache/commons/collections4/iterators/ListIteratorWrapper,true,252,2094,true,18,true,1
org/apache/commons/collections4/iterators/AbstractListIteratorDecorator,true,37,457,true,0,true,1
org/apache/commons/collections4/iterators/NodeListIterator,true,46,423,true,9,true,1
org/apache/commons/collections4/iterators/ArrayIterator,true,38,836,true,0,true,1
org/apache/commons/collections4/iterators/ObjectGraphIterator,true,173,1851,true,16,true,2
org/apache/commons/collections4/iterators/UnmodifiableMapIterator,true,20,591,true,0,true,1
org/apache/commons/collections4/iterators/UnmodifiableListIterator,true,21,547,true,0,true,1
org/apache/commons/collections4/iterators/EntrySetMapIterator,true,83,1163,true,0,NA,1
org/apache/commons/collections4/iterators/IteratorChain,true,246,1491,true,3,true,1
org/apache/commons/collections4/ClosureUtils,true,2,1773,true,4,true,1
org/apache/commons/collections4/bidimap/UnmodifiableBidiMap,true,91,996,true,33,true,3
org/apache/commons/collections4/bidimap/AbstractSortedBidiMapDecorator,true,21,515,true,0,true,1
org/apache/commons/collections4/bidimap/AbstractOrderedBidiMapDecorator,true,22,450,true,0,true,1
org/apache/commons/collections4/bidimap/UnmodifiableOrderedBidiMap,true,95,1036,true,35,true,3
org/apache/commons/collections4/bidimap/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/bidimap/AbstractBidiMapDecorator,true,19,408,true,0,true,1
org/apache/commons/collections4/bidimap/AbstractDualBidiMap,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/bidimap/TreeBidiMap,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/bidimap/DualHashBidiMap,true,17,595,true,0,true,1
org/apache/commons/collections4/bidimap/DualLinkedHashBidiMap,true,17,595,true,0,true,1
org/apache/commons/collections4/bidimap/UnmodifiableSortedBidiMap,true,120,1287,true,39,true,3
org/apache/commons/collections4/bidimap/DualTreeBidiMap,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/queue/CircularFifoQueue,true,390,3710,true,0,true,1
org/apache/commons/collections4/queue/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/queue/AbstractQueueDecorator,true,16,298,true,0,true,1
org/apache/commons/collections4/queue/PredicatedQueue,true,20,390,true,0,true,1
org/apache/commons/collections4/queue/TransformedQueue,true,79,676,true,20,true,3
org/apache/commons/collections4/queue/UnmodifiableQueue,true,75,603,true,25,true,3
org/apache/commons/collections4/Unmodifiable,true,0,0,true,0,NA,1
org/apache/commons/collections4/BagUtils,true,22,776,true,0,true,1
org/apache/commons/collections4/Equator,true,3,24,true,0,NA,1
org/apache/commons/collections4/OrderedMap,true,2,52,true,0,NA,1
org/apache/commons/collections4/Predicate,true,1,11,true,0,NA,1
org/apache/commons/collections4/CollectionUtils,false,NA,NA,false,NA,false,6
org/apache/commons/collections4/TransformerUtils,true,7,2453,true,6,true,1
org/apache/commons/collections4/IteratorUtils,true,475,4855,true,102,true,3
org/apache/commons/collections4/SetValuedMap,true,2,37,true,0,NA,1
org/apache/commons/collections4/OrderedBidiMap,true,0,33,true,0,NA,1
org/apache/commons/collections4/splitmap/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,true,61,870,true,12,true,1
org/apache/commons/collections4/splitmap/TransformedSplitMap,true,129,1473,true,20,true,3
org/apache/commons/collections4/SplitMapUtils,true,92,2357,true,0,true,1
org/apache/commons/collections4/ResettableListIterator,true,0,20,true,0,NA,1
