Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/apache/commons/imaging/ImageParser,true,240,3530,true,93,true,2
org/apache/commons/imaging/palette/QuantizedPalette,true,34,910,true,68,true,1
org/apache/commons/imaging/palette/MedianCutImplementation,true,1,31,true,0,NA,1
org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,30,1753,true,96,true,1
org/apache/commons/imaging/palette/ColorComponent,true,27,174,true,54,true,1
org/apache/commons/imaging/palette/PaletteFactory,true,498,6578,true,515,true,6
org/apache/commons/imaging/palette/ColorGroupCut,true,12,249,true,0,true,1
org/apache/commons/imaging/palette/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/palette/MedianCutPalette,true,15,160,true,12,true,1
org/apache/commons/imaging/palette/Palette,true,15,216,true,0,NA,1
org/apache/commons/imaging/palette/MedianCutQuantizer,true,115,1815,true,162,true,2
org/apache/commons/imaging/palette/Dithering,true,69,1745,true,148,true,2
org/apache/commons/imaging/palette/ColorSpaceSubset,true,324,4040,true,139,true,1
org/apache/commons/imaging/palette/ColorCount,true,15,347,true,3,true,1
org/apache/commons/imaging/palette/ColorGroup,true,300,2630,true,110,true,1
org/apache/commons/imaging/palette/SimplePalette,true,12,318,true,14,true,1
org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,80,1801,true,228,true,1
org/apache/commons/imaging/FormatCompliance,true,116,1921,true,105,true,1
org/apache/commons/imaging/formats/ico/IcoImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/wbmp/WbmpImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/xbm/XbmImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,0,522,true,0,true,1
org/apache/commons/imaging/formats/gif/ImageContents,true,0,137,true,0,true,1
org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/gif/GifBlock,true,0,46,true,0,true,1
org/apache/commons/imaging/formats/gif/GenericGifBlock,true,9,363,true,16,true,1
org/apache/commons/imaging/formats/gif/ImageDescriptor,true,0,430,true,0,true,1
org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,0,196,true,0,true,1
org/apache/commons/imaging/formats/gif/GifImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/tga/TgaConstants,true,NA,NA,true,NA,NA,1
org/apache/commons/imaging/formats/tga/TgaImageParser,true,NA,NA,true,NA,NA,1
org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,6,220,true,14,true,1
org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,89,1141,true,93,true,3
org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,128,2251,true,102,true,1
org/apache/commons/imaging/formats/psd/ImageResourceType,true,50,2338,true,22,NA,1
org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,6,242,true,3,true,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,9,234,true,0,NA,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,9,276,true,0,NA,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,27,522,true,0,NA,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,1,445,true,0,NA,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,14,320,true,24,true,2
org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,1,314,true,0,NA,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,9,356,true,0,true,1
org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,1,73,true,0,NA,1
org/apache/commons/imaging/formats/psd/ImageContents,true,27,723,true,14,true,1
org/apache/commons/imaging/formats/psd/PsdImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,52,1080,true,23,true,1
org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,1,71,true,0,true,2
org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,true,25,547,true,0,NA,3
org/apache/commons/imaging/formats/psd/datareaders/CompressedDataReader,true,41,839,true,64,true,3
org/apache/commons/imaging/formats/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/png/GammaCorrection,true,54,763,true,12,true,1
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterTrueColor,true,21,399,true,0,true,1
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilter,true,3,82,true,0,true,1
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterGrayscale,true,12,206,true,0,true,1
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColor,true,21,228,true,5,true,1
org/apache/commons/imaging/formats/png/PngImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/png/PngImageInfo,true,4,275,true,0,true,1
org/apache/commons/imaging/formats/png/PngWriter,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/png/ColorType,true,92,839,true,99,true,1
org/apache/commons/imaging/formats/png/PngCrc,true,82,691,true,60,true,1
org/apache/commons/imaging/formats/png/ScanExpediter,true,469,2628,true,88,true,3
org/apache/commons/imaging/formats/png/chunks/PngTextChunk,true,1,86,true,0,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkText,true,31,561,true,6,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkIhdr,true,39,716,true,6,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkGama,true,9,215,true,0,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkPlte,true,26,823,true,45,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkIdat,true,4,71,true,0,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkPhys,true,19,314,true,0,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkZtxt,true,22,618,true,3,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkItxt,true,39,1226,true,6,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunk,true,47,674,true,12,true,1
org/apache/commons/imaging/formats/png/chunks/PngChunkIccp,true,40,925,true,9,NA,1
org/apache/commons/imaging/formats/png/ChunkType,true,93,459,true,116,true,1
org/apache/commons/imaging/formats/png/InterlaceMethod,true,18,113,true,46,true,1
org/apache/commons/imaging/formats/png/PngText,true,0,277,true,4,true,1
org/apache/commons/imaging/formats/png/ScanExpediterSimple,true,60,440,true,30,true,2
org/apache/commons/imaging/formats/png/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/png/FilterType,true,30,82,true,56,true,1
org/apache/commons/imaging/formats/png/ScanExpediterInterlaced,true,225,1003,true,70,NA,2
org/apache/commons/imaging/formats/png/BitParser,true,61,829,true,3,true,1
org/apache/commons/imaging/formats/png/PngConstants,true,4,125,true,0,NA,1
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterUp,true,1,224,true,14,true,1
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilter,true,4,44,true,0,NA,1
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterAverage,true,4,363,true,14,true,1
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterSub,true,4,284,true,14,true,1
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterPaeth,true,12,672,true,14,true,1
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterNone,true,1,120,true,0,true,1
org/apache/commons/imaging/formats/tiff/TiffField,true,475,7059,true,715,true,1
org/apache/commons/imaging/formats/tiff/TiffReader,true,422,5493,true,209,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoXpString,true,7,291,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoGpsText,true,173,2502,true,100,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLong,true,2,228,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByteOrShort,true,1,139,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSLong,true,1,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDouble,true,1,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAny,true,1,54,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDirectory,true,1,54,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShort,true,1,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,true,1,58,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLong,true,2,232,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUndefined,true,1,54,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloat,true,1,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAscii,true,4,635,true,32,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSRational,true,3,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSShort,true,1,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSByte,true,1,82,true,0,NA,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByte,true,4,200,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoRational,true,3,168,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUnknown,true,1,54,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLongOrRational,true,2,225,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrRational,true,1,58,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLongOrIFD,true,2,228,true,0,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,true,44,1051,true,10,true,1
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrRational,true,2,172,true,0,true,1
org/apache/commons/imaging/formats/tiff/TiffDirectory,true,552,7626,true,300,true,2
org/apache/commons/imaging/formats/tiff/TiffContents,true,33,907,true,132,true,1
org/apache/commons/imaging/formats/tiff/TiffHeader,true,2,158,true,0,true,1
org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless,true,171,4132,true,322,true,1
org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossy,true,36,529,true,60,true,1
org/apache/commons/imaging/formats/tiff/write/ImageDataOffsets,true,7,257,true,14,true,1
org/apache/commons/imaging/formats/tiff/write/TiffOutputField,true,113,1709,true,23,true,1
org/apache/commons/imaging/formats/tiff/write/TiffOutputSummary,true,32,681,true,64,true,1
org/apache/commons/imaging/formats/tiff/write/TiffImageWriterBase,true,416,7085,true,391,true,6
org/apache/commons/imaging/formats/tiff/write/TiffOutputSet,true,267,2586,true,147,true,1
org/apache/commons/imaging/formats/tiff/write/TiffOutputItem,true,34,613,true,0,true,1
org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectory,true,514,9015,true,264,true,1
org/apache/commons/imaging/formats/tiff/package-info,true,NA,NA,true,NA,NA,6
org/apache/commons/imaging/formats/tiff/constants/GpsTagConstants,true,31,1805,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/GeoTiffTagConstants,true,7,409,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/TiffTagConstants,true,80,4666,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType,true,115,613,true,72,true,1
org/apache/commons/imaging/formats/tiff/constants/AliasSketchbookProTagConstants,true,3,106,true,2,NA,1
org/apache/commons/imaging/formats/tiff/constants/MicrosoftTagConstants,true,7,409,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/ExifTagConstants,true,129,7451,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/GdalLibraryTagConstants,true,5,159,true,2,NA,1
org/apache/commons/imaging/formats/tiff/constants/TagConstantsUtils,true,59,438,true,118,true,1
org/apache/commons/imaging/formats/tiff/constants/MicrosoftHdPhotoTagConstants,true,70,2359,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/MolecularDynamicsGelTagConstants,true,8,462,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/AllTagConstants,true,0,171,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/OceScanjobTagConstants,true,9,265,true,2,NA,1
org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants,true,5,155,true,2,NA,1
org/apache/commons/imaging/formats/tiff/constants/HylaFaxTagConstants,true,4,250,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/TiffEpTagConstants,true,19,1121,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/AdobePageMaker6TagConstants,true,7,437,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/DcfTagConstants,true,4,270,true,0,NA,1
org/apache/commons/imaging/formats/tiff/constants/DngTagConstants,true,79,4589,true,0,NA,1
