Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/bukkit/Statistic,true,178,822,true,172,true,1
org/bukkit/Rotation,true,35,205,true,22,NA,1
org/bukkit/Chunk,true,18,116,true,0,NA,1
org/bukkit/projectiles/ProjectileSource,true,4,42,true,0,NA,1
org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA,1
org/bukkit/Location,true,292,4496,true,33,true,1
org/bukkit/material/NetherWarts,true,33,496,true,4,true,1
org/bukkit/material/LongGrass,true,19,331,true,0,true,1
org/bukkit/material/SpawnEgg,true,20,269,true,0,true,1
org/bukkit/material/EnderChest,true,7,211,true,0,true,1
org/bukkit/material/Step,true,40,825,true,3,true,1
org/bukkit/material/Dye,true,19,299,true,0,true,1
org/bukkit/material/Openable,true,1,14,true,0,NA,1
org/bukkit/material/FurnaceAndDispenser,true,2,161,true,0,true,1
org/bukkit/material/Cauldron,true,41,282,true,1,true,1
org/bukkit/material/Tree,true,59,746,true,29,true,1
org/bukkit/material/Diode,true,53,715,true,37,true,1
org/bukkit/material/Tripwire,true,32,429,true,1,true,1
org/bukkit/material/Pumpkin,true,37,577,true,5,true,1
org/bukkit/material/RedstoneWire,true,12,278,true,1,true,1
org/bukkit/material/PistonExtensionMaterial,true,40,627,true,0,true,1
org/bukkit/material/Coal,true,19,331,true,0,true,1
org/bukkit/material/Rails,true,63,1022,true,42,true,1
org/bukkit/material/MonsterEggs,true,12,417,true,2,true,1
org/bukkit/material/Colorable,true,3,14,true,0,NA,1
org/bukkit/material/TexturedMaterial,true,40,535,true,0,true,1
org/bukkit/material/Redstone,true,0,5,true,0,NA,1
org/bukkit/material/TrapDoor,true,60,753,true,1,true,1
org/bukkit/material/ExtendedRails,true,24,462,true,0,true,1
org/bukkit/material/Gate,true,88,710,true,1,true,1
org/bukkit/material/Button,true,42,619,true,1,true,1
org/bukkit/material/Lever,true,50,877,true,1,true,1
org/bukkit/material/Chest,true,7,211,true,0,true,1
org/bukkit/material/Attachable,true,1,8,true,0,NA,1
org/bukkit/material/Mushroom,true,158,1481,true,1,true,1
