Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/apache/commons/imaging/ImageParser,true,232,3530,true,16,true,2
org/apache/commons/imaging/palette/QuantizedPalette,true,34,910,true,0,true,1
org/apache/commons/imaging/palette/MedianCutImplementation,true,1,31,true,0,NA,1
org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,30,1753,true,62,true,1
org/apache/commons/imaging/palette/ColorComponent,true,5,174,true,0,true,1
org/apache/commons/imaging/palette/PaletteFactory,true,489,6578,true,106,true,6
org/apache/commons/imaging/palette/ColorGroupCut,true,12,249,true,0,true,1
org/apache/commons/imaging/palette/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/imaging/palette/MedianCutPalette,true,15,160,true,0,true,1
org/apache/commons/imaging/palette/Palette,true,15,216,true,0,NA,1
org/apache/commons/imaging/palette/MedianCutQuantizer,true,126,1815,true,99,true,2
org/apache/commons/imaging/palette/Dithering,true,69,1745,true,120,true,2
org/apache/commons/imaging/palette/ColorSpaceSubset,true,351,4040,true,14,true,1
org/apache/commons/imaging/palette/ColorCount,true,15,347,true,0,true,1
org/apache/commons/imaging/palette/ColorGroup,true,300,2630,true,33,true,1
org/apache/commons/imaging/palette/SimplePalette,true,12,318,true,0,true,1
org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,50,1801,true,25,true,1
org/apache/commons/imaging/FormatCompliance,true,97,1921,true,0,true,1
org/apache/commons/imaging/formats/ico/IcoImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/imaging/formats/wbmp/WbmpImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,true,NA,NA,1
org/apache/commons/imaging/formats/xbm/XbmImageParser,false,NA,NA,false,NA,false,6
org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,0,522,true,0,true,1
org/apache/commons/imaging/formats/gif/ImageContents,true,0,137,true,0,true,1
