Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/jsoup/helper/W3CDom,true,71,1350,true,4,true,2
org/jsoup/helper/DataUtil,true,86,2503,true,64,true,1
org/jsoup/helper/Validate,true,17,531,true,0,true,1
org/jsoup/helper/HttpConnection,true,1078,11729,true,12,true,2
org/jsoup/helper/StringUtil,true,41,1361,true,16,true,1
org/jsoup/helper/DescendableLinkedList,false,NA,NA,false,NA,false,6
org/jsoup/HttpStatusException,true,15,221,true,0,NA,1
org/jsoup/package-info,true,NA,NA,true,NA,NA,1
org/jsoup/select/CombiningEvaluator,true,82,1146,true,0,true,1
org/jsoup/select/package-info,true,NA,NA,true,NA,NA,1
org/jsoup/select/Evaluator,true,511,6551,true,0,NA,1
org/jsoup/select/QueryParser,true,593,6795,true,182,true,1
org/jsoup/select/Collector,true,26,393,true,0,true,1
org/jsoup/select/Elements,true,353,4285,true,33,true,2
org/jsoup/select/StructuralEvaluator,true,121,1331,true,0,NA,1
org/jsoup/select/Selector,true,17,631,true,11,true,2
org/jsoup/select/NodeVisitor,true,6,26,true,0,NA,1
org/jsoup/select/NodeTraversor,true,13,346,true,0,true,1
org/jsoup/Connection,true,144,881,true,8,NA,1
org/jsoup/Jsoup,true,80,942,true,0,true,1
org/jsoup/parser/Tag,true,397,3534,true,54,true,1
org/jsoup/parser/package-info,true,NA,NA,true,NA,NA,1
org/jsoup/parser/TokenQueue,true,499,3956,true,68,true,1
org/jsoup/parser/Tokeniser,true,367,3338,true,14,true,1
org/jsoup/parser/Parser,true,86,985,true,25,true,1
org/jsoup/parser/HtmlTreeBuilder,false,NA,NA,false,NA,false,6
org/jsoup/parser/XmlTreeBuilder,true,107,1365,true,12,true,1
org/jsoup/parser/ParseErrorList,true,15,206,true,0,true,1
org/jsoup/parser/CharacterReader,true,520,4520,true,17,true,1
org/jsoup/parser/ParseError,true,20,286,true,0,true,1
org/jsoup/parser/TokeniserState,false,NA,NA,false,NA,false,6
org/jsoup/parser/Token,true,515,3197,true,24,true,2
org/jsoup/parser/TreeBuilder,true,71,603,true,6,true,1
org/jsoup/parser/HtmlTreeBuilderState,true,1949,27218,true,6,true,2
org/jsoup/safety/package-info,true,NA,NA,true,NA,NA,1
org/jsoup/safety/Cleaner,true,211,1565,true,6,true,1
org/jsoup/safety/Whitelist,true,325,7947,true,61,true,1
org/jsoup/nodes/Comment,true,30,299,true,0,true,1
org/jsoup/nodes/FormElement,true,68,807,true,13,true,1
org/jsoup/nodes/Element,true,612,8822,true,22,true,1
org/jsoup/nodes/package-info,true,NA,NA,true,NA,NA,1
org/jsoup/nodes/Entities,true,155,2845,true,150,true,2
org/jsoup/nodes/XmlDeclaration,true,31,320,true,0,true,1
org/jsoup/nodes/DataNode,true,36,334,true,0,true,1
org/jsoup/nodes/Attributes,true,188,2970,true,16,true,2
org/jsoup/nodes/TextNode,true,152,1643,true,4,true,1
org/jsoup/nodes/Node,true,477,6503,true,3,true,1
org/jsoup/nodes/Document,true,338,3193,true,12,true,1
org/jsoup/nodes/Attribute,true,137,1588,true,21,true,1
org/jsoup/nodes/DocumentType,true,79,738,true,0,true,1
org/jsoup/examples/package-info,true,NA,NA,true,NA,NA,1
org/jsoup/examples/ListLinks,true,25,886,true,0,NA,1
org/jsoup/examples/HtmlToPlainText,true,133,1896,true,0,NA,1
org/jsoup/UnsupportedMimeTypeException,true,15,221,true,0,NA,1
