Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/junit/validator/ValidateWith,true,0,37,true,0,true,1
org/junit/validator/TestClassValidator,true,2,12,true,0,true,1
org/junit/validator/AnnotationValidatorFactory,true,12,365,true,0,true,1
org/junit/validator/AnnotationsValidator,true,69,1066,true,0,true,1
org/junit/validator/AnnotationValidator,true,13,118,true,0,true,1
org/junit/validator/PublicClassValidator,true,11,135,true,0,true,1
org/junit/runners/Parameterized,true,167,1696,true,8,true,1
org/junit/runners/BlockJUnit4ClassRunner,true,300,3403,true,4,true,1
org/junit/runners/package-info,true,NA,NA,true,NA,true,1
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,126,1709,true,6,true,1
org/junit/runners/parameterized/ParametersRunnerFactory,true,3,12,true,0,true,1
org/junit/runners/parameterized/TestWithParameters,true,57,869,true,6,true,1
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,3,42,true,0,true,1
org/junit/runners/ParentRunner,false,NA,NA,false,NA,false,6
org/junit/runners/Suite,true,43,975,true,0,true,1
org/junit/runners/JUnit4,true,1,47,true,0,true,1
org/junit/runners/AllTests,true,1,47,true,0,true,1
org/junit/runners/model/FrameworkMember,true,12,213,true,0,true,1
org/junit/runners/model/NoGenericTypeParametersValidator,true,54,696,true,0,true,1
org/junit/runners/model/Annotatable,true,1,24,true,0,true,1
org/junit/runners/model/TestTimedOutException,true,8,188,true,0,true,1
org/junit/runners/model/InitializationError,true,6,181,true,0,true,1
org/junit/runners/model/FrameworkMethod,true,114,1773,true,11,true,1
org/junit/runners/model/FrameworkField,true,38,511,true,0,true,1
org/junit/runners/model/Statement,true,0,20,true,0,true,1
org/junit/runners/model/MultipleFailureException,true,15,480,true,0,true,1
org/junit/runners/model/TestClass,false,NA,NA,false,NA,false,6
org/junit/runners/model/RunnerScheduler,true,1,14,true,0,true,1
org/junit/runners/model/RunnerBuilder,true,48,825,true,0,true,1
org/junit/runners/MethodSorters,true,4,179,true,1,true,1
org/junit/AssumptionViolatedException,true,12,163,true,0,true,1
org/junit/rules/TemporaryFolder,true,77,1169,true,2,true,1
org/junit/rules/TestName,true,8,90,true,0,true,1
org/junit/rules/Stopwatch,true,94,948,true,0,true,1
