Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/bukkit/Statistic,true,10,822,true,0,true
org/bukkit/Rotation,true,8,205,true,0,NA
org/bukkit/Chunk,true,0,116,true,0,NA
org/bukkit/projectiles/ProjectileSource,true,0,42,true,0,NA
org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
org/bukkit/Location,true,236,4496,true,9,true
org/bukkit/material/NetherWarts,true,29,496,true,0,true
org/bukkit/material/LongGrass,true,18,331,true,0,true
org/bukkit/material/SpawnEgg,true,12,269,true,0,true
org/bukkit/material/EnderChest,true,9,211,true,0,true
org/bukkit/material/Step,true,37,825,true,0,true
org/bukkit/material/Dye,true,20,299,true,0,true
org/bukkit/material/Openable,true,0,14,true,0,NA
org/bukkit/material/FurnaceAndDispenser,true,6,161,true,0,true
org/bukkit/material/Cauldron,true,30,282,true,0,true
org/bukkit/material/Tree,true,58,746,true,29,true
org/bukkit/material/Diode,true,42,715,true,32,true
org/bukkit/material/Tripwire,true,30,429,true,0,true
org/bukkit/material/Pumpkin,true,32,577,true,2,true
org/bukkit/material/RedstoneWire,true,13,278,true,0,true
org/bukkit/material/PistonExtensionMaterial,true,76,627,true,0,true
org/bukkit/material/Coal,true,18,331,true,0,true
org/bukkit/material/Rails,true,62,1022,true,41,true
org/bukkit/material/MonsterEggs,true,14,417,true,0,true
org/bukkit/material/Colorable,true,0,14,true,0,NA
org/bukkit/material/TexturedMaterial,true,34,535,true,0,true
org/bukkit/material/Redstone,true,0,5,true,0,NA
org/bukkit/material/TrapDoor,true,90,753,true,3,true
org/bukkit/material/ExtendedRails,true,30,462,true,4,true
org/bukkit/material/Gate,true,112,710,true,14,true
org/bukkit/material/Button,true,66,619,true,0,true
org/bukkit/material/Lever,true,106,877,true,0,true
org/bukkit/material/Chest,true,9,211,true,0,true
org/bukkit/material/Attachable,true,0,8,true,0,NA
org/bukkit/material/Mushroom,true,186,1481,true,4,true
org/bukkit/material/Ladder,true,15,416,true,0,true
org/bukkit/material/Dispenser,true,23,531,true,2,true
org/bukkit/material/WoodenStep,true,38,550,true,0,true
org/bukkit/material/DetectorRail,true,19,283,true,0,true
org/bukkit/material/CocoaPlant,true,61,911,true,11,true
org/bukkit/material/Wool,true,20,334,true,0,true
org/bukkit/material/Sandstone,true,18,331,true,0,true
org/bukkit/material/Stairs,true,54,668,true,24,true
org/bukkit/material/FlowerPot,true,65,1119,true,32,true
org/bukkit/material/PressureSensor,true,0,5,true,0,NA
org/bukkit/material/Bed,true,52,686,true,2,true
org/bukkit/material/Cake,true,18,428,true,0,true
org/bukkit/material/SimpleAttachableMaterialData,true,13,365,true,0,true
org/bukkit/material/DirectionalContainer,true,23,449,true,2,true
