Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/bukkit/Statistic,true,NA,822,false,NA,false
org/bukkit/Rotation,true,NA,205,false,NA,NA
org/bukkit/Chunk,true,1,116,true,0,NA
org/bukkit/projectiles/ProjectileSource,true,7,42,true,4,NA
org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
org/bukkit/Location,true,891,4496,false,NA,false
org/bukkit/material/NetherWarts,true,161,496,false,NA,false
org/bukkit/material/LongGrass,true,74,331,false,NA,false
org/bukkit/material/SpawnEgg,true,42,269,false,NA,false
org/bukkit/material/EnderChest,true,18,211,false,NA,false
org/bukkit/material/Step,true,219,825,false,NA,false
org/bukkit/material/Dye,true,72,299,false,NA,false
org/bukkit/material/Openable,true,1,14,true,0,NA
org/bukkit/material/FurnaceAndDispenser,true,15,161,false,NA,false
org/bukkit/material/Cauldron,true,116,282,false,NA,false
org/bukkit/material/Tree,true,294,746,false,NA,false
org/bukkit/material/Diode,true,292,715,false,NA,false
org/bukkit/material/Tripwire,true,180,429,false,NA,false
org/bukkit/material/Pumpkin,true,299,577,false,NA,false
org/bukkit/material/RedstoneWire,true,92,278,false,NA,false
org/bukkit/material/PistonExtensionMaterial,true,304,627,false,NA,false
org/bukkit/material/Coal,true,74,331,false,NA,false
org/bukkit/material/Rails,true,427,1022,false,NA,false
org/bukkit/material/MonsterEggs,true,118,417,false,NA,false
org/bukkit/material/Colorable,true,2,14,true,0,NA
org/bukkit/material/TexturedMaterial,true,127,535,false,NA,false
org/bukkit/material/Redstone,true,1,5,true,0,NA
org/bukkit/material/TrapDoor,true,414,753,false,NA,false
org/bukkit/material/ExtendedRails,true,82,462,false,NA,false
org/bukkit/material/Gate,true,328,710,false,NA,false
org/bukkit/material/Button,true,345,619,false,NA,false
org/bukkit/material/Lever,true,461,877,false,NA,false
org/bukkit/material/Chest,true,18,211,false,NA,false
org/bukkit/material/Attachable,true,1,8,true,0,NA
org/bukkit/material/Mushroom,true,536,1481,false,NA,false
org/bukkit/material/Ladder,true,204,416,false,NA,false
org/bukkit/material/Dispenser,true,206,531,false,NA,false
org/bukkit/material/WoodenStep,true,159,550,false,NA,false
org/bukkit/material/DetectorRail,true,64,283,false,NA,false
org/bukkit/material/CocoaPlant,true,436,911,false,NA,false
org/bukkit/material/Wool,true,74,334,false,NA,false
org/bukkit/material/Sandstone,true,74,331,false,NA,false
org/bukkit/material/Stairs,true,318,668,false,NA,false
org/bukkit/material/FlowerPot,true,217,1119,false,NA,false
org/bukkit/material/PressureSensor,true,1,5,true,0,NA
org/bukkit/material/Bed,true,337,686,false,NA,false
org/bukkit/material/Cake,true,95,428,false,NA,false
org/bukkit/material/SimpleAttachableMaterialData,true,91,365,false,NA,false
org/bukkit/material/DirectionalContainer,true,229,449,false,NA,false
org/bukkit/material/PressurePlate,true,71,262,false,NA,false
org/bukkit/material/PoweredRail,true,64,283,false,NA,false
org/bukkit/material/Torch,true,191,448,false,NA,false
org/bukkit/material/Command,true,132,358,false,NA,false
org/bukkit/material/PistonBaseMaterial,true,302,632,false,NA,false
org/bukkit/material/TripwireHook,true,402,757,false,NA,false
org/bukkit/material/Crops,true,74,331,false,NA,false
org/bukkit/material/Skull,true,244,546,false,NA,false
org/bukkit/material/SmoothBrick,true,118,445,false,NA,false
org/bukkit/material/Sign,true,367,1279,false,NA,false
org/bukkit/material/Directional,true,1,14,true,0,NA
org/bukkit/material/RedstoneTorch,true,91,286,false,NA,false
org/bukkit/material/MaterialData,true,159,785,false,NA,false
org/bukkit/material/Furnace,true,18,211,false,NA,false
org/bukkit/material/Leaves,true,74,343,false,NA,NA
org/bukkit/material/Door,true,393,892,false,NA,false
org/bukkit/material/Vine,true,716,2034,false,NA,false
org/bukkit/BlockChangeDelegate,true,11,166,true,20,NA
org/bukkit/conversations/FixedSetPrompt,true,34,211,false,NA,false
org/bukkit/conversations/ConversationAbandonedEvent,true,14,194,true,6,true
org/bukkit/conversations/StringPrompt,true,0,29,true,0,true
org/bukkit/conversations/PlayerNamePrompt,true,30,202,true,16,NA
org/bukkit/conversations/ConversationContext,true,9,291,true,4,true
org/bukkit/conversations/ExactMatchConversationCanceller,true,9,138,false,NA,false
org/bukkit/conversations/MessagePrompt,true,8,76,true,0,true
org/bukkit/conversations/Prompt,true,5,42,false,NA,NA
org/bukkit/conversations/ConversationCanceller,true,3,30,true,0,NA
org/bukkit/conversations/NullConversationPrefix,true,0,29,true,0,true
org/bukkit/conversations/PluginNameConversationPrefix,true,79,244,true,22,NA
org/bukkit/conversations/ConversationPrefix,true,2,9,true,0,NA
org/bukkit/conversations/ConversationAbandonedListener,true,2,12,true,0,NA
org/bukkit/conversations/BooleanPrompt,true,10,194,true,0,true
org/bukkit/conversations/Conversation,true,315,1918,false,NA,false
org/bukkit/conversations/NumericPrompt,true,70,396,true,28,true
org/bukkit/conversations/ConversationFactory,true,122,1327,false,NA,false
org/bukkit/conversations/ManuallyAbandonedConversationCanceller,true,9,72,false,NA,NA
org/bukkit/conversations/Conversable,true,5,54,true,0,NA
org/bukkit/conversations/RegexPrompt,true,5,158,true,0,true
org/bukkit/conversations/InactivityConversationCanceller,true,158,710,false,NA,NA
org/bukkit/conversations/ValidatingPrompt,true,92,249,true,26,true
org/bukkit/Achievement,true,NA,1053,false,NA,false
org/bukkit/World,true,177,1680,false,NA,NA
org/bukkit/EntityEffect,true,NA,496,false,NA,false
org/bukkit/Effect,true,NA,1326,false,NA,false
org/bukkit/Server,true,14,783,false,NA,NA
org/bukkit/event/world/WorldUnloadEvent,true,16,143,true,0,NA
