Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/bukkit/Statistic,true,41,822,false,NA,false
org/bukkit/Rotation,true,0,205,true,0,NA
org/bukkit/Chunk,true,0,116,true,0,NA
org/bukkit/projectiles/ProjectileSource,true,6,42,true,4,NA
org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
org/bukkit/Location,true,348,4496,false,NA,false
org/bukkit/material/NetherWarts,true,124,496,true,37,true
org/bukkit/material/LongGrass,true,20,331,true,0,true
org/bukkit/material/SpawnEgg,true,14,269,true,0,true
org/bukkit/material/EnderChest,true,10,211,true,0,true
org/bukkit/material/Step,true,35,825,true,4,true
org/bukkit/material/Dye,true,20,299,true,0,true
org/bukkit/material/Openable,true,0,14,true,0,NA
org/bukkit/material/FurnaceAndDispenser,true,7,161,true,0,true
org/bukkit/material/Cauldron,true,23,282,true,0,true
org/bukkit/material/Tree,true,309,746,true,105,true
org/bukkit/material/Diode,true,289,715,true,105,true
org/bukkit/material/Tripwire,true,32,429,true,0,true
org/bukkit/material/Pumpkin,true,286,577,true,97,true
org/bukkit/material/RedstoneWire,true,14,278,true,0,true
org/bukkit/material/PistonExtensionMaterial,true,328,627,true,109,true
org/bukkit/material/Coal,true,20,331,true,0,true
org/bukkit/material/Rails,true,322,1022,true,178,true
org/bukkit/material/MonsterEggs,true,11,417,true,4,true
org/bukkit/material/Colorable,true,0,14,true,0,NA
org/bukkit/material/TexturedMaterial,true,36,535,true,2,true
org/bukkit/material/Redstone,true,0,5,true,0,NA
org/bukkit/material/TrapDoor,true,326,753,true,111,true
org/bukkit/material/ExtendedRails,true,44,462,true,0,true
org/bukkit/material/Gate,true,353,710,true,113,true
org/bukkit/material/Button,true,319,619,true,109,true
org/bukkit/material/Lever,true,389,877,true,117,true
org/bukkit/material/Chest,true,10,211,true,0,true
org/bukkit/material/Attachable,true,0,8,true,0,NA
org/bukkit/material/Mushroom,true,490,1481,true,187,true
org/bukkit/material/Ladder,true,274,416,true,105,true
org/bukkit/material/Dispenser,true,289,531,true,117,true
org/bukkit/material/WoodenStep,true,40,550,true,0,true
org/bukkit/material/DetectorRail,true,19,283,true,0,true
