Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/bukkit/Statistic,true,767,822,false,NA,false
org/bukkit/Rotation,true,168,205,false,NA,NA
org/bukkit/Chunk,true,1,116,true,0,NA
org/bukkit/projectiles/ProjectileSource,true,7,42,true,4,NA
org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
org/bukkit/Location,true,648,4496,false,NA,false
org/bukkit/material/NetherWarts,true,159,496,false,NA,false
org/bukkit/material/LongGrass,true,65,331,false,NA,false
org/bukkit/material/SpawnEgg,true,54,269,false,NA,false
org/bukkit/material/EnderChest,true,19,211,false,NA,false
org/bukkit/material/Step,true,149,825,false,NA,false
org/bukkit/material/Dye,true,73,299,false,NA,false
org/bukkit/material/Openable,true,1,14,true,0,NA
org/bukkit/material/FurnaceAndDispenser,true,16,161,false,NA,false
org/bukkit/material/Cauldron,true,113,282,false,NA,false
org/bukkit/material/Tree,true,421,746,false,NA,false
org/bukkit/material/Diode,true,364,715,false,NA,false
org/bukkit/material/Tripwire,true,158,429,false,NA,false
org/bukkit/material/Pumpkin,true,350,577,false,NA,false
org/bukkit/material/RedstoneWire,true,63,278,false,NA,false
org/bukkit/material/PistonExtensionMaterial,true,419,627,false,NA,false
org/bukkit/material/Coal,true,65,331,false,NA,false
org/bukkit/material/Rails,true,430,1022,false,NA,false
org/bukkit/material/MonsterEggs,true,26,417,false,NA,false
org/bukkit/material/Colorable,true,2,14,true,0,NA
org/bukkit/material/TexturedMaterial,true,90,535,false,NA,false
org/bukkit/material/Redstone,true,1,5,true,0,NA
org/bukkit/material/TrapDoor,true,451,753,false,NA,false
org/bukkit/material/ExtendedRails,true,110,462,false,NA,false
org/bukkit/material/Gate,true,436,710,false,NA,false
org/bukkit/material/Button,true,428,619,false,NA,false
org/bukkit/material/Lever,true,536,877,false,NA,false
org/bukkit/material/Chest,true,19,211,false,NA,false
org/bukkit/material/Attachable,true,1,8,true,0,NA
org/bukkit/material/Mushroom,true,652,1481,false,NA,false
org/bukkit/material/Ladder,true,306,416,false,NA,false
org/bukkit/material/Dispenser,true,316,531,false,NA,false
org/bukkit/material/WoodenStep,true,175,550,false,NA,false
org/bukkit/material/DetectorRail,true,86,283,false,NA,false
org/bukkit/material/CocoaPlant,true,524,911,false,NA,false
org/bukkit/material/Wool,true,65,334,false,NA,false
org/bukkit/material/Sandstone,true,65,331,false,NA,false
org/bukkit/material/Stairs,true,392,668,false,NA,false
org/bukkit/material/FlowerPot,true,265,1119,false,NA,false
org/bukkit/material/PressureSensor,true,1,5,true,0,NA
org/bukkit/material/Bed,true,409,686,false,NA,false
org/bukkit/material/Cake,true,83,428,false,NA,false
org/bukkit/material/SimpleAttachableMaterialData,true,42,365,false,NA,false
org/bukkit/material/DirectionalContainer,true,314,449,false,NA,false
