Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/bukkit/Statistic,true,735,822,false,NA,false
org/bukkit/Rotation,true,148,205,false,NA,NA
org/bukkit/Chunk,true,1,116,true,0,NA
org/bukkit/projectiles/ProjectileSource,true,7,42,true,4,NA
org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
org/bukkit/Location,true,650,4496,false,NA,false
org/bukkit/material/NetherWarts,true,80,496,false,NA,false
org/bukkit/material/LongGrass,true,65,331,false,NA,false
org/bukkit/material/SpawnEgg,true,55,269,false,NA,false
org/bukkit/material/EnderChest,true,19,211,false,NA,false
org/bukkit/material/Step,true,140,825,false,NA,false
org/bukkit/material/Dye,true,73,299,false,NA,false
org/bukkit/material/Openable,true,1,14,true,0,NA
org/bukkit/material/FurnaceAndDispenser,true,16,161,false,NA,false
org/bukkit/material/Cauldron,true,106,282,false,NA,false
org/bukkit/material/Tree,true,188,746,false,NA,false
org/bukkit/material/Diode,true,149,715,false,NA,false
org/bukkit/material/Tripwire,true,131,429,false,NA,false
org/bukkit/material/Pumpkin,true,94,577,false,NA,false
org/bukkit/material/RedstoneWire,true,57,278,false,NA,false
org/bukkit/material/PistonExtensionMaterial,true,189,627,false,NA,false
org/bukkit/material/Coal,true,65,331,false,NA,false
org/bukkit/material/Rails,true,244,1022,false,NA,false
org/bukkit/material/MonsterEggs,true,31,417,false,NA,false
org/bukkit/material/Colorable,true,2,14,true,0,NA
org/bukkit/material/TexturedMaterial,true,90,535,false,NA,false
org/bukkit/material/Redstone,true,1,5,true,0,NA
org/bukkit/material/TrapDoor,true,225,753,false,NA,false
org/bukkit/material/ExtendedRails,true,110,462,false,NA,false
org/bukkit/material/Gate,true,199,710,false,NA,false
org/bukkit/material/Button,true,203,619,false,NA,false
org/bukkit/material/Lever,true,307,877,false,NA,false
org/bukkit/material/Chest,true,19,211,false,NA,false
org/bukkit/material/Attachable,true,1,8,true,0,NA
org/bukkit/material/Mushroom,true,379,1481,false,NA,false
org/bukkit/material/Ladder,true,60,416,false,NA,false
org/bukkit/material/Dispenser,true,70,531,false,NA,false
org/bukkit/material/WoodenStep,true,160,550,false,NA,false
org/bukkit/material/DetectorRail,true,73,283,false,NA,false
org/bukkit/material/CocoaPlant,true,247,911,false,NA,false
org/bukkit/material/Wool,true,65,334,false,NA,false
org/bukkit/material/Sandstone,true,65,331,false,NA,false
org/bukkit/material/Stairs,true,156,668,false,NA,false
org/bukkit/material/FlowerPot,true,264,1119,false,NA,false
org/bukkit/material/PressureSensor,true,1,5,true,0,NA
org/bukkit/material/Bed,true,173,686,false,NA,false
org/bukkit/material/Cake,true,82,428,false,NA,false
org/bukkit/material/SimpleAttachableMaterialData,true,41,365,false,NA,false
org/bukkit/material/DirectionalContainer,true,73,449,false,NA,false
org/bukkit/material/PressurePlate,true,43,262,false,NA,false
org/bukkit/material/PoweredRail,true,73,283,false,NA,false
org/bukkit/material/Torch,true,59,448,false,NA,false
org/bukkit/material/Command,true,102,358,false,NA,false
org/bukkit/material/PistonBaseMaterial,true,184,632,false,NA,false
org/bukkit/material/TripwireHook,true,253,757,false,NA,false
org/bukkit/material/Crops,true,65,331,false,NA,false
org/bukkit/material/Skull,true,89,546,false,NA,false
org/bukkit/material/SmoothBrick,true,31,445,false,NA,false
org/bukkit/material/Sign,true,265,1279,false,NA,false
org/bukkit/material/Directional,true,1,14,true,0,NA
org/bukkit/material/RedstoneTorch,true,46,286,false,NA,false
org/bukkit/material/MaterialData,true,235,785,false,NA,false
org/bukkit/material/Furnace,true,19,211,false,NA,false
org/bukkit/material/Leaves,true,72,343,false,NA,NA
org/bukkit/material/Door,true,301,892,false,NA,false
org/bukkit/material/Vine,true,696,2034,false,NA,false
org/bukkit/BlockChangeDelegate,true,11,166,true,20,NA
org/bukkit/conversations/FixedSetPrompt,true,25,211,true,8,true
org/bukkit/conversations/ConversationAbandonedEvent,true,12,194,true,1,true
org/bukkit/conversations/StringPrompt,true,4,29,true,0,true
org/bukkit/conversations/PlayerNamePrompt,true,15,202,true,0,NA
org/bukkit/conversations/ConversationContext,true,13,291,true,4,true
org/bukkit/conversations/ExactMatchConversationCanceller,true,12,138,false,NA,false
org/bukkit/conversations/MessagePrompt,true,7,76,true,0,true
org/bukkit/conversations/Prompt,true,5,42,false,NA,NA
org/bukkit/conversations/ConversationCanceller,true,3,30,true,0,NA
org/bukkit/conversations/NullConversationPrefix,true,4,29,true,0,true
org/bukkit/conversations/PluginNameConversationPrefix,true,25,244,true,0,NA
org/bukkit/conversations/ConversationPrefix,true,2,9,true,0,NA
org/bukkit/conversations/ConversationAbandonedListener,true,2,12,true,0,NA
org/bukkit/conversations/BooleanPrompt,true,51,194,true,17,true
org/bukkit/conversations/Conversation,true,264,1918,false,NA,false
org/bukkit/conversations/NumericPrompt,true,77,396,true,33,true
org/bukkit/conversations/ConversationFactory,true,151,1327,false,NA,false
org/bukkit/conversations/ManuallyAbandonedConversationCanceller,true,12,72,false,NA,NA
org/bukkit/conversations/Conversable,true,5,54,true,0,NA
org/bukkit/conversations/RegexPrompt,true,6,158,true,1,true
org/bukkit/conversations/InactivityConversationCanceller,true,105,710,false,NA,NA
org/bukkit/conversations/ValidatingPrompt,true,43,249,true,1,true
org/bukkit/Achievement,true,853,1053,false,NA,false
org/bukkit/World,true,183,1680,false,NA,NA
org/bukkit/EntityEffect,true,472,496,false,NA,false
org/bukkit/Effect,true,586,1326,false,NA,false
org/bukkit/Server,true,26,783,false,NA,NA
org/bukkit/event/world/WorldUnloadEvent,true,11,143,true,0,NA
org/bukkit/event/world/ChunkEvent,true,5,79,true,0,NA
org/bukkit/event/world/PortalCreateEvent,true,53,385,false,NA,NA
org/bukkit/event/world/WorldInitEvent,true,11,79,true,0,NA
org/bukkit/event/world/WorldEvent,true,5,68,true,0,NA
org/bukkit/event/world/WorldSaveEvent,true,11,79,true,0,NA
org/bukkit/event/world/SpawnChangeEvent,true,24,133,true,0,NA
org/bukkit/event/world/ChunkPopulateEvent,true,11,79,true,0,NA
org/bukkit/event/world/StructureGrowEvent,true,50,438,true,6,NA
org/bukkit/event/world/WorldLoadEvent,true,11,79,true,0,NA
org/bukkit/event/world/ChunkUnloadEvent,true,29,146,true,0,NA
org/bukkit/event/world/ChunkLoadEvent,true,23,135,true,0,NA
org/bukkit/event/weather/LightningStrikeEvent,true,30,197,true,0,NA
org/bukkit/event/weather/WeatherChangeEvent,true,30,199,true,0,NA
org/bukkit/event/weather/ThunderChangeEvent,true,30,199,true,0,NA
org/bukkit/event/weather/WeatherEvent,true,8,68,true,0,NA
org/bukkit/event/vehicle/VehicleExitEvent,true,26,197,true,0,NA
org/bukkit/event/vehicle/VehicleBlockCollisionEvent,true,22,133,true,0,NA
org/bukkit/event/vehicle/VehicleDestroyEvent,true,26,197,true,0,NA
org/bukkit/event/vehicle/VehicleUpdateEvent,true,10,79,true,0,NA
org/bukkit/event/vehicle/VehicleDamageEvent,true,53,428,true,12,NA
org/bukkit/event/vehicle/VehicleEvent,true,4,68,true,0,NA
org/bukkit/event/vehicle/VehicleEnterEvent,true,26,197,true,0,NA
org/bukkit/event/vehicle/VehicleEntityCollisionEvent,true,66,328,true,0,NA
org/bukkit/event/vehicle/VehicleMoveEvent,true,28,187,true,0,NA
org/bukkit/event/vehicle/VehicleCollisionEvent,true,1,23,true,0,NA
org/bukkit/event/vehicle/VehicleCreateEvent,true,10,79,true,0,NA
org/bukkit/event/hanging/HangingBreakByEntityEvent,true,5,81,false,NA,NA
org/bukkit/event/hanging/HangingBreakEvent,true,60,326,false,NA,NA
org/bukkit/event/hanging/HangingEvent,true,4,68,true,0,NA
org/bukkit/event/hanging/HangingPlaceEvent,true,36,305,true,0,NA
org/bukkit/event/painting/PaintingBreakEvent,true,65,344,false,NA,NA
org/bukkit/event/painting/PaintingBreakByEntityEvent,true,8,99,false,NA,NA
org/bukkit/event/painting/PaintingEvent,true,7,86,true,2,NA
org/bukkit/event/painting/PaintingPlaceEvent,true,40,323,true,2,NA
org/bukkit/event/Cancellable,true,1,14,true,0,NA
org/bukkit/event/Event,true,36,270,false,NA,false
org/bukkit/event/EventPriority,true,207,193,false,NA,false
org/bukkit/event/inventory/InventoryEvent,true,26,194,true,2,NA
org/bukkit/event/inventory/FurnaceSmeltEvent,true,34,334,true,4,NA
org/bukkit/event/inventory/InventoryOpenEvent,true,23,188,true,0,NA
org/bukkit/event/inventory/FurnaceBurnEvent,true,34,423,true,4,NA
org/bukkit/event/inventory/InventoryClickEvent,true,127,1003,false,NA,NA
org/bukkit/event/inventory/InventoryType,true,466,685,false,NA,false
org/bukkit/event/inventory/InventoryPickupItemEvent,true,31,242,true,0,NA
org/bukkit/event/inventory/InventoryMoveItemEvent,true,45,482,true,0,NA
org/bukkit/event/inventory/InventoryDragEvent,false,NA,NA,false,NA,NA
org/bukkit/event/inventory/PrepareItemCraftEvent,true,25,226,false,NA,NA
org/bukkit/event/inventory/DragType,true,99,43,false,NA,NA
org/bukkit/event/inventory/BrewEvent,true,24,197,true,0,NA
org/bukkit/event/inventory/CraftItemEvent,true,17,384,false,NA,NA
org/bukkit/event/inventory/ClickType,true,555,588,false,NA,NA
org/bukkit/event/inventory/FurnaceExtractEvent,true,10,196,true,0,NA
org/bukkit/event/inventory/InventoryCreativeEvent,true,4,135,true,0,NA
org/bukkit/event/inventory/InventoryAction,true,456,264,false,NA,NA
org/bukkit/event/inventory/InventoryCloseEvent,true,11,100,true,0,NA
org/bukkit/event/inventory/InventoryInteractEvent,true,25,215,false,NA,NA
org/bukkit/event/EventHandler,true,31,62,true,4,NA
org/bukkit/event/server/RemoteServerCommandEvent,true,11,88,true,0,NA
org/bukkit/event/server/ServerEvent,true,3,14,true,0,NA
org/bukkit/event/server/ServiceEvent,true,4,104,true,6,NA
org/bukkit/event/server/PluginDisableEvent,true,10,79,true,0,NA
org/bukkit/event/server/ServiceRegisterEvent,true,9,91,true,2,NA
org/bukkit/event/server/PluginEnableEvent,true,10,79,true,0,NA
org/bukkit/event/server/ServiceUnregisterEvent,true,9,91,true,2,NA
org/bukkit/event/server/MapInitializeEvent,true,21,124,true,0,NA
org/bukkit/event/server/ServerCommandEvent,true,25,214,true,0,NA
org/bukkit/event/server/ServerListPingEvent,true,76,689,true,26,NA
org/bukkit/event/server/PluginEvent,true,4,68,true,0,NA
org/bukkit/event/Listener,true,1,0,true,0,NA
org/bukkit/event/entity/EntityPortalExitEvent,true,16,259,true,0,NA
org/bukkit/event/entity/CreatureSpawnEvent,true,206,875,false,NA,NA
org/bukkit/event/entity/EntityTeleportEvent,true,31,339,true,0,NA
org/bukkit/event/entity/ItemDespawnEvent,true,34,220,false,NA,NA
org/bukkit/event/entity/ProjectileHitEvent,true,17,102,false,NA,NA
org/bukkit/event/entity/EntityCombustByBlockEvent,true,6,86,true,0,NA
org/bukkit/event/entity/EntityTameEvent,true,37,220,false,NA,NA
org/bukkit/event/entity/SheepRegrowWoolEvent,true,26,190,false,NA,NA
org/bukkit/event/entity/EntityCreatePortalEvent,true,51,306,false,NA,NA
org/bukkit/event/entity/EntityTargetEvent,true,118,567,false,NA,NA
org/bukkit/event/entity/PlayerLeashEntityEvent,true,33,299,true,0,NA
org/bukkit/event/entity/ProjectileLaunchEvent,true,29,166,false,NA,NA
org/bukkit/event/entity/PlayerDeathEvent,true,103,739,false,NA,NA
org/bukkit/event/entity/EntityRegainHealthEvent,true,102,639,false,NA,NA
org/bukkit/event/entity/EntityTargetLivingEntityEvent,true,35,116,false,NA,NA
org/bukkit/event/entity/EntityShootBowEvent,true,50,362,false,NA,NA
org/bukkit/event/entity/CreeperPowerEvent,true,59,406,false,NA,NA
org/bukkit/event/entity/EntityBreakDoorEvent,true,8,66,false,NA,NA
org/bukkit/event/entity/EntityDeathEvent,true,38,318,false,NA,NA
org/bukkit/event/entity/EntityUnleashEvent,true,47,243,false,NA,NA
org/bukkit/event/entity/HorseJumpEvent,true,33,256,false,NA,NA
org/bukkit/event/entity/EntityEvent,true,10,98,true,0,NA
org/bukkit/event/entity/EntityInteractEvent,true,29,197,true,0,NA
org/bukkit/event/entity/EntityPortalEnterEvent,true,23,133,true,0,NA
org/bukkit/event/entity/PotionSplashEvent,true,66,563,false,NA,NA
org/bukkit/event/entity/ExplosionPrimeEvent,true,31,398,true,1,NA
org/bukkit/event/entity/EntityCombustEvent,true,26,257,true,0,NA
org/bukkit/event/entity/ExpBottleEvent,true,41,256,false,NA,NA
org/bukkit/event/entity/EntityDamageByEntityEvent,true,21,293,false,NA,NA
org/bukkit/event/entity/EntityExplodeEvent,true,35,383,true,6,NA
org/bukkit/event/entity/SlimeSplitEvent,true,35,259,false,NA,NA
org/bukkit/event/entity/EntityPortalEvent,true,35,247,true,0,NA
org/bukkit/event/entity/SheepDyeWoolEvent,true,34,276,false,NA,NA
org/bukkit/event/entity/EntityCombustByEntityEvent,true,6,86,true,0,NA
org/bukkit/event/entity/EntityChangeBlockEvent,true,56,409,true,18,NA
org/bukkit/event/entity/PigZapEvent,true,35,274,false,NA,NA
org/bukkit/event/entity/EntityDamageByBlockEvent,true,21,293,false,NA,NA
org/bukkit/event/entity/FoodLevelChangeEvent,true,40,317,false,NA,NA
org/bukkit/event/entity/ItemSpawnEvent,true,31,220,false,NA,NA
org/bukkit/event/entity/EntityDamageEvent,false,NA,NA,false,NA,false
org/bukkit/event/enchantment/PrepareItemEnchantEvent,true,44,462,true,0,NA
org/bukkit/event/enchantment/EnchantItemEvent,true,50,595,true,7,NA
org/bukkit/event/block/BlockFadeEvent,true,26,221,true,0,NA
org/bukkit/event/block/BlockExpEvent,true,11,162,true,0,true
org/bukkit/event/block/NotePlayEvent,true,41,346,true,0,NA
org/bukkit/event/block/BlockFormEvent,true,11,91,true,0,NA
org/bukkit/event/block/BlockPhysicsEvent,true,37,253,true,8,NA
org/bukkit/event/block/SignChangeEvent,true,45,371,true,4,NA
org/bukkit/event/block/BlockGrowEvent,true,22,193,true,0,NA
org/bukkit/event/block/BlockPlaceEvent,true,45,493,true,0,NA
org/bukkit/event/block/Action,true,162,82,false,NA,NA
org/bukkit/event/block/BlockFromToEvent,true,46,424,true,0,NA
org/bukkit/event/block/LeavesDecayEvent,true,28,146,true,0,NA
org/bukkit/event/block/BlockEvent,true,7,68,true,0,true
org/bukkit/event/block/BlockBreakEvent,true,8,145,true,0,true
org/bukkit/event/block/BlockDamageEvent,true,36,365,true,0,NA
org/bukkit/event/block/EntityBlockFormEvent,true,6,86,true,0,NA
org/bukkit/event/block/BlockRedstoneEvent,true,27,225,true,0,NA
org/bukkit/event/block/BlockIgniteEvent,true,111,734,false,NA,NA
org/bukkit/event/block/BlockPistonEvent,true,7,174,true,0,NA
org/bukkit/event/block/BlockSpreadEvent,true,23,142,true,0,NA
org/bukkit/event/block/BlockMultiPlaceEvent,false,NA,NA,false,NA,NA
org/bukkit/event/block/BlockCanBuildEvent,true,36,283,true,12,NA
org/bukkit/event/block/BlockPistonExtendEvent,true,43,382,true,10,NA
org/bukkit/event/block/BlockPistonRetractEvent,true,17,135,true,0,NA
org/bukkit/event/block/BlockBurnEvent,true,22,167,true,0,NA
org/bukkit/event/block/BlockDispenseEvent,true,40,334,true,0,NA
org/bukkit/event/HandlerList,true,728,1950,false,NA,false
org/bukkit/event/EventException,true,13,219,true,0,NA
org/bukkit/event/player/PlayerShearEntityEvent,true,25,221,true,0,NA
org/bukkit/event/player/PlayerChangedWorldEvent,true,23,133,true,0,NA
org/bukkit/event/player/PlayerBucketEvent,true,28,338,true,0,NA
org/bukkit/event/player/AsyncPlayerPreLoginEvent,true,116,1083,false,NA,NA
org/bukkit/event/player/PlayerCommandPreprocessEvent,true,110,687,true,33,NA
org/bukkit/event/player/PlayerToggleFlightEvent,true,32,202,true,0,NA
org/bukkit/event/player/PlayerDropItemEvent,true,32,200,true,0,NA
org/bukkit/event/player/PlayerBedEnterEvent,true,31,200,true,0,NA
org/bukkit/event/player/AsyncPlayerChatEvent,true,82,464,true,18,NA
org/bukkit/event/player/PlayerPickupItemEvent,true,37,256,true,0,NA
org/bukkit/event/player/PlayerExpChangeEvent,true,26,169,true,0,NA
org/bukkit/event/player/PlayerKickEvent,true,39,347,true,0,NA
org/bukkit/event/player/PlayerInteractEntityEvent,true,29,200,true,0,NA
org/bukkit/event/player/PlayerUnregisterChannelEvent,true,2,32,true,0,NA
org/bukkit/event/player/PlayerFishEvent,true,87,565,false,NA,NA
org/bukkit/event/player/PlayerTeleportEvent,true,76,363,false,NA,NA
org/bukkit/event/player/PlayerToggleSneakEvent,true,32,202,true,0,NA
org/bukkit/event/player/PlayerPreLoginEvent,true,90,762,false,NA,NA
org/bukkit/event/player/PlayerUnleashEntityEvent,true,14,148,false,NA,NA
org/bukkit/event/player/PlayerLevelChangeEvent,true,26,191,true,0,NA
org/bukkit/event/player/PlayerItemBreakEvent,true,22,133,true,0,NA
org/bukkit/event/player/PlayerBucketFillEvent,true,15,115,true,0,NA
org/bukkit/event/player/PlayerItemHeldEvent,true,37,258,true,0,NA
org/bukkit/event/player/PlayerLoginEvent,true,105,882,false,NA,NA
org/bukkit/event/player/PlayerRespawnEvent,true,14,274,true,0,NA
org/bukkit/event/player/PlayerQuitEvent,true,23,169,true,0,NA
org/bukkit/event/player/PlayerInteractEvent,true,90,926,false,NA,false
org/bukkit/event/player/PlayerBedLeaveEvent,true,22,133,true,0,NA
org/bukkit/event/player/PlayerPortalEvent,true,70,345,false,NA,NA
org/bukkit/event/player/PlayerStatisticIncrementEvent,true,65,718,true,0,NA
org/bukkit/event/player/PlayerEggThrowEvent,true,47,605,true,17,NA
org/bukkit/event/player/PlayerChatTabCompleteEvent,true,31,409,true,18,true
org/bukkit/event/player/PlayerGameModeChangeEvent,true,26,197,true,0,NA
org/bukkit/event/player/PlayerMoveEvent,true,41,318,true,0,true
org/bukkit/event/player/PlayerBucketEmptyEvent,true,15,115,true,0,NA
org/bukkit/event/player/PlayerEditBookEvent,true,67,662,false,NA,NA
org/bukkit/event/player/PlayerChatEvent,true,77,678,true,19,NA
org/bukkit/event/player/PlayerInventoryEvent,true,23,140,true,0,NA
org/bukkit/event/player/PlayerAchievementAwardedEvent,true,31,200,true,0,NA
org/bukkit/event/player/PlayerAnimationEvent,true,31,203,true,0,NA
org/bukkit/event/player/PlayerEvent,true,11,118,true,0,true
org/bukkit/event/player/PlayerToggleSprintEvent,true,32,202,true,0,NA
org/bukkit/event/player/PlayerJoinEvent,true,23,169,true,0,NA
org/bukkit/event/player/PlayerChannelEvent,true,22,135,true,0,NA
org/bukkit/event/player/PlayerVelocityEvent,true,32,232,true,0,NA
org/bukkit/event/player/PlayerItemConsumeEvent,true,22,293,true,12,NA
org/bukkit/event/player/PlayerRegisterChannelEvent,true,2,32,true,0,NA
org/bukkit/event/player/PlayerAnimationType,true,77,30,false,NA,NA
org/bukkit/CoalType,true,192,276,false,NA,false
org/bukkit/SkullType,true,162,82,false,NA,NA
org/bukkit/GrassSpecies,true,216,296,false,NA,false
org/bukkit/GameMode,true,196,293,false,NA,false
org/bukkit/DyeColor,false,NA,NA,false,NA,false
org/bukkit/help/HelpTopicComparator,true,63,314,false,NA,NA
org/bukkit/help/HelpTopic,true,32,348,true,0,NA
org/bukkit/help/IndexHelpTopic,true,104,1011,true,63,NA
org/bukkit/help/HelpTopicFactory,true,4,13,false,NA,NA
org/bukkit/help/GenericCommandHelpTopic,true,63,808,true,31,NA
