Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/bukkit/Statistic,true,10,822,true,0,true
org/bukkit/Rotation,true,8,205,true,0,NA
org/bukkit/Chunk,true,18,116,true,0,NA
org/bukkit/projectiles/ProjectileSource,true,4,42,true,0,NA
org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
org/bukkit/Location,true,292,4496,true,34,true
org/bukkit/material/NetherWarts,true,33,496,true,4,true
org/bukkit/material/LongGrass,true,19,331,true,0,true
org/bukkit/material/SpawnEgg,true,20,269,true,0,true
org/bukkit/material/EnderChest,true,7,211,true,0,true
org/bukkit/material/Step,true,46,825,true,2,true
org/bukkit/material/Dye,true,19,299,true,0,true
org/bukkit/material/Openable,true,1,14,true,0,NA
org/bukkit/material/FurnaceAndDispenser,true,2,161,true,0,true
org/bukkit/material/Cauldron,true,24,282,true,0,true
org/bukkit/material/Tree,true,59,746,true,31,true
org/bukkit/material/Diode,true,50,715,true,20,true
org/bukkit/material/Tripwire,true,29,429,true,0,true
org/bukkit/material/Pumpkin,true,34,577,true,4,true
org/bukkit/material/RedstoneWire,true,9,278,true,0,true
org/bukkit/material/PistonExtensionMaterial,true,40,627,true,0,true
org/bukkit/material/Coal,true,19,331,true,0,true
org/bukkit/material/Rails,true,61,1022,true,41,true
org/bukkit/material/MonsterEggs,true,13,417,true,2,true
org/bukkit/material/Colorable,true,3,14,true,0,NA
org/bukkit/material/TexturedMaterial,true,40,535,true,0,true
org/bukkit/material/Redstone,true,0,5,true,0,NA
org/bukkit/material/TrapDoor,true,53,753,true,0,true
org/bukkit/material/ExtendedRails,true,24,462,true,0,true
org/bukkit/material/Gate,true,81,710,true,11,true
org/bukkit/material/Button,true,39,619,true,0,true
org/bukkit/material/Lever,true,47,877,true,0,true
org/bukkit/material/Chest,true,7,211,true,0,true
org/bukkit/material/Attachable,true,1,8,true,0,NA
org/bukkit/material/Mushroom,true,153,1481,true,0,true
org/bukkit/material/Ladder,true,16,416,true,0,true
org/bukkit/material/Dispenser,true,25,531,true,4,true
org/bukkit/material/WoodenStep,true,43,550,true,0,true
org/bukkit/material/DetectorRail,true,19,283,true,0,true
org/bukkit/material/CocoaPlant,true,66,911,true,28,true
org/bukkit/material/Wool,true,21,334,true,0,true
org/bukkit/material/Sandstone,true,19,331,true,0,true
org/bukkit/material/Stairs,true,49,668,true,26,true
org/bukkit/material/FlowerPot,true,58,1119,true,0,true
org/bukkit/material/PressureSensor,true,0,5,true,0,NA
org/bukkit/material/Bed,true,50,686,true,4,true
org/bukkit/material/Cake,true,29,428,true,0,true
org/bukkit/material/SimpleAttachableMaterialData,true,36,365,true,0,true
org/bukkit/material/DirectionalContainer,true,23,449,true,4,true
