Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/codec/StringDecoder,true,0,15,true,0,NA
org/apache/commons/codec/DecoderException,true,5,103,true,0,true
org/apache/commons/codec/Decoder,true,0,12,true,0,NA
org/apache/commons/codec/StringEncoder,true,0,15,true,0,NA
org/apache/commons/codec/net/QCodec,true,185,2528,false,NA,false
org/apache/commons/codec/net/QuotedPrintableCodec,true,158,2268,true,0,true
org/apache/commons/codec/net/RFC1522Codec,true,33,1204,true,0,true
org/apache/commons/codec/net/BCodec,true,48,994,true,0,true
org/apache/commons/codec/net/Utils,true,13,142,true,0,true
org/apache/commons/codec/net/URLCodec,true,195,2301,true,0,true
org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
org/apache/commons/codec/StringEncoderComparator,true,11,322,true,0,true
org/apache/commons/codec/language/Caverphone1,true,1,2156,true,0,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,9,820,true,0,true
org/apache/commons/codec/language/bm/Rule,true,491,8598,false,NA,false
org/apache/commons/codec/language/bm/NameType,true,1,133,true,0,true
org/apache/commons/codec/language/bm/RuleType,true,1,133,true,0,true
org/apache/commons/codec/language/bm/Languages,true,263,2277,true,23,true
org/apache/commons/codec/language/bm/Lang,true,127,1846,true,26,true
org/apache/commons/codec/language/bm/PhoneticEngine,true,216,5845,true,67,true
org/apache/commons/codec/language/bm/ResourceConstants,true,5,52,true,0,NA
org/apache/commons/codec/language/Nysiis,true,81,2627,true,108,true
org/apache/commons/codec/language/AbstractCaverphone,true,7,175,true,0,true
org/apache/commons/codec/language/ColognePhonetic,true,363,3533,true,174,true
org/apache/commons/codec/language/DoubleMetaphone,true,3718,16763,false,NA,false
org/apache/commons/codec/language/Caverphone2,true,1,2264,true,0,true
org/apache/commons/codec/language/Caverphone,true,9,275,true,0,NA
org/apache/commons/codec/language/SoundexUtils,true,17,623,true,16,true
org/apache/commons/codec/language/Soundex,true,106,1468,true,74,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,274,3792,true,44,true
org/apache/commons/codec/language/RefinedSoundex,true,37,925,true,20,true
org/apache/commons/codec/language/Metaphone,true,265,4545,true,174,true
org/apache/commons/codec/Encoder,true,0,12,true,0,NA
org/apache/commons/codec/BinaryDecoder,true,0,21,true,0,NA
org/apache/commons/codec/EncoderException,true,5,103,true,0,true
org/apache/commons/codec/BinaryEncoder,true,0,21,true,0,NA
org/apache/commons/codec/Charsets,true,28,343,true,0,true
org/apache/commons/codec/digest/B64,true,9,353,true,0,true
org/apache/commons/codec/digest/HmacUtils,true,136,3372,true,0,true
org/apache/commons/codec/digest/Md5Crypt,true,78,2461,true,158,true
org/apache/commons/codec/digest/HmacAlgorithms,true,5,180,true,0,true
org/apache/commons/codec/digest/Crypt,true,36,458,true,0,true
org/apache/commons/codec/digest/DigestUtils,true,176,2927,true,0,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
org/apache/commons/codec/digest/UnixCrypt,true,226,10756,true,0,true
org/apache/commons/codec/digest/Sha2Crypt,true,90,5675,true,434,true
org/apache/commons/codec/binary/CharSequenceUtils,true,16,378,true,22,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,149,1213,true,20,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64,true,405,7614,true,128,true
org/apache/commons/codec/binary/Hex,true,62,1826,true,26,false
org/apache/commons/codec/binary/BinaryCodec,true,146,2251,false,NA,false
org/apache/commons/codec/binary/BaseNCodec,true,283,3581,false,NA,false
org/apache/commons/codec/binary/Base32,true,609,9816,false,NA,false
org/apache/commons/codec/binary/StringUtils,true,38,1244,true,0,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,125,1381,true,28,true
