Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/codec/StringDecoder,true,1,15,true,0,NA
org/apache/commons/codec/DecoderException,true,5,103,true,0,true
org/apache/commons/codec/Decoder,true,1,12,true,0,NA
org/apache/commons/codec/StringEncoder,true,1,15,true,0,NA
org/apache/commons/codec/net/QCodec,true,485,2528,false,NA,false
org/apache/commons/codec/net/QuotedPrintableCodec,true,545,2268,false,NA,false
org/apache/commons/codec/net/RFC1522Codec,true,228,1204,true,265,true
org/apache/commons/codec/net/BCodec,true,248,994,false,NA,false
org/apache/commons/codec/net/Utils,true,58,142,true,22,true
org/apache/commons/codec/net/URLCodec,true,593,2301,true,339,true
org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
org/apache/commons/codec/StringEncoderComparator,true,52,322,true,20,true
org/apache/commons/codec/language/Caverphone1,true,265,2156,true,247,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,296,820,true,134,true
org/apache/commons/codec/language/bm/Rule,false,NA,NA,false,NA,false
org/apache/commons/codec/language/bm/NameType,true,NA,133,false,NA,false
org/apache/commons/codec/language/bm/RuleType,true,NA,133,false,NA,false
org/apache/commons/codec/language/bm/Languages,false,NA,NA,false,NA,false
org/apache/commons/codec/language/bm/Lang,false,NA,NA,false,NA,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,1633,5845,false,NA,false
org/apache/commons/codec/language/bm/ResourceConstants,true,5,52,true,0,NA
org/apache/commons/codec/language/Nysiis,true,649,2627,false,NA,false
org/apache/commons/codec/language/AbstractCaverphone,true,19,175,true,18,true
org/apache/commons/codec/language/ColognePhonetic,true,836,3533,false,NA,false
org/apache/commons/codec/language/DoubleMetaphone,true,5991,16763,false,NA,false
org/apache/commons/codec/language/Caverphone2,true,277,2264,true,259,true
org/apache/commons/codec/language/Caverphone,true,28,275,true,19,NA
org/apache/commons/codec/language/SoundexUtils,true,102,623,true,92,true
org/apache/commons/codec/language/Soundex,true,236,1468,true,149,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,786,3792,true,521,true
org/apache/commons/codec/language/RefinedSoundex,true,108,925,true,92,true
org/apache/commons/codec/language/Metaphone,true,663,4545,true,958,false
org/apache/commons/codec/Encoder,true,1,12,true,0,NA
org/apache/commons/codec/BinaryDecoder,true,1,21,true,0,NA
org/apache/commons/codec/EncoderException,true,5,103,true,0,true
org/apache/commons/codec/BinaryEncoder,true,1,21,true,0,NA
org/apache/commons/codec/Charsets,true,132,343,true,48,true
org/apache/commons/codec/digest/B64,true,87,353,true,44,true
org/apache/commons/codec/digest/HmacUtils,true,232,3372,true,111,true
org/apache/commons/codec/digest/Md5Crypt,true,465,2461,true,377,true
org/apache/commons/codec/digest/HmacAlgorithms,true,NA,180,false,NA,false
org/apache/commons/codec/digest/Crypt,true,56,458,true,46,true
org/apache/commons/codec/digest/DigestUtils,true,195,2927,true,42,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
org/apache/commons/codec/digest/UnixCrypt,false,NA,NA,false,NA,false
org/apache/commons/codec/digest/Sha2Crypt,false,NA,NA,false,NA,false
org/apache/commons/codec/binary/CharSequenceUtils,true,86,378,true,88,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,140,1213,false,NA,false
org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64,false,NA,NA,false,NA,false
org/apache/commons/codec/binary/Hex,true,410,1826,false,NA,false
org/apache/commons/codec/binary/BinaryCodec,false,NA,NA,false,NA,false
org/apache/commons/codec/binary/BaseNCodec,false,NA,NA,false,NA,false
org/apache/commons/codec/binary/Base32,true,1872,9816,false,NA,false
org/apache/commons/codec/binary/StringUtils,true,174,1244,true,116,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,318,1381,false,NA,false
