Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/codec/StringDecoder,true,0,15,true,0,NA
org/apache/commons/codec/DecoderException,true,5,103,true,0,true
org/apache/commons/codec/Decoder,true,0,12,true,0,NA
org/apache/commons/codec/StringEncoder,true,0,15,true,0,NA
org/apache/commons/codec/net/QCodec,true,204,2528,true,52,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,205,2268,true,43,true
org/apache/commons/codec/net/RFC1522Codec,true,170,1204,false,NA,false
org/apache/commons/codec/net/BCodec,true,101,994,true,12,true
org/apache/commons/codec/net/Utils,true,13,142,true,0,true
org/apache/commons/codec/net/URLCodec,true,213,2301,true,37,true
org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
org/apache/commons/codec/StringEncoderComparator,true,15,322,true,16,true
org/apache/commons/codec/language/Caverphone1,true,88,2156,true,15,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,34,820,true,3,true
org/apache/commons/codec/language/bm/Rule,true,1183,8598,false,NA,false
org/apache/commons/codec/language/bm/NameType,true,1,133,true,0,true
org/apache/commons/codec/language/bm/RuleType,true,1,133,true,0,true
org/apache/commons/codec/language/bm/Languages,true,474,2277,false,NA,false
org/apache/commons/codec/language/bm/Lang,true,220,1846,false,NA,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,712,5845,false,NA,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,52,true,0,NA
org/apache/commons/codec/language/Nysiis,true,153,2627,true,124,true
org/apache/commons/codec/language/AbstractCaverphone,true,10,175,true,0,true
org/apache/commons/codec/language/ColognePhonetic,true,475,3533,false,NA,false
org/apache/commons/codec/language/DoubleMetaphone,true,1095,16763,false,NA,false
org/apache/commons/codec/language/Caverphone2,true,91,2264,true,15,true
org/apache/commons/codec/language/Caverphone,true,13,275,true,0,NA
org/apache/commons/codec/language/SoundexUtils,true,37,623,true,46,true
org/apache/commons/codec/language/Soundex,true,92,1468,true,45,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,533,3792,false,NA,false
org/apache/commons/codec/language/RefinedSoundex,true,77,925,true,31,true
org/apache/commons/codec/language/Metaphone,true,410,4545,true,442,true
org/apache/commons/codec/Encoder,true,0,12,true,0,NA
org/apache/commons/codec/BinaryDecoder,true,0,21,true,0,NA
org/apache/commons/codec/EncoderException,true,5,103,true,0,true
org/apache/commons/codec/BinaryEncoder,true,0,21,true,0,NA
org/apache/commons/codec/Charsets,true,28,343,true,0,true
org/apache/commons/codec/digest/B64,true,25,353,true,0,true
org/apache/commons/codec/digest/HmacUtils,true,162,3372,true,0,true
org/apache/commons/codec/digest/Md5Crypt,true,86,2461,true,32,true
org/apache/commons/codec/digest/HmacAlgorithms,true,5,180,true,0,true
org/apache/commons/codec/digest/Crypt,true,31,458,true,3,true
org/apache/commons/codec/digest/DigestUtils,true,189,2927,true,0,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
org/apache/commons/codec/digest/UnixCrypt,true,223,10756,false,NA,false
org/apache/commons/codec/digest/Sha2Crypt,true,185,5675,true,131,true
org/apache/commons/codec/binary/CharSequenceUtils,true,15,378,true,8,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,122,1213,true,41,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64,true,352,7614,true,87,true
org/apache/commons/codec/binary/Hex,true,74,1826,true,0,true
org/apache/commons/codec/binary/BinaryCodec,true,119,2251,true,38,true
org/apache/commons/codec/binary/BaseNCodec,true,397,3581,false,NA,false
org/apache/commons/codec/binary/Base32,true,578,9816,true,90,true
org/apache/commons/codec/binary/StringUtils,true,82,1244,true,21,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,190,1381,true,58,true
