Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/codec/StringDecoder,true,0,15,true,0,NA
org/apache/commons/codec/DecoderException,true,9,103,true,7,false
org/apache/commons/codec/Decoder,true,0,12,true,0,NA
org/apache/commons/codec/StringEncoder,true,0,15,true,0,NA
org/apache/commons/codec/net/QCodec,true,118,2528,false,NA,false
org/apache/commons/codec/net/QuotedPrintableCodec,true,173,2268,false,NA,false
org/apache/commons/codec/net/RFC1522Codec,true,172,1204,false,NA,false
org/apache/commons/codec/net/BCodec,true,83,994,true,12,true
org/apache/commons/codec/net/Utils,true,22,142,true,8,true
org/apache/commons/codec/net/URLCodec,true,169,2301,false,NA,false
org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
org/apache/commons/codec/StringEncoderComparator,true,37,322,true,22,true
org/apache/commons/codec/language/Caverphone1,true,400,2156,true,442,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,12,820,true,14,true
org/apache/commons/codec/language/bm/Rule,true,1180,8598,false,NA,false
org/apache/commons/codec/language/bm/NameType,true,1,133,true,0,true
org/apache/commons/codec/language/bm/RuleType,true,1,133,true,0,true
org/apache/commons/codec/language/bm/Languages,true,444,2277,false,NA,false
org/apache/commons/codec/language/bm/Lang,true,174,1846,false,NA,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,741,5845,false,NA,false
org/apache/commons/codec/language/bm/ResourceConstants,true,5,52,true,0,NA
org/apache/commons/codec/language/Nysiis,true,208,2627,true,195,true
org/apache/commons/codec/language/AbstractCaverphone,true,27,175,true,14,true
org/apache/commons/codec/language/ColognePhonetic,true,293,3533,false,NA,false
org/apache/commons/codec/language/DoubleMetaphone,true,2034,16763,false,NA,false
org/apache/commons/codec/language/Caverphone2,true,421,2264,true,466,true
org/apache/commons/codec/language/Caverphone,true,35,275,true,14,NA
org/apache/commons/codec/language/SoundexUtils,true,38,623,true,35,true
org/apache/commons/codec/language/Soundex,true,140,1468,false,NA,false
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,486,3792,true,279,true
org/apache/commons/codec/language/RefinedSoundex,true,50,925,false,NA,false
org/apache/commons/codec/language/Metaphone,true,489,4545,false,NA,false
org/apache/commons/codec/Encoder,true,0,12,true,0,NA
org/apache/commons/codec/BinaryDecoder,true,0,21,true,0,NA
org/apache/commons/codec/EncoderException,true,9,103,true,7,false
org/apache/commons/codec/BinaryEncoder,true,0,21,true,0,NA
org/apache/commons/codec/Charsets,true,28,343,true,0,true
org/apache/commons/codec/digest/B64,true,31,353,true,19,true
org/apache/commons/codec/digest/HmacUtils,true,127,3372,true,0,true
org/apache/commons/codec/digest/Md5Crypt,true,146,2461,true,183,true
org/apache/commons/codec/digest/HmacAlgorithms,true,5,180,true,0,true
org/apache/commons/codec/digest/Crypt,true,36,458,true,0,true
org/apache/commons/codec/digest/DigestUtils,true,167,2927,true,0,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
org/apache/commons/codec/digest/UnixCrypt,true,3042,10756,false,NA,false
org/apache/commons/codec/digest/Sha2Crypt,true,81,5675,false,NA,false
org/apache/commons/codec/binary/CharSequenceUtils,true,52,378,true,84,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,88,1213,true,8,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64,true,1490,7614,false,NA,false
org/apache/commons/codec/binary/Hex,true,116,1826,true,62,false
org/apache/commons/codec/binary/BinaryCodec,true,131,2251,false,NA,false
org/apache/commons/codec/binary/BaseNCodec,true,331,3581,false,NA,false
org/apache/commons/codec/binary/Base32,true,2197,9816,true,2159,true
org/apache/commons/codec/binary/StringUtils,true,52,1244,true,0,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,108,1381,true,31,true
