Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/codec/StringDecoder,true,1,15,true,0,NA
org/apache/commons/codec/DecoderException,true,5,103,true,0,true
org/apache/commons/codec/Decoder,true,1,12,true,0,NA
org/apache/commons/codec/StringEncoder,true,1,15,true,0,NA
org/apache/commons/codec/net/QCodec,true,101,2528,true,0,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,111,2268,true,0,true
org/apache/commons/codec/net/RFC1522Codec,true,48,1204,true,0,true
org/apache/commons/codec/net/BCodec,true,88,994,true,0,true
org/apache/commons/codec/net/Utils,true,11,142,true,0,true
org/apache/commons/codec/net/URLCodec,true,112,2301,true,0,true
org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
org/apache/commons/codec/StringEncoderComparator,true,20,322,true,0,true
org/apache/commons/codec/language/Caverphone1,true,12,2156,true,0,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,75,820,true,0,true
org/apache/commons/codec/language/bm/Rule,true,899,8598,false,NA,false
org/apache/commons/codec/language/bm/NameType,true,4,133,true,0,true
org/apache/commons/codec/language/bm/RuleType,true,4,133,true,0,true
org/apache/commons/codec/language/bm/Languages,true,432,2277,false,NA,false
org/apache/commons/codec/language/bm/Lang,true,158,1846,false,NA,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,717,5845,false,NA,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,52,true,0,NA
org/apache/commons/codec/language/Nysiis,true,72,2627,true,0,true
org/apache/commons/codec/language/AbstractCaverphone,true,17,175,true,0,true
org/apache/commons/codec/language/ColognePhonetic,true,324,3533,false,NA,false
org/apache/commons/codec/language/DoubleMetaphone,true,3208,16763,false,NA,false
org/apache/commons/codec/language/Caverphone2,true,12,2264,true,0,true
org/apache/commons/codec/language/Caverphone,true,28,275,true,0,NA
org/apache/commons/codec/language/SoundexUtils,true,9,623,true,0,true
org/apache/commons/codec/language/Soundex,true,66,1468,true,41,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,238,3792,true,0,true
org/apache/commons/codec/language/RefinedSoundex,true,44,925,true,28,true
org/apache/commons/codec/language/Metaphone,true,200,4545,false,NA,false
org/apache/commons/codec/Encoder,true,1,12,true,0,NA
org/apache/commons/codec/BinaryDecoder,true,1,21,true,0,NA
org/apache/commons/codec/EncoderException,true,5,103,true,0,true
org/apache/commons/codec/BinaryEncoder,true,1,21,true,0,NA
org/apache/commons/codec/Charsets,true,22,343,true,0,true
org/apache/commons/codec/digest/B64,true,16,353,true,0,true
org/apache/commons/codec/digest/HmacUtils,true,136,3372,true,0,true
org/apache/commons/codec/digest/Md5Crypt,true,58,2461,false,NA,false
org/apache/commons/codec/digest/HmacAlgorithms,true,2,180,true,0,true
org/apache/commons/codec/digest/Crypt,true,36,458,true,0,true
org/apache/commons/codec/digest/DigestUtils,true,176,2927,true,0,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,4,60,true,4,NA
org/apache/commons/codec/digest/UnixCrypt,true,159,10756,false,NA,false
org/apache/commons/codec/digest/Sha2Crypt,true,55,5675,true,0,true
org/apache/commons/codec/binary/CharSequenceUtils,true,9,378,true,10,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,48,1213,true,0,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64,true,285,7614,false,NA,false
org/apache/commons/codec/binary/Hex,true,63,1826,true,0,true
org/apache/commons/codec/binary/BinaryCodec,true,86,2251,true,22,true
org/apache/commons/codec/binary/BaseNCodec,true,231,3581,false,NA,false
org/apache/commons/codec/binary/Base32,true,475,9816,false,NA,false
org/apache/commons/codec/binary/StringUtils,true,38,1244,true,0,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,53,1381,true,0,true
