Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/collections4/Unmodifiable,true,1,0,true,0,NA
org/apache/commons/collections4/map/Flat3Map,true,2547,17534,false,NA,false
org/apache/commons/collections4/map/DefaultedMap,false,NA,NA,false,NA,false
org/apache/commons/collections4/map/StaticBucketMap,false,NA,NA,false,NA,false
org/apache/commons/collections4/map/ListOrderedMap,true,1473,7867,false,NA,false
org/apache/commons/collections4/map/ReferenceIdentityMap,true,107,582,false,NA,false
org/apache/commons/collections4/map/MultiKeyMap,true,4144,12692,false,NA,false
org/apache/commons/collections4/map/LinkedMap,true,321,1748,false,NA,false
org/apache/commons/collections4/map/CaseInsensitiveMap,true,100,528,false,NA,false
org/apache/commons/collections4/map/FixedSizeSortedMap,true,126,1097,true,90,true
org/apache/commons/collections4/map/FixedSizeMap,true,129,851,true,52,true
org/apache/commons/collections4/map/SingletonMap,true,820,4236,false,NA,false
org/apache/commons/collections4/map/CompositeMap,false,NA,NA,false,NA,false
org/apache/commons/collections4/map/AbstractMapDecorator,true,91,1030,false,NA,false
org/apache/commons/collections4/map/LRUMap,true,1125,3013,false,NA,false
org/apache/commons/collections4/map/HashedMap,true,42,308,false,NA,false
org/apache/commons/collections4/map/TransformedSortedMap,true,124,1255,true,48,true
org/apache/commons/collections4/map/LazyMap,false,NA,NA,false,NA,false
org/apache/commons/collections4/map/AbstractIterableMap,true,7,62,false,NA,false
org/apache/commons/collections4/map/MultiValueMap,false,NA,NA,false,NA,false
org/apache/commons/collections4/map/PassiveExpiringMap,true,551,2932,false,NA,false
org/apache/commons/collections4/map/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/map/AbstractReferenceMap,true,1601,10136,false,NA,false
org/apache/commons/collections4/map/AbstractLinkedMap,true,952,7347,false,NA,false
org/apache/commons/collections4/map/UnmodifiableOrderedMap,true,116,860,false,NA,false
org/apache/commons/collections4/map/UnmodifiableMap,true,120,957,true,60,false
org/apache/commons/collections4/map/PredicatedMap,true,158,1311,false,NA,false
org/apache/commons/collections4/map/PredicatedSortedMap,true,102,832,true,30,true
org/apache/commons/collections4/map/LazySortedMap,true,115,901,true,34,true
org/apache/commons/collections4/map/AbstractSortedMapDecorator,true,187,1021,false,NA,false
org/apache/commons/collections4/map/UnmodifiableEntrySet,true,210,1437,false,NA,false
org/apache/commons/collections4/map/AbstractHashedMap,true,3456,16267,false,NA,false
org/apache/commons/collections4/map/EntrySetToMapIteratorAdapter,true,40,737,false,NA,false
org/apache/commons/collections4/map/UnmodifiableSortedMap,true,125,969,true,72,false
org/apache/commons/collections4/map/ReferenceMap,true,46,338,false,NA,false
org/apache/commons/collections4/map/AbstractOrderedMapDecorator,true,61,394,false,NA,false
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator,true,284,1912,false,NA,false
org/apache/commons/collections4/map/TransformedMap,true,197,1847,false,NA,false
org/apache/commons/collections4/comparators/BooleanComparator,true,144,498,false,NA,false
org/apache/commons/collections4/comparators/ComparatorChain,true,279,2170,false,NA,false
org/apache/commons/collections4/comparators/ComparableComparator,true,74,288,false,NA,false
org/apache/commons/collections4/comparators/FixedOrderComparator,true,670,2193,false,NA,false
