Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,118,873,true,37,false
org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,51,440,false,NA,false
org/apache/commons/collections4/keyvalue/TiedMapEntry,true,135,955,false,NA,false
org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/keyvalue/MultiKey,true,141,1100,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,50,515,false,NA,false
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,17,286,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,105,674,false,NA,false
org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,13,250,false,NA,false
org/apache/commons/collections4/set/TransformedSortedSet,true,91,973,true,40,true
org/apache/commons/collections4/set/TransformedSet,true,48,485,false,NA,false
org/apache/commons/collections4/set/CompositeSet,true,546,2981,false,NA,false
org/apache/commons/collections4/set/AbstractSetDecorator,true,5,106,false,NA,false
org/apache/commons/collections4/set/PredicatedSet,true,9,184,false,NA,false
org/apache/commons/collections4/set/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/set/MapBackedSet,true,141,1559,true,35,true
org/apache/commons/collections4/set/PredicatedSortedSet,true,50,625,true,18,true
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,13,173,false,NA,false
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,86,719,true,23,true
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,36,400,false,NA,false
org/apache/commons/collections4/set/UnmodifiableSet,true,53,408,false,NA,false
org/apache/commons/collections4/set/ListOrderedSet,true,395,2629,false,NA,false
org/apache/commons/collections4/ResettableIterator,true,2,13,false,NA,NA
org/apache/commons/collections4/bag/PredicatedBag,true,33,424,false,NA,false
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,18,229,false,NA,false
org/apache/commons/collections4/bag/TreeBag,true,35,756,false,NA,false
org/apache/commons/collections4/bag/SynchronizedSortedBag,true,28,308,true,14,true
org/apache/commons/collections4/bag/TransformedSortedBag,true,64,639,true,34,true
org/apache/commons/collections4/bag/PredicatedSortedBag,true,23,309,true,12,true
org/apache/commons/collections4/bag/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/bag/AbstractBagDecorator,true,23,322,false,NA,false
org/apache/commons/collections4/bag/CollectionSortedBag,true,132,1102,true,56,true
org/apache/commons/collections4/bag/HashBag,true,8,232,false,NA,false
org/apache/commons/collections4/bag/TransformedBag,true,75,784,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableBag,true,80,672,false,NA,false
org/apache/commons/collections4/bag/AbstractMapBag,true,787,5975,false,NA,false
org/apache/commons/collections4/bag/CollectionBag,true,132,1102,true,56,true
org/apache/commons/collections4/bag/SynchronizedBag,true,64,522,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,71,590,true,21,true
org/apache/commons/collections4/TrieUtils,true,5,85,true,2,true
org/apache/commons/collections4/ComparatorUtils,true,101,1077,false,NA,false
org/apache/commons/collections4/BidiMap,true,9,63,false,NA,NA
org/apache/commons/collections4/MultiMapUtils,true,138,1294,true,38,true
org/apache/commons/collections4/Get,true,7,82,false,NA,NA
org/apache/commons/collections4/comparators/NullComparator,true,58,883,false,NA,false
org/apache/commons/collections4/comparators/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/comparators/ComparatorChain,true,279,2170,false,NA,false
org/apache/commons/collections4/comparators/ReverseComparator,true,40,508,false,NA,false
org/apache/commons/collections4/comparators/BooleanComparator,true,31,498,false,NA,false
org/apache/commons/collections4/comparators/TransformingComparator,true,137,1250,false,NA,false
org/apache/commons/collections4/comparators/ComparableComparator,true,21,288,false,NA,false
org/apache/commons/collections4/comparators/FixedOrderComparator,true,429,2193,false,NA,false
