Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,18,873,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,18,440,false,NA,false
org/apache/commons/collections4/keyvalue/TiedMapEntry,true,16,955,true,0,true
org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/keyvalue/MultiKey,true,67,1100,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,18,515,false,NA,false
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,7,286,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,13,674,false,NA,false
org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,5,250,false,NA,false
org/apache/commons/collections4/set/TransformedSortedSet,true,54,973,false,NA,false
org/apache/commons/collections4/set/TransformedSet,true,47,485,false,NA,false
org/apache/commons/collections4/set/CompositeSet,true,211,2981,false,NA,false
org/apache/commons/collections4/set/AbstractSetDecorator,true,3,106,true,0,true
org/apache/commons/collections4/set/PredicatedSet,true,5,184,true,0,true
org/apache/commons/collections4/set/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/set/MapBackedSet,true,31,1559,true,0,true
org/apache/commons/collections4/set/PredicatedSortedSet,true,16,625,true,0,true
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,5,173,true,0,true
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,46,719,true,0,true
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,7,400,true,0,true
org/apache/commons/collections4/set/UnmodifiableSet,true,31,408,false,NA,false
org/apache/commons/collections4/set/ListOrderedSet,true,140,2629,false,NA,false
org/apache/commons/collections4/ResettableIterator,true,1,13,true,0,NA
org/apache/commons/collections4/bag/PredicatedBag,true,10,424,true,0,true
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,3,229,true,0,true
org/apache/commons/collections4/bag/TreeBag,true,10,756,true,0,true
org/apache/commons/collections4/bag/SynchronizedSortedBag,true,25,308,false,NA,false
org/apache/commons/collections4/bag/TransformedSortedBag,true,47,639,false,NA,false
org/apache/commons/collections4/bag/PredicatedSortedBag,true,5,309,true,0,true
org/apache/commons/collections4/bag/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/bag/AbstractBagDecorator,true,8,322,true,0,true
org/apache/commons/collections4/bag/CollectionSortedBag,true,34,1102,true,0,true
org/apache/commons/collections4/bag/HashBag,true,3,232,true,0,true
org/apache/commons/collections4/bag/TransformedBag,true,53,784,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableBag,true,47,672,false,NA,false
org/apache/commons/collections4/bag/AbstractMapBag,true,432,5975,false,NA,false
org/apache/commons/collections4/bag/CollectionBag,true,34,1102,true,0,true
org/apache/commons/collections4/bag/SynchronizedBag,true,57,522,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,42,590,true,0,true
org/apache/commons/collections4/TrieUtils,true,4,85,true,4,true
org/apache/commons/collections4/ComparatorUtils,true,68,1077,false,NA,false
org/apache/commons/collections4/BidiMap,true,1,63,true,0,NA
org/apache/commons/collections4/MultiMapUtils,true,31,1294,true,4,true
org/apache/commons/collections4/Get,true,1,82,false,NA,NA
org/apache/commons/collections4/comparators/NullComparator,true,38,883,true,4,true
org/apache/commons/collections4/comparators/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/comparators/ComparatorChain,true,80,2170,true,8,true
org/apache/commons/collections4/comparators/ReverseComparator,true,16,508,true,2,true
