Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,65,873,true,28,false
org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,24,440,false,NA,false
org/apache/commons/collections4/keyvalue/TiedMapEntry,true,73,955,false,NA,false
org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/keyvalue/MultiKey,true,93,1100,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,20,515,false,NA,false
org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,17,286,false,NA,false
org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,56,674,false,NA,false
org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,13,250,false,NA,false
org/apache/commons/collections4/set/TransformedSortedSet,true,62,973,true,38,true
org/apache/commons/collections4/set/TransformedSet,true,49,485,false,NA,false
org/apache/commons/collections4/set/CompositeSet,true,383,2981,false,NA,false
org/apache/commons/collections4/set/AbstractSetDecorator,true,9,106,false,NA,false
org/apache/commons/collections4/set/PredicatedSet,true,13,184,false,NA,false
org/apache/commons/collections4/set/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/set/MapBackedSet,true,91,1559,true,35,true
org/apache/commons/collections4/set/PredicatedSortedSet,true,46,625,false,NA,false
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,7,173,false,NA,false
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,55,719,true,20,true
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,36,400,false,NA,false
org/apache/commons/collections4/set/UnmodifiableSet,true,36,408,false,NA,false
org/apache/commons/collections4/set/ListOrderedSet,true,205,2629,false,NA,false
org/apache/commons/collections4/ResettableIterator,true,2,13,false,NA,NA
org/apache/commons/collections4/bag/PredicatedBag,true,30,424,false,NA,false
org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,13,229,false,NA,false
org/apache/commons/collections4/bag/TreeBag,true,45,756,false,NA,false
org/apache/commons/collections4/bag/SynchronizedSortedBag,true,84,308,false,NA,false
org/apache/commons/collections4/bag/TransformedSortedBag,true,51,639,true,32,true
org/apache/commons/collections4/bag/PredicatedSortedBag,true,17,309,false,NA,false
org/apache/commons/collections4/bag/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/bag/AbstractBagDecorator,true,30,322,false,NA,false
org/apache/commons/collections4/bag/CollectionSortedBag,true,46,1102,true,16,true
org/apache/commons/collections4/bag/HashBag,true,5,232,false,NA,false
org/apache/commons/collections4/bag/TransformedBag,true,56,784,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableBag,true,53,672,false,NA,false
org/apache/commons/collections4/bag/AbstractMapBag,true,290,5975,false,NA,false
org/apache/commons/collections4/bag/CollectionBag,true,46,1102,true,16,true
org/apache/commons/collections4/bag/SynchronizedBag,true,150,522,false,NA,false
org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,48,590,true,18,true
org/apache/commons/collections4/TrieUtils,true,5,85,true,2,true
org/apache/commons/collections4/ComparatorUtils,true,102,1077,false,NA,false
org/apache/commons/collections4/BidiMap,true,9,63,false,NA,NA
org/apache/commons/collections4/MultiMapUtils,true,105,1294,true,26,true
org/apache/commons/collections4/Get,true,7,82,false,NA,NA
org/apache/commons/collections4/comparators/NullComparator,true,48,883,false,NA,false
org/apache/commons/collections4/comparators/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/comparators/ComparatorChain,true,118,2170,false,NA,false
org/apache/commons/collections4/comparators/ReverseComparator,true,15,508,false,NA,false
org/apache/commons/collections4/comparators/BooleanComparator,true,44,498,false,NA,false
org/apache/commons/collections4/comparators/TransformingComparator,true,77,1250,false,NA,false
org/apache/commons/collections4/comparators/ComparableComparator,true,47,288,false,NA,false
org/apache/commons/collections4/comparators/FixedOrderComparator,true,485,2193,true,NA,false
org/apache/commons/collections4/list/AbstractSerializableListDecorator,true,7,173,false,NA,false
org/apache/commons/collections4/list/GrowthList,true,22,671,true,10,true
org/apache/commons/collections4/list/AbstractListDecorator,true,52,653,false,NA,false
org/apache/commons/collections4/list/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/list/UnmodifiableList,true,67,727,true,26,true
org/apache/commons/collections4/list/PredicatedList,true,265,1041,false,NA,false
org/apache/commons/collections4/list/FixedSizeList,true,316,992,false,NA,false
org/apache/commons/collections4/list/TransformedList,true,322,1440,false,NA,false
org/apache/commons/collections4/list/CursorableLinkedList,true,192,4212,true,32,true
org/apache/commons/collections4/list/NodeCachingLinkedList,true,64,1230,true,17,true
org/apache/commons/collections4/list/TreeList,true,2387,16417,true,NA,false
org/apache/commons/collections4/list/SetUniqueList,true,740,3491,true,NA,false
org/apache/commons/collections4/list/AbstractLinkedList,true,693,12597,false,NA,false
org/apache/commons/collections4/list/LazyList,true,19,655,true,10,true
org/apache/commons/collections4/ListValuedMap,true,5,37,false,NA,NA
org/apache/commons/collections4/PredicateUtils,true,148,1802,false,NA,false
org/apache/commons/collections4/MultiMap,true,9,79,false,NA,NA
org/apache/commons/collections4/MapIterator,true,10,44,false,NA,NA
org/apache/commons/collections4/IterableGet,true,4,24,false,NA,NA
org/apache/commons/collections4/QueueUtils,true,19,325,true,8,true
org/apache/commons/collections4/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/Bag,true,5,127,false,NA,NA
org/apache/commons/collections4/FactoryUtils,true,22,324,true,12,true
org/apache/commons/collections4/MultiValuedMap,true,14,226,false,NA,NA
org/apache/commons/collections4/iterators/EnumerationIterator,true,13,643,false,NA,false
org/apache/commons/collections4/iterators/PushbackIterator,true,15,520,true,12,true
org/apache/commons/collections4/iterators/LoopingIterator,true,18,498,false,NA,false
org/apache/commons/collections4/iterators/ReverseListIterator,true,26,813,true,14,true
org/apache/commons/collections4/iterators/AbstractUntypedIteratorDecorator,true,6,212,false,NA,false
org/apache/commons/collections4/iterators/CollatingIterator,true,119,2973,false,NA,false
org/apache/commons/collections4/iterators/PeekingIterator,true,22,961,true,27,true
org/apache/commons/collections4/iterators/EmptyMapIterator,true,13,117,false,NA,false
org/apache/commons/collections4/iterators/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/iterators/FilterIterator,true,41,931,false,NA,false
org/apache/commons/collections4/iterators/IteratorEnumeration,true,5,274,false,NA,false
org/apache/commons/collections4/iterators/EmptyOrderedMapIterator,true,13,117,false,NA,false
org/apache/commons/collections4/iterators/EmptyIterator,true,18,159,false,NA,false
org/apache/commons/collections4/iterators/ArrayListIterator,true,85,827,false,NA,false
org/apache/commons/collections4/iterators/UnmodifiableOrderedMapIterator,true,24,675,true,16,true
org/apache/commons/collections4/iterators/AbstractOrderedMapIteratorDecorator,true,16,509,true,16,NA
org/apache/commons/collections4/iterators/LoopingListIterator,true,30,1088,false,NA,false
org/apache/commons/collections4/iterators/LazyIteratorChain,true,9,874,false,NA,false
org/apache/commons/collections4/iterators/EmptyListIterator,true,18,159,false,NA,false
org/apache/commons/collections4/iterators/IteratorIterable,true,117,571,false,NA,false
org/apache/commons/collections4/iterators/AbstractEmptyIterator,true,9,181,false,NA,false
org/apache/commons/collections4/iterators/SingletonListIterator,true,32,748,false,NA,false
org/apache/commons/collections4/iterators/TransformIterator,true,25,708,false,NA,false
org/apache/commons/collections4/iterators/UnmodifiableIterator,true,11,348,false,NA,false
org/apache/commons/collections4/iterators/ObjectArrayIterator,true,72,792,false,NA,false
org/apache/commons/collections4/iterators/ObjectArrayListIterator,true,80,747,false,NA,false
org/apache/commons/collections4/iterators/UniqueFilterIterator,true,3,50,true,2,true
org/apache/commons/collections4/iterators/FilterListIterator,true,80,1709,false,NA,false
org/apache/commons/collections4/iterators/AbstractMapIteratorDecorator,true,13,425,true,14,NA
org/apache/commons/collections4/iterators/PermutationIterator,true,268,1833,false,NA,false
org/apache/commons/collections4/iterators/AbstractIteratorDecorator,true,4,65,false,NA,false
org/apache/commons/collections4/iterators/BoundedIterator,true,14,797,false,NA,false
org/apache/commons/collections4/iterators/EmptyOrderedIterator,true,9,98,false,NA,false
org/apache/commons/collections4/iterators/SingletonIterator,true,20,451,false,NA,false
org/apache/commons/collections4/iterators/AbstractEmptyMapIterator,true,16,91,false,NA,false
org/apache/commons/collections4/iterators/ListIteratorWrapper,true,80,2094,false,NA,false
org/apache/commons/collections4/iterators/AbstractListIteratorDecorator,true,10,457,false,NA,false
org/apache/commons/collections4/iterators/NodeListIterator,true,32,423,false,NA,false
org/apache/commons/collections4/iterators/ArrayIterator,true,73,836,false,NA,false
org/apache/commons/collections4/iterators/ObjectGraphIterator,true,76,1851,false,NA,false
org/apache/commons/collections4/iterators/UnmodifiableMapIterator,true,22,591,false,NA,false
org/apache/commons/collections4/iterators/UnmodifiableListIterator,true,20,547,true,14,true
org/apache/commons/collections4/iterators/EntrySetMapIterator,true,40,1163,false,NA,NA
org/apache/commons/collections4/iterators/IteratorChain,true,182,1491,false,NA,false
org/apache/commons/collections4/ClosureUtils,true,100,1773,false,NA,false
org/apache/commons/collections4/bidimap/UnmodifiableBidiMap,true,76,996,false,NA,false
org/apache/commons/collections4/bidimap/AbstractSortedBidiMapDecorator,true,56,515,false,NA,false
org/apache/commons/collections4/bidimap/AbstractOrderedBidiMapDecorator,true,56,450,false,NA,false
org/apache/commons/collections4/bidimap/UnmodifiableOrderedBidiMap,true,89,1036,false,NA,false
org/apache/commons/collections4/bidimap/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/bidimap/AbstractBidiMapDecorator,true,38,408,false,NA,false
org/apache/commons/collections4/bidimap/AbstractDualBidiMap,true,677,9318,false,NA,false
org/apache/commons/collections4/bidimap/TreeBidiMap,true,4793,36018,true,NA,false
org/apache/commons/collections4/bidimap/DualHashBidiMap,true,17,595,true,6,true
org/apache/commons/collections4/bidimap/DualLinkedHashBidiMap,true,17,595,true,6,true
org/apache/commons/collections4/bidimap/UnmodifiableSortedBidiMap,true,156,1287,false,NA,false
org/apache/commons/collections4/bidimap/DualTreeBidiMap,true,365,5036,false,NA,false
org/apache/commons/collections4/queue/CircularFifoQueue,true,744,3710,true,NA,false
org/apache/commons/collections4/queue/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/queue/AbstractQueueDecorator,true,29,298,false,NA,false
org/apache/commons/collections4/queue/PredicatedQueue,true,22,390,false,NA,false
org/apache/commons/collections4/queue/TransformedQueue,true,55,676,true,36,true
org/apache/commons/collections4/queue/UnmodifiableQueue,true,51,603,true,18,true
org/apache/commons/collections4/Unmodifiable,true,0,0,true,0,NA
org/apache/commons/collections4/BagUtils,true,63,776,true,22,true
org/apache/commons/collections4/Equator,true,5,24,false,NA,NA
org/apache/commons/collections4/OrderedMap,true,14,52,false,NA,NA
org/apache/commons/collections4/Predicate,true,3,11,false,NA,NA
org/apache/commons/collections4/CollectionUtils,true,3119,13796,false,NA,false
org/apache/commons/collections4/TransformerUtils,true,163,2453,false,NA,false
org/apache/commons/collections4/IteratorUtils,true,1242,4855,false,NA,false
org/apache/commons/collections4/SetValuedMap,true,5,37,false,NA,NA
org/apache/commons/collections4/OrderedBidiMap,true,4,33,false,NA,NA
org/apache/commons/collections4/splitmap/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,true,30,870,false,NA,false
org/apache/commons/collections4/splitmap/TransformedSplitMap,true,67,1473,true,32,true
org/apache/commons/collections4/SplitMapUtils,true,123,2357,true,4,true
org/apache/commons/collections4/ResettableListIterator,true,2,20,false,NA,NA
org/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap,true,56,862,false,NA,false
org/apache/commons/collections4/multimap/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/multimap/MultiValuedHashMap,true,348,1567,false,NA,false
org/apache/commons/collections4/multimap/AbstractListValuedMap,true,739,3899,false,NA,false
org/apache/commons/collections4/multimap/TransformedMultiValuedMap,true,98,2388,true,60,true
org/apache/commons/collections4/multimap/AbstractSetValuedMap,true,302,1449,false,NA,false
org/apache/commons/collections4/multimap/AbstractMultiValuedMapDecorator,true,23,1630,false,NA,false
org/apache/commons/collections4/multimap/MultiValuedLinkedHashMap,true,348,1567,true,NA,false
org/apache/commons/collections4/multimap/AbstractMultiValuedMap,true,2063,11110,false,NA,false
org/apache/commons/collections4/collection/UnmodifiableCollection,true,36,412,false,NA,false
org/apache/commons/collections4/collection/PredicatedCollection,true,76,563,false,NA,false
org/apache/commons/collections4/collection/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/collection/CompositeCollection,true,309,2565,false,NA,false
org/apache/commons/collections4/collection/IndexedCollection,true,145,1837,true,74,true
org/apache/commons/collections4/collection/TransformedCollection,true,78,886,false,NA,false
org/apache/commons/collections4/collection/UnmodifiableBoundedCollection,true,48,907,false,NA,false
org/apache/commons/collections4/collection/SynchronizedCollection,true,375,1492,false,NA,false
org/apache/commons/collections4/collection/AbstractCollectionDecorator,true,53,1042,false,NA,false
org/apache/commons/collections4/SetUtils,true,84,1081,true,41,true
org/apache/commons/collections4/ListUtils,true,493,4417,false,NA,false
org/apache/commons/collections4/IterableSortedMap,true,4,22,false,NA,NA
org/apache/commons/collections4/map/HashedMap,true,35,308,false,NA,false
org/apache/commons/collections4/map/AbstractSortedMapDecorator,true,70,1021,false,NA,false
org/apache/commons/collections4/map/StaticBucketMap,true,1370,8496,true,NA,false
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator,true,315,1912,false,NA,false
org/apache/commons/collections4/map/Flat3Map,true,1382,17534,false,NA,false
org/apache/commons/collections4/map/TransformedMap,true,75,1847,false,NA,false
org/apache/commons/collections4/map/ReferenceMap,true,40,338,true,0,true
org/apache/commons/collections4/map/LazySortedMap,true,47,901,true,22,true
org/apache/commons/collections4/map/AbstractReferenceMap,true,1807,10136,false,NA,false
org/apache/commons/collections4/map/EntrySetToMapIteratorAdapter,true,12,737,false,NA,false
org/apache/commons/collections4/map/package-info,true,NA,NA,true,NA,NA
org/apache/commons/collections4/map/AbstractHashedMap,true,1356,16267,false,NA,false
org/apache/commons/collections4/map/ListOrderedMap,true,1463,7867,false,NA,false
org/apache/commons/collections4/map/AbstractOrderedMapDecorator,true,44,394,false,NA,false
org/apache/commons/collections4/map/AbstractIterableMap,true,4,62,false,NA,false
org/apache/commons/collections4/map/PredicatedMap,true,79,1311,false,NA,false
org/apache/commons/collections4/map/ReferenceIdentityMap,true,66,582,true,0,true
org/apache/commons/collections4/map/LazyMap,true,39,860,false,NA,false
org/apache/commons/collections4/map/MultiValueMap,true,854,4065,false,NA,false
org/apache/commons/collections4/map/MultiKeyMap,true,681,12692,false,NA,false
org/apache/commons/collections4/map/CaseInsensitiveMap,true,38,528,false,NA,false
org/apache/commons/collections4/map/UnmodifiableSortedMap,true,71,969,true,28,true
org/apache/commons/collections4/map/UnmodifiableEntrySet,true,294,1437,false,NA,false
org/apache/commons/collections4/map/TransformedSortedMap,true,44,1255,true,20,true
org/apache/commons/collections4/map/LinkedMap,true,261,1748,false,NA,false
org/apache/commons/collections4/map/UnmodifiableMap,true,53,957,false,NA,false
org/apache/commons/collections4/map/FixedSizeSortedMap,true,59,1097,true,24,true
org/apache/commons/collections4/map/PassiveExpiringMap,true,134,2932,true,40,true
org/apache/commons/collections4/map/LRUMap,true,345,3013,false,NA,false
org/apache/commons/collections4/map/AbstractLinkedMap,true,569,7347,false,NA,false
org/apache/commons/collections4/map/CompositeMap,true,205,4887,false,NA,false
org/apache/commons/collections4/map/SingletonMap,true,415,4236,false,NA,false
org/apache/commons/collections4/map/DefaultedMap,true,46,981,true,16,true
org/apache/commons/collections4/map/FixedSizeMap,true,66,851,true,29,true
