Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/collections4/Unmodifiable,true,1,0,true,0,NA
org/apache/commons/collections4/map/Flat3Map,true,4856,17534,false,NA,false
org/apache/commons/collections4/map/DefaultedMap,true,67,981,false,NA,false
org/apache/commons/collections4/map/StaticBucketMap,true,1738,8496,false,NA,false
org/apache/commons/collections4/map/ListOrderedMap,true,1275,7867,false,NA,false
org/apache/commons/collections4/map/ReferenceIdentityMap,true,104,582,false,NA,false
org/apache/commons/collections4/map/MultiKeyMap,true,3715,12692,false,NA,false
org/apache/commons/collections4/map/LinkedMap,true,338,1748,false,NA,false
org/apache/commons/collections4/map/CaseInsensitiveMap,true,86,528,false,NA,false
org/apache/commons/collections4/map/FixedSizeSortedMap,true,98,1097,false,NA,false
org/apache/commons/collections4/map/FixedSizeMap,true,136,851,false,NA,false
org/apache/commons/collections4/map/SingletonMap,true,557,4236,false,NA,false
org/apache/commons/collections4/map/CompositeMap,true,592,4887,false,NA,false
org/apache/commons/collections4/map/AbstractMapDecorator,true,72,1030,false,NA,false
org/apache/commons/collections4/map/LRUMap,true,638,3013,false,NA,false
org/apache/commons/collections4/map/HashedMap,true,44,308,false,NA,false
org/apache/commons/collections4/map/TransformedSortedMap,true,123,1255,true,73,true
org/apache/commons/collections4/map/LazyMap,true,91,860,false,NA,false
org/apache/commons/collections4/map/AbstractIterableMap,true,10,62,false,NA,false
org/apache/commons/collections4/map/MultiValueMap,true,622,4065,false,NA,false
org/apache/commons/collections4/map/PassiveExpiringMap,true,392,2932,false,NA,false
org/apache/commons/collections4/map/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/map/AbstractReferenceMap,true,1551,10136,false,NA,false
org/apache/commons/collections4/map/AbstractLinkedMap,true,986,7347,false,NA,false
org/apache/commons/collections4/map/UnmodifiableOrderedMap,true,127,860,false,NA,false
org/apache/commons/collections4/map/UnmodifiableMap,true,136,957,false,NA,false
org/apache/commons/collections4/map/PredicatedMap,true,155,1311,false,NA,false
org/apache/commons/collections4/map/PredicatedSortedMap,true,112,832,true,46,true
org/apache/commons/collections4/map/LazySortedMap,true,115,901,true,53,true
org/apache/commons/collections4/map/AbstractSortedMapDecorator,true,120,1021,false,NA,false
org/apache/commons/collections4/map/UnmodifiableEntrySet,true,165,1437,false,NA,false
org/apache/commons/collections4/map/AbstractHashedMap,true,3399,16267,false,NA,false
org/apache/commons/collections4/map/EntrySetToMapIteratorAdapter,true,55,737,false,NA,false
org/apache/commons/collections4/map/UnmodifiableSortedMap,true,108,969,false,NA,false
org/apache/commons/collections4/map/ReferenceMap,true,53,338,false,NA,false
org/apache/commons/collections4/map/AbstractOrderedMapDecorator,true,52,394,false,NA,false
org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator,true,281,1912,false,NA,false
org/apache/commons/collections4/map/TransformedMap,true,177,1847,false,NA,false
org/apache/commons/collections4/comparators/BooleanComparator,true,94,498,true,28,true
org/apache/commons/collections4/comparators/ComparatorChain,true,350,2170,false,NA,false
org/apache/commons/collections4/comparators/ComparableComparator,true,66,288,false,NA,false
org/apache/commons/collections4/comparators/FixedOrderComparator,true,585,2193,false,NA,false
org/apache/commons/collections4/comparators/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/comparators/NullComparator,true,34,883,false,NA,false
org/apache/commons/collections4/comparators/ReverseComparator,true,51,508,false,NA,false
org/apache/commons/collections4/comparators/TransformingComparator,true,151,1250,false,NA,false
org/apache/commons/collections4/OrderedIterator,true,4,18,false,NA,NA
org/apache/commons/collections4/BoundedCollection,true,3,18,false,NA,NA
org/apache/commons/collections4/SplitMapUtils,true,441,2357,false,NA,false
org/apache/commons/collections4/OrderedMap,true,14,52,false,NA,NA
org/apache/commons/collections4/MultiValuedMap,true,20,226,false,NA,NA
org/apache/commons/collections4/IterableGet,true,5,24,false,NA,NA
org/apache/commons/collections4/Equator,true,6,24,false,NA,NA
org/apache/commons/collections4/set/MapBackedSet,true,178,1559,true,55,true
org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,51,400,false,NA,false
org/apache/commons/collections4/set/CompositeSet,true,615,2981,false,NA,false
org/apache/commons/collections4/set/PredicatedSet,true,15,184,false,NA,false
org/apache/commons/collections4/set/TransformedSortedSet,true,140,973,true,73,true
org/apache/commons/collections4/set/UnmodifiableSortedSet,true,111,719,false,NA,false
org/apache/commons/collections4/set/AbstractSetDecorator,true,9,106,false,NA,false
org/apache/commons/collections4/set/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/set/UnmodifiableSet,true,44,408,false,NA,false
org/apache/commons/collections4/set/ListOrderedSet,true,399,2629,false,NA,false
org/apache/commons/collections4/set/TransformedSet,true,56,485,false,NA,false
org/apache/commons/collections4/set/PredicatedSortedSet,true,106,625,false,NA,false
org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,16,173,false,NA,false
org/apache/commons/collections4/ClosureUtils,true,139,1773,false,NA,false
org/apache/commons/collections4/BidiMap,true,10,63,false,NA,NA
org/apache/commons/collections4/MultiMap,true,10,79,false,NA,NA
org/apache/commons/collections4/sequence/CommandVisitor,true,6,29,false,NA,NA
org/apache/commons/collections4/sequence/SequencesComparator,true,759,4139,false,NA,false
org/apache/commons/collections4/sequence/ReplacementsFinder,true,102,544,true,46,NA
org/apache/commons/collections4/sequence/KeepCommand,true,10,77,false,NA,false
org/apache/commons/collections4/sequence/ReplacementsHandler,true,3,25,false,NA,NA
org/apache/commons/collections4/sequence/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/sequence/EditScript,true,104,481,false,NA,false
org/apache/commons/collections4/sequence/DeleteCommand,true,10,77,false,NA,false
org/apache/commons/collections4/sequence/EditCommand,true,10,88,false,NA,false
org/apache/commons/collections4/sequence/InsertCommand,true,10,77,false,NA,false
org/apache/commons/collections4/ComparatorUtils,true,142,1077,false,NA,false
org/apache/commons/collections4/bidimap/UnmodifiableSortedBidiMap,true,227,1287,false,NA,false
org/apache/commons/collections4/bidimap/DualHashBidiMap,true,42,595,false,NA,false
org/apache/commons/collections4/bidimap/AbstractBidiMapDecorator,true,49,408,false,NA,false
org/apache/commons/collections4/bidimap/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/bidimap/AbstractSortedBidiMapDecorator,true,69,515,false,NA,false
org/apache/commons/collections4/bidimap/AbstractDualBidiMap,true,1321,9318,false,NA,false
org/apache/commons/collections4/bidimap/TreeBidiMap,true,6683,36018,false,NA,false
org/apache/commons/collections4/bidimap/DualTreeBidiMap,true,648,5036,false,NA,false
org/apache/commons/collections4/bidimap/UnmodifiableOrderedBidiMap,true,147,1036,false,NA,false
org/apache/commons/collections4/bidimap/DualLinkedHashBidiMap,true,42,595,false,NA,false
org/apache/commons/collections4/bidimap/AbstractOrderedBidiMapDecorator,true,68,450,false,NA,false
org/apache/commons/collections4/bidimap/UnmodifiableBidiMap,true,132,996,false,NA,false
org/apache/commons/collections4/MapIterator,true,11,44,false,NA,NA
org/apache/commons/collections4/ResettableIterator,true,3,13,false,NA,NA
org/apache/commons/collections4/Put,true,7,43,false,NA,NA
org/apache/commons/collections4/SortedBidiMap,true,5,44,false,NA,NA
org/apache/commons/collections4/SetValuedMap,true,6,37,false,NA,NA
org/apache/commons/collections4/splitmap/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/splitmap/TransformedSplitMap,true,125,1473,false,NA,false
org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,true,60,870,false,NA,false
org/apache/commons/collections4/collection/TransformedCollection,true,104,886,false,NA,false
org/apache/commons/collections4/collection/UnmodifiableCollection,true,44,412,false,NA,false
org/apache/commons/collections4/collection/package-info,true,NA,NA,false,NA,NA
org/apache/commons/collections4/collection/IndexedCollection,true,240,1837,true,116,false
org/apache/commons/collections4/collection/AbstractCollectionDecorator,true,88,1042,false,NA,false
