Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/imaging/ImageParser,true,240,3530,true,19,true
org/apache/commons/imaging/palette/QuantizedPalette,true,42,910,true,0,true
org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,true,0,NA
org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,230,1753,false,NA,false
org/apache/commons/imaging/palette/ColorComponent,true,3,174,true,0,true
org/apache/commons/imaging/palette/PaletteFactory,true,635,6578,false,NA,false
org/apache/commons/imaging/palette/ColorGroupCut,true,18,249,true,0,true
org/apache/commons/imaging/palette/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/palette/MedianCutPalette,true,7,160,true,0,true
org/apache/commons/imaging/palette/Palette,true,12,216,true,0,NA
org/apache/commons/imaging/palette/MedianCutQuantizer,true,115,1815,true,108,true
org/apache/commons/imaging/palette/Dithering,true,69,1745,true,120,true
org/apache/commons/imaging/palette/ColorSpaceSubset,true,378,4040,false,NA,false
org/apache/commons/imaging/palette/ColorCount,true,20,347,true,0,true
org/apache/commons/imaging/palette/ColorGroup,true,224,2630,true,7,true
org/apache/commons/imaging/palette/SimplePalette,true,22,318,true,6,true
org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,248,1801,false,NA,false
org/apache/commons/imaging/FormatCompliance,true,137,1921,true,37,true
org/apache/commons/imaging/formats/ico/IcoImageParser,true,1289,11148,false,NA,false
org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,312,3300,false,NA,false
org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/XbmImageParser,true,413,5616,false,NA,false
org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
org/apache/commons/imaging/formats/gif/ImageContents,true,3,137,true,0,true
org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
org/apache/commons/imaging/formats/gif/GenericGifBlock,true,14,363,true,0,true
org/apache/commons/imaging/formats/gif/ImageDescriptor,true,12,430,true,0,true
org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
org/apache/commons/imaging/formats/gif/GifImageParser,true,1007,13214,false,NA,false
org/apache/commons/imaging/formats/tga/TgaConstants,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/tga/TgaImageParser,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,10,220,true,10,true
org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,116,1141,false,NA,false
org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,120,2251,true,0,true
org/apache/commons/imaging/formats/psd/ImageResourceType,true,5,2338,true,4,NA
org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,9,242,true,0,true
org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,19,234,true,0,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,32,276,true,3,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,53,522,true,26,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,8,445,true,0,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,14,320,true,0,true
org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,12,314,true,4,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,22,356,true,0,true
