Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/imaging/ImageParser,true,97,3530,true,0,true
org/apache/commons/imaging/palette/QuantizedPalette,true,19,910,false,NA,false
org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,true,0,NA
org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,188,1753,false,NA,false
org/apache/commons/imaging/palette/ColorComponent,true,0,174,true,0,true
org/apache/commons/imaging/palette/PaletteFactory,true,539,6578,false,NA,false
org/apache/commons/imaging/palette/ColorGroupCut,true,6,249,true,0,true
org/apache/commons/imaging/palette/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/palette/MedianCutPalette,true,7,160,false,NA,false
org/apache/commons/imaging/palette/Palette,true,3,216,true,0,NA
org/apache/commons/imaging/palette/MedianCutQuantizer,true,58,1815,false,NA,false
org/apache/commons/imaging/palette/Dithering,true,32,1745,true,4,true
org/apache/commons/imaging/palette/ColorSpaceSubset,true,142,4040,false,NA,false
org/apache/commons/imaging/palette/ColorCount,true,10,347,true,2,true
org/apache/commons/imaging/palette/ColorGroup,true,51,2630,false,NA,false
org/apache/commons/imaging/palette/SimplePalette,true,8,318,true,0,true
org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,289,1801,false,NA,false
org/apache/commons/imaging/FormatCompliance,true,51,1921,true,0,true
org/apache/commons/imaging/formats/ico/IcoImageParser,true,1558,11148,false,NA,false
org/apache/commons/imaging/formats/ico/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,257,3300,false,NA,false
org/apache/commons/imaging/formats/wbmp/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/XbmImageParser,true,413,5616,false,NA,false
org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
org/apache/commons/imaging/formats/gif/ImageContents,true,3,137,true,0,true
org/apache/commons/imaging/formats/gif/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
org/apache/commons/imaging/formats/gif/GenericGifBlock,true,5,363,true,1,true
org/apache/commons/imaging/formats/gif/ImageDescriptor,true,15,430,true,0,true
org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
org/apache/commons/imaging/formats/gif/GifImageParser,true,907,13214,false,NA,false
org/apache/commons/imaging/formats/tga/TgaConstants,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/tga/TgaImageParser,false,NA,NA,false,NA,NA
