Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/imaging/ImageParser,true,709,3530,false,NA,false
org/apache/commons/imaging/palette/QuantizedPalette,true,119,910,true,92,true
org/apache/commons/imaging/palette/MedianCutImplementation,true,6,31,false,NA,NA
org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,319,1753,false,NA,false
org/apache/commons/imaging/palette/ColorComponent,true,159,174,false,NA,false
org/apache/commons/imaging/palette/PaletteFactory,true,1294,6578,false,NA,false
org/apache/commons/imaging/palette/ColorGroupCut,true,35,249,true,14,true
org/apache/commons/imaging/palette/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/palette/MedianCutPalette,true,9,160,true,0,true
org/apache/commons/imaging/palette/Palette,true,65,216,false,NA,NA
org/apache/commons/imaging/palette/MedianCutQuantizer,true,361,1815,false,NA,false
org/apache/commons/imaging/palette/Dithering,true,189,1745,false,NA,false
org/apache/commons/imaging/palette/ColorSpaceSubset,true,884,4040,false,NA,false
org/apache/commons/imaging/palette/ColorCount,true,28,347,true,12,true
org/apache/commons/imaging/palette/ColorGroup,true,565,2630,false,NA,false
org/apache/commons/imaging/palette/SimplePalette,true,32,318,true,5,true
org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,383,1801,false,NA,false
org/apache/commons/imaging/FormatCompliance,true,389,1921,false,NA,false
org/apache/commons/imaging/formats/ico/IcoImageParser,true,1860,11148,false,NA,false
org/apache/commons/imaging/formats/ico/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,574,3300,false,NA,false
org/apache/commons/imaging/formats/wbmp/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/XbmImageParser,true,874,5616,false,NA,false
org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
org/apache/commons/imaging/formats/gif/ImageContents,true,4,137,false,NA,false
org/apache/commons/imaging/formats/gif/package-info,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
org/apache/commons/imaging/formats/gif/GenericGifBlock,true,37,363,false,NA,false
org/apache/commons/imaging/formats/gif/ImageDescriptor,true,12,430,true,0,true
org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
org/apache/commons/imaging/formats/gif/GifImageParser,true,3882,13214,false,NA,false
org/apache/commons/imaging/formats/tga/TgaConstants,false,NA,NA,false,NA,NA
