Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/lang3/StringUtils,false,NA,NA,false,NA,false
org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
org/apache/commons/lang3/exception/ExceptionContext,true,1,78,true,6,NA
org/apache/commons/lang3/exception/ContextedRuntimeException,true,98,780,false,NA,false
org/apache/commons/lang3/exception/ContextedException,true,98,780,false,NA,false
org/apache/commons/lang3/exception/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/exception/ExceptionUtils,true,783,3948,false,NA,false
org/apache/commons/lang3/exception/DefaultExceptionContext,true,323,1406,false,NA,false
org/apache/commons/lang3/Validate,true,881,5835,false,NA,false
org/apache/commons/lang3/SystemUtils,true,824,3960,true,173,true
org/apache/commons/lang3/BitField,true,203,949,true,70,true
org/apache/commons/lang3/JavaVersion,true,NA,1672,false,NA,false
org/apache/commons/lang3/CharUtils,true,398,1629,false,NA,false
org/apache/commons/lang3/ArrayUtils,true,NA,62019,false,NA,false
org/apache/commons/lang3/CharSetUtils,true,314,1355,false,NA,false
org/apache/commons/lang3/SerializationException,true,5,103,true,0,true
org/apache/commons/lang3/NotImplementedException,true,37,311,false,NA,false
org/apache/commons/lang3/RegExUtils,true,79,866,true,45,true
org/apache/commons/lang3/ClassPathUtils,true,136,566,true,74,true
org/apache/commons/lang3/concurrent/Computable,true,7,16,false,NA,NA
org/apache/commons/lang3/concurrent/CircuitBreakingException,true,5,103,true,0,true
org/apache/commons/lang3/concurrent/ConcurrentInitializer,true,4,10,false,NA,NA
org/apache/commons/lang3/concurrent/BasicThreadFactory,true,295,1586,false,NA,false
org/apache/commons/lang3/concurrent/AtomicInitializer,true,39,228,true,22,true
org/apache/commons/lang3/concurrent/EventCountCircuitBreaker,true,406,2589,false,NA,false
org/apache/commons/lang3/concurrent/TimedSemaphore,true,198,1609,false,NA,false
org/apache/commons/lang3/concurrent/MultiBackgroundInitializer,false,NA,NA,false,NA,false
org/apache/commons/lang3/concurrent/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/concurrent/ConcurrentUtils,true,288,1364,false,NA,false
org/apache/commons/lang3/concurrent/CallableBackgroundInitializer,true,30,297,true,21,true
org/apache/commons/lang3/concurrent/ConcurrentException,true,4,110,true,0,true
org/apache/commons/lang3/concurrent/ConstantInitializer,true,125,474,true,61,true
org/apache/commons/lang3/concurrent/CircuitBreaker,true,6,36,false,NA,NA
org/apache/commons/lang3/concurrent/Memoizer,true,NA,860,false,NA,false
org/apache/commons/lang3/concurrent/ConcurrentRuntimeException,true,4,114,true,0,true
org/apache/commons/lang3/concurrent/ThresholdCircuitBreaker,true,70,383,false,NA,false
org/apache/commons/lang3/concurrent/BackgroundInitializer,true,NA,966,false,NA,false
org/apache/commons/lang3/concurrent/AbstractCircuitBreaker,true,155,823,false,NA,false
org/apache/commons/lang3/concurrent/AtomicSafeInitializer,true,48,247,true,26,true
org/apache/commons/lang3/concurrent/LazyInitializer,false,NA,NA,false,NA,false
org/apache/commons/lang3/ArchUtils,true,240,1055,false,NA,false
org/apache/commons/lang3/LocaleUtils,true,650,3010,false,NA,false
org/apache/commons/lang3/ObjectUtils,true,1469,4690,false,NA,false
org/apache/commons/lang3/CharRange,true,474,2596,false,NA,false
org/apache/commons/lang3/CharSet,true,382,1822,false,NA,false
org/apache/commons/lang3/RandomStringUtils,true,447,2385,false,NA,false
org/apache/commons/lang3/ClassUtils,true,2982,13782,false,NA,false
org/apache/commons/lang3/mutable/MutableByte,true,279,1332,false,NA,false
org/apache/commons/lang3/mutable/MutableFloat,true,272,1420,false,NA,false
org/apache/commons/lang3/mutable/Mutable,true,5,16,false,NA,NA
org/apache/commons/lang3/mutable/MutableLong,true,279,1333,false,NA,false
org/apache/commons/lang3/mutable/MutableShort,true,279,1332,false,NA,false
org/apache/commons/lang3/mutable/MutableInt,true,246,1299,false,NA,false
org/apache/commons/lang3/mutable/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/mutable/MutableDouble,true,284,1452,false,NA,false
org/apache/commons/lang3/mutable/MutableObject,true,123,509,false,NA,false
org/apache/commons/lang3/mutable/MutableBoolean,true,147,679,false,NA,false
org/apache/commons/lang3/text/StrBuilder,true,7155,25688,false,NA,false
org/apache/commons/lang3/text/StrSubstitutor,true,1166,7241,true,676,false
org/apache/commons/lang3/text/CompositeFormat,true,26,335,true,1,true
org/apache/commons/lang3/text/translate/UnicodeUnescaper,true,148,624,true,77,true
org/apache/commons/lang3/text/translate/NumericEntityUnescaper,true,286,1452,false,NA,false
org/apache/commons/lang3/text/translate/EntityArrays,true,149,4959,true,33,true
org/apache/commons/lang3/text/translate/OctalUnescaper,true,107,680,true,47,true
org/apache/commons/lang3/text/translate/UnicodeUnpairedSurrogateRemover,true,10,103,true,1,true
org/apache/commons/lang3/text/translate/CodePointTranslator,true,44,150,true,12,true
org/apache/commons/lang3/text/translate/AggregateTranslator,true,55,212,false,NA,false
org/apache/commons/lang3/text/translate/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/text/translate/NumericEntityEscaper,true,45,591,false,NA,false
org/apache/commons/lang3/text/translate/JavaUnicodeEscaper,true,84,360,true,19,true
org/apache/commons/lang3/text/translate/CharSequenceTranslator,true,190,907,false,NA,false
org/apache/commons/lang3/text/translate/LookupTranslator,true,211,859,false,NA,false
org/apache/commons/lang3/text/translate/UnicodeEscaper,true,79,838,false,NA,false
org/apache/commons/lang3/text/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/text/StrMatcher,true,356,1827,false,NA,false
org/apache/commons/lang3/text/FormatFactory,true,2,24,true,1,NA
org/apache/commons/lang3/text/FormattableUtils,true,147,841,true,81,true
org/apache/commons/lang3/text/StrLookup,true,103,522,false,NA,false
org/apache/commons/lang3/text/StrTokenizer,true,1225,6670,false,NA,false
org/apache/commons/lang3/text/ExtendedMessageFormat,false,NA,NA,false,NA,false
org/apache/commons/lang3/text/WordUtils,true,593,3353,false,NA,false
org/apache/commons/lang3/event/EventUtils,true,435,1207,false,NA,false
org/apache/commons/lang3/event/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/event/EventListenerSupport,true,262,1629,false,NA,false
org/apache/commons/lang3/SerializationUtils,false,NA,NA,false,NA,false
org/apache/commons/lang3/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/arch/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/arch/Processor,true,83,586,false,NA,false
org/apache/commons/lang3/math/Fraction,false,NA,NA,false,NA,false
org/apache/commons/lang3/math/NumberUtils,false,NA,NA,false,NA,false
org/apache/commons/lang3/math/IEEE754rUtils,true,343,1596,false,NA,false
org/apache/commons/lang3/math/package-info,true,NA,NA,false,NA,NA
org/apache/commons/lang3/CharEncoding,true,23,139,true,22,true
org/apache/commons/lang3/tuple/MutableTriple,true,71,522,true,22,true
org/apache/commons/lang3/tuple/Triple,true,396,1219,false,NA,false
org/apache/commons/lang3/tuple/ImmutablePair,true,51,349,false,NA,false
