Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/lang3/Conversion,true,634,13842,false,NA,false
org/apache/commons/lang3/CharUtils,true,55,1629,true,0,true
org/apache/commons/lang3/CharSequenceUtils,true,77,1856,true,10,true
org/apache/commons/lang3/BooleanUtils,true,215,4667,false,NA,false
org/apache/commons/lang3/ArchUtils,true,71,1055,true,0,true
org/apache/commons/lang3/CharSet,true,39,1822,true,3,false
org/apache/commons/lang3/exception/ContextedException,true,41,780,true,0,true
org/apache/commons/lang3/exception/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/exception/DefaultExceptionContext,true,28,1406,false,NA,false
org/apache/commons/lang3/exception/ExceptionContext,true,1,78,true,0,NA
org/apache/commons/lang3/exception/ContextedRuntimeException,true,41,780,true,0,true
org/apache/commons/lang3/exception/ExceptionUtils,true,135,3948,false,NA,false
org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
org/apache/commons/lang3/RegExUtils,true,55,866,true,0,true
org/apache/commons/lang3/event/EventListenerSupport,true,84,1629,false,NA,false
org/apache/commons/lang3/event/EventUtils,true,137,1207,false,NA,false
org/apache/commons/lang3/event/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/AnnotationUtils,true,197,4100,false,NA,false
org/apache/commons/lang3/math/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/math/NumberUtils,true,441,10898,false,NA,false
org/apache/commons/lang3/math/Fraction,true,265,7850,false,NA,false
org/apache/commons/lang3/math/IEEE754rUtils,true,56,1596,true,0,true
org/apache/commons/lang3/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/NotImplementedException,true,14,311,true,0,true
org/apache/commons/lang3/ArrayUtils,true,8249,62019,false,NA,false
org/apache/commons/lang3/LocaleUtils,true,98,3010,false,NA,false
org/apache/commons/lang3/CharRange,true,262,2596,false,NA,false
org/apache/commons/lang3/CharSetUtils,true,50,1355,true,0,true
org/apache/commons/lang3/time/DurationFormatUtils,true,529,7170,false,NA,false
org/apache/commons/lang3/time/FastDateParser,true,1693,10316,false,NA,false
org/apache/commons/lang3/time/DateParser,true,1,82,true,0,NA
org/apache/commons/lang3/time/FastDatePrinter,true,2090,12893,false,NA,false
org/apache/commons/lang3/time/FastTimeZone,true,11,579,true,4,true
org/apache/commons/lang3/time/DatePrinter,true,1,170,true,0,NA
org/apache/commons/lang3/time/StopWatch,true,351,2441,false,NA,false
org/apache/commons/lang3/time/FastDateFormat,true,184,2741,false,NA,false
org/apache/commons/lang3/time/FormatCache,true,139,1786,false,NA,false
org/apache/commons/lang3/time/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/time/GmtTimeZone,true,56,861,true,3,true
