Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/program/transformation/Usa,true,4,376,true,0,true
org/program/transformation/Lambda,true,12,343,true,0,true
org/program/transformation/Foo,true,7,104,true,0,true
org/program/transformation/Casting,true,7,112,true,2,false
org/program/transformation/Fibo,true,6,309,true,4,true
org/program/transformation/TryFinally,true,62,447,true,0,true
org/program/transformation/sable/Circle,true,4,64,true,0,true
org/program/transformation/sable/Drawable,true,0,5,true,0,true
org/program/transformation/sable/Main,true,18,238,true,28,true
org/program/transformation/sable/Rectangle,true,13,130,true,0,true
