Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/program/transformation/Usa,true,44,376,false,NA,false
org/program/transformation/Lambda,true,55,343,true,34,false
org/program/transformation/Foo,true,48,104,true,37,true
org/program/transformation/Casting,true,39,112,true,1,true
org/program/transformation/Fibo,true,34,309,true,16,true
org/program/transformation/TryFinally,true,324,447,true,386,true
org/program/transformation/sable/Circle,true,3,64,true,0,true
org/program/transformation/sable/Drawable,true,1,5,true,0,true
org/program/transformation/sable/Main,true,27,238,true,61,true
org/program/transformation/sable/Rectangle,true,28,130,true,6,true
