Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/joda/time/MutableInterval,true,328,1651,false,NA,false
org/joda/time/Chronology,true,7,405,true,0,NA
org/joda/time/Days,true,593,1983,false,NA,false
org/joda/time/Interval,true,499,2000,false,NA,false
org/joda/time/UTCDateTimeZone,true,30,296,true,0,true
org/joda/time/DateTimeFieldType,true,751,3939,false,NA,false
org/joda/time/chrono/BuddhistChronology,true,303,1530,false,NA,false
org/joda/time/chrono/AssembledChronology,true,1593,7401,false,NA,false
org/joda/time/chrono/EthiopicChronology,false,NA,NA,false,NA,false
org/joda/time/chrono/BaseChronology,true,872,4085,true,375,true
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,119,789,true,51,false
org/joda/time/chrono/BasicWeekyearDateTimeField,true,487,1798,true,194,true
org/joda/time/chrono/GJChronology,false,NA,NA,false,NA,false
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
org/joda/time/chrono/LimitChronology,true,1983,8528,false,NA,false
org/joda/time/chrono/LenientChronology,true,413,1522,false,NA,false
org/joda/time/chrono/BasicSingleEraDateTimeField,true,33,555,true,0,true
org/joda/time/chrono/GJLocaleSymbols,true,367,3577,true,209,true
org/joda/time/chrono/GJCacheKey,true,131,682,true,114,true
org/joda/time/chrono/ZonedChronology,true,2325,10361,false,NA,false
org/joda/time/chrono/IslamicChronology,false,NA,NA,false,NA,false
org/joda/time/chrono/CopticChronology,false,NA,NA,false,NA,false
org/joda/time/chrono/GJEraDateTimeField,true,119,906,true,42,true
org/joda/time/chrono/BasicChronology,true,1038,6967,false,NA,false
org/joda/time/chrono/BasicGJChronology,true,720,2290,true,420,true
org/joda/time/chrono/BasicYearDateTimeField,true,213,1261,true,98,true
org/joda/time/chrono/BasicFixedMonthChronology,true,247,986,true,82,true
org/joda/time/chrono/ISOChronology,true,217,1245,false,NA,false
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,8,432,true,0,true
org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,950,3897,true,599,true
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,94,766,true,48,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,118,881,true,101,true
org/joda/time/chrono/GJYearOfEraDateTimeField,true,72,865,true,16,false
org/joda/time/chrono/GregorianChronology,false,NA,NA,false,NA,false
org/joda/time/chrono/JulianChronology,false,NA,NA,false,NA,false
org/joda/time/chrono/StrictChronology,true,341,1414,false,NA,false
org/joda/time/chrono/ISOYearOfEraDateTimeField,true,186,805,true,60,true
org/joda/time/DurationField,true,31,389,false,NA,false
org/joda/time/DurationFieldType,true,381,1911,false,NA,false
org/joda/time/IllegalFieldValueException,false,NA,NA,false,NA,false
org/joda/time/Hours,true,584,2021,false,NA,false
org/joda/time/ReadableInterval,true,5,141,true,0,NA
org/joda/time/DateTimeZone,false,NA,NA,false,NA,false
org/joda/time/ReadablePeriod,true,3,75,true,0,NA
org/joda/time/PeriodType,true,943,7615,false,NA,false
org/joda/time/DateTime,true,3863,9475,false,NA,false
org/joda/time/LocalDate,true,4491,11623,false,NA,false
org/joda/time/DateTimeComparator,true,421,1648,false,NA,false
org/joda/time/field/MillisDurationField,true,96,659,false,NA,false
org/joda/time/field/BaseDurationField,false,NA,NA,false,NA,false
org/joda/time/field/FieldUtils,true,666,2157,true,413,true
org/joda/time/field/DecoratedDateTimeField,false,NA,NA,false,NA,false
org/joda/time/field/BaseDateTimeField,false,NA,NA,false,NA,false
org/joda/time/field/DelegatedDurationField,true,131,1192,false,NA,NA
org/joda/time/field/ScaledDurationField,false,NA,NA,false,NA,false
org/joda/time/field/RemainderDateTimeField,false,NA,NA,false,NA,false
org/joda/time/field/AbstractReadableInstantFieldProperty,true,539,1870,true,237,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,137,1183,true,18,true
org/joda/time/field/DividedDateTimeField,true,444,2094,false,NA,false
org/joda/time/field/AbstractPartialFieldProperty,true,356,1332,true,135,true
org/joda/time/field/ImpreciseDateTimeField,true,247,1077,false,NA,false
org/joda/time/field/LenientDateTimeField,true,101,404,true,46,true
org/joda/time/field/SkipDateTimeField,true,71,645,false,NA,false
org/joda/time/field/UnsupportedDurationField,true,218,1053,false,NA,false
org/joda/time/field/DelegatedDateTimeField,true,109,2833,false,NA,false
org/joda/time/field/UnsupportedDateTimeField,false,NA,NA,false,NA,false
org/joda/time/field/OffsetDateTimeField,false,NA,NA,false,NA,false
org/joda/time/field/PreciseDurationDateTimeField,false,NA,NA,false,NA,false
org/joda/time/field/PreciseDurationField,true,86,668,true,33,true
org/joda/time/field/PreciseDateTimeField,true,116,708,false,NA,false
org/joda/time/field/StrictDateTimeField,true,23,253,true,18,true
org/joda/time/field/DecoratedDurationField,false,NA,NA,false,NA,false
org/joda/time/field/SkipUndoDateTimeField,true,57,569,false,NA,false
org/joda/time/base/BaseDuration,true,54,762,true,16,true
org/joda/time/base/BaseDateTime,true,211,1548,true,70,true
org/joda/time/base/AbstractDateTime,true,609,1241,true,161,false
org/joda/time/base/AbstractInstant,true,456,1538,false,NA,false
org/joda/time/base/BasePeriod,true,1081,5476,false,NA,false
org/joda/time/base/AbstractPeriod,true,212,1085,true,90,false
org/joda/time/base/AbstractDuration,true,259,865,false,NA,false
org/joda/time/base/BaseLocal,true,5,38,true,0,NA
org/joda/time/base/AbstractInterval,true,591,2010,true,233,false
org/joda/time/base/AbstractPartial,true,673,2247,false,NA,false
org/joda/time/base/BaseInterval,true,202,2125,false,NA,false
org/joda/time/base/BaseSingleFieldPeriod,true,547,1822,false,NA,false
org/joda/time/base/BasePartial,true,140,1635,false,NA,false
org/joda/time/YearMonthDay,false,NA,NA,false,NA,false
org/joda/time/Partial,false,NA,NA,false,NA,false
org/joda/time/ReadableInstant,true,3,90,false,NA,NA
org/joda/time/MutablePeriod,true,634,3760,false,NA,false
org/joda/time/ReadWritableDateTime,true,1,284,true,0,NA
org/joda/time/JodaTimePermission,true,0,34,true,0,NA
org/joda/time/ReadWritablePeriod,true,7,301,true,0,NA
org/joda/time/Seconds,true,536,1831,false,NA,false
org/joda/time/ReadableDateTime,true,1,131,true,0,NA
org/joda/time/Period,true,3245,10010,false,NA,false
org/joda/time/ReadWritableInterval,true,11,119,true,0,NA
org/joda/time/DateTimeUtils,true,281,2567,false,NA,false
org/joda/time/DateMidnight,true,1974,6159,false,NA,false
org/joda/time/Years,true,476,1545,false,NA,false
org/joda/time/ReadWritableInstant,true,11,127,true,0,NA
org/joda/time/Duration,true,335,1646,false,NA,false
org/joda/time/ReadableDuration,true,1,67,false,NA,NA
org/joda/time/Weeks,true,589,1831,false,NA,false
org/joda/time/format/DateTimeFormatter,true,838,6035,false,NA,false
org/joda/time/format/FormatUtils,true,565,3988,false,NA,false
org/joda/time/format/PeriodFormat,true,745,3668,true,494,true
org/joda/time/format/PeriodFormatterBuilder,true,4821,25409,false,NA,false
org/joda/time/format/InternalPrinterDateTimePrinter,true,40,809,true,44,false
org/joda/time/format/InternalParser,true,2,22,true,0,NA
org/joda/time/format/DateTimeParser,true,2,22,true,0,NA
