Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/joda/time/field/DecoratedDurationField,true,53,533,true,12,true
org/joda/time/field/PreciseDateTimeField,true,79,708,true,34,true
org/joda/time/field/MillisDurationField,true,10,659,true,5,true
org/joda/time/field/ScaledDurationField,true,181,1307,true,80,true
org/joda/time/field/SkipDateTimeField,true,40,645,true,5,true
org/joda/time/field/DecoratedDateTimeField,true,59,448,true,12,true
org/joda/time/field/FieldUtils,true,80,2157,true,91,true
org/joda/time/field/DividedDateTimeField,true,163,2094,true,30,true
org/joda/time/field/UnsupportedDurationField,true,47,1053,true,60,true
org/joda/time/field/PreciseDurationField,true,94,668,true,38,true
org/joda/time/field/DelegatedDurationField,true,146,1192,true,8,NA
org/joda/time/field/AbstractPartialFieldProperty,true,57,1332,false,NA,false
org/joda/time/field/PreciseDurationDateTimeField,true,122,807,false,NA,false
org/joda/time/field/BaseDateTimeField,true,209,5386,false,NA,false
org/joda/time/field/OffsetDateTimeField,true,60,1452,true,0,true
org/joda/time/field/BaseDurationField,true,12,547,true,0,true
org/joda/time/field/DelegatedDateTimeField,true,288,2833,true,5,true
org/joda/time/field/StrictDateTimeField,true,11,253,true,9,true
org/joda/time/field/RemainderDateTimeField,true,99,1485,true,16,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,8,1183,true,2,true
org/joda/time/field/SkipUndoDateTimeField,true,37,569,true,5,true
org/joda/time/field/AbstractReadableInstantFieldProperty,true,61,1870,false,NA,false
org/joda/time/field/ImpreciseDateTimeField,true,197,1077,false,NA,false
org/joda/time/field/UnsupportedDateTimeField,true,38,2027,true,40,true
org/joda/time/field/LenientDateTimeField,true,49,404,true,37,true
org/joda/time/chrono/IslamicChronology,true,498,4278,false,NA,false
org/joda/time/chrono/GJCacheKey,true,87,682,true,38,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,81,881,true,42,true
org/joda/time/chrono/ZonedChronology,true,1417,10361,false,NA,false
org/joda/time/chrono/LenientChronology,true,35,1522,true,35,true
