Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/joda/time/MutableInterval,true,16,1651,true,16,true
org/joda/time/Chronology,true,0,405,true,0,NA
org/joda/time/Days,true,28,1983,true,0,true
org/joda/time/Interval,true,18,2000,true,12,true
org/joda/time/UTCDateTimeZone,true,15,296,true,0,true
org/joda/time/DateTimeFieldType,true,404,3939,false,NA,false
org/joda/time/chrono/BuddhistChronology,true,21,1530,true,1,true
org/joda/time/chrono/AssembledChronology,true,905,7401,false,NA,false
org/joda/time/chrono/EthiopicChronology,true,47,1820,false,NA,false
org/joda/time/chrono/BaseChronology,true,12,4085,true,4,true
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,46,789,true,0,true
org/joda/time/chrono/BasicWeekyearDateTimeField,true,102,1798,true,0,true
org/joda/time/chrono/GJChronology,true,3024,14126,false,NA,false
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
org/joda/time/chrono/LimitChronology,true,313,8528,false,NA,false
org/joda/time/chrono/LenientChronology,true,19,1522,true,4,true
org/joda/time/chrono/BasicSingleEraDateTimeField,true,46,555,false,NA,false
org/joda/time/chrono/GJLocaleSymbols,true,202,3577,true,0,true
org/joda/time/chrono/GJCacheKey,true,39,682,true,0,true
org/joda/time/chrono/ZonedChronology,true,516,10361,false,NA,false
org/joda/time/chrono/IslamicChronology,true,284,4278,false,NA,false
org/joda/time/chrono/CopticChronology,true,47,1859,false,NA,false
org/joda/time/chrono/GJEraDateTimeField,true,66,906,false,NA,false
org/joda/time/chrono/BasicChronology,true,328,6967,false,NA,false
org/joda/time/chrono/BasicGJChronology,true,123,2290,false,NA,false
org/joda/time/chrono/BasicYearDateTimeField,true,67,1261,true,0,true
org/joda/time/chrono/BasicFixedMonthChronology,true,43,986,true,0,true
org/joda/time/chrono/ISOChronology,true,18,1245,true,1,true
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,20,432,true,0,true
org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,230,3897,true,77,true
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,42,766,true,0,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,39,881,true,0,true
org/joda/time/chrono/GJYearOfEraDateTimeField,true,15,865,true,0,true
org/joda/time/chrono/GregorianChronology,true,51,1685,false,NA,false
org/joda/time/chrono/JulianChronology,true,60,1862,false,NA,false
org/joda/time/chrono/StrictChronology,true,19,1414,true,4,true
org/joda/time/chrono/ISOYearOfEraDateTimeField,true,5,805,true,0,true
org/joda/time/DurationField,true,0,389,true,10,false
org/joda/time/DurationFieldType,true,151,1911,false,NA,false
org/joda/time/IllegalFieldValueException,true,243,3015,true,1,true
org/joda/time/Hours,true,34,2021,true,0,true
org/joda/time/ReadableInterval,true,0,141,true,0,NA
org/joda/time/DateTimeZone,true,202,8451,false,NA,false
org/joda/time/ReadablePeriod,true,0,75,true,0,NA
org/joda/time/PeriodType,true,551,7615,false,NA,false
org/joda/time/DateTime,true,150,9475,false,NA,false
org/joda/time/LocalDate,true,280,11623,false,NA,false
org/joda/time/DateTimeComparator,true,131,1648,false,NA,false
org/joda/time/field/MillisDurationField,true,6,659,true,4,true
org/joda/time/field/BaseDurationField,true,12,547,true,0,true
org/joda/time/field/FieldUtils,true,19,2157,true,27,false
org/joda/time/field/DecoratedDateTimeField,true,37,448,true,0,true
org/joda/time/field/BaseDateTimeField,true,40,5386,true,0,true
org/joda/time/field/DelegatedDurationField,true,118,1192,false,NA,NA
org/joda/time/field/ScaledDurationField,true,56,1307,true,11,false
org/joda/time/field/RemainderDateTimeField,true,94,1485,true,0,true
org/joda/time/field/AbstractReadableInstantFieldProperty,true,36,1870,true,0,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,4,1183,true,0,true
org/joda/time/field/DividedDateTimeField,true,139,2094,true,0,true
org/joda/time/field/AbstractPartialFieldProperty,true,25,1332,true,4,true
org/joda/time/field/ImpreciseDateTimeField,true,22,1077,true,0,true
org/joda/time/field/LenientDateTimeField,true,12,404,false,NA,false
org/joda/time/field/SkipDateTimeField,true,34,645,true,4,true
org/joda/time/field/UnsupportedDurationField,true,19,1053,true,4,true
org/joda/time/field/DelegatedDateTimeField,true,272,2833,true,0,true
org/joda/time/field/UnsupportedDateTimeField,true,26,2027,true,4,true
org/joda/time/field/OffsetDateTimeField,true,72,1452,true,0,true
org/joda/time/field/PreciseDurationDateTimeField,true,83,807,true,0,true
org/joda/time/field/PreciseDurationField,true,32,668,true,0,true
org/joda/time/field/PreciseDateTimeField,true,42,708,true,0,true
org/joda/time/field/StrictDateTimeField,true,0,253,true,0,true
org/joda/time/field/DecoratedDurationField,true,30,533,true,0,true
org/joda/time/field/SkipUndoDateTimeField,true,31,569,true,4,true
org/joda/time/base/BaseDuration,true,30,762,false,NA,false
org/joda/time/base/BaseDateTime,true,80,1548,false,NA,false
org/joda/time/base/AbstractDateTime,true,5,1241,true,4,true
org/joda/time/base/AbstractInstant,true,10,1538,true,4,true
org/joda/time/base/BasePeriod,true,133,5476,true,0,true
org/joda/time/base/AbstractPeriod,true,8,1085,true,4,true
org/joda/time/base/AbstractDuration,true,22,865,true,47,false
org/joda/time/base/BaseLocal,true,8,38,true,4,NA
org/joda/time/base/AbstractInterval,true,15,2010,true,4,true
org/joda/time/base/AbstractPartial,true,11,2247,true,8,true
org/joda/time/base/BaseInterval,false,NA,NA,false,NA,false
org/joda/time/base/BaseSingleFieldPeriod,true,45,1822,false,NA,false
org/joda/time/base/BasePartial,true,68,1635,true,0,true
org/joda/time/YearMonthDay,true,138,5212,true,0,true
org/joda/time/Partial,true,418,8772,false,NA,false
org/joda/time/ReadableInstant,true,0,90,true,0,NA
org/joda/time/MutablePeriod,true,40,3760,true,40,true
org/joda/time/ReadWritableDateTime,true,0,284,true,0,NA
org/joda/time/JodaTimePermission,true,0,34,true,0,NA
org/joda/time/ReadWritablePeriod,true,0,301,true,0,NA
org/joda/time/Seconds,true,37,1831,true,0,true
org/joda/time/ReadableDateTime,true,0,131,true,0,NA
org/joda/time/Period,true,231,10010,true,20,false
org/joda/time/ReadWritableInterval,true,0,119,true,0,NA
org/joda/time/DateTimeUtils,true,109,2567,false,NA,false
org/joda/time/DateMidnight,true,142,6159,false,NA,false
org/joda/time/Years,true,14,1545,true,0,true
org/joda/time/ReadWritableInstant,true,0,127,true,0,NA
org/joda/time/Duration,true,20,1646,true,5,false
org/joda/time/ReadableDuration,true,0,67,true,0,NA
org/joda/time/Weeks,true,27,1831,true,0,true
org/joda/time/format/DateTimeFormatter,true,387,6035,false,NA,false
org/joda/time/format/FormatUtils,true,91,3988,false,NA,false
org/joda/time/format/PeriodFormat,true,7,3668,true,4,true
org/joda/time/format/PeriodFormatterBuilder,true,4062,25409,false,NA,false
org/joda/time/format/InternalPrinterDateTimePrinter,true,25,809,true,0,NA
org/joda/time/format/InternalParser,true,0,22,true,0,NA
org/joda/time/format/DateTimeParser,true,0,22,true,0,NA
org/joda/time/format/DateTimeParserBucket,true,547,5264,false,NA,false
org/joda/time/format/DateTimePrinterInternalPrinter,true,24,786,true,0,true
org/joda/time/format/PeriodParser,true,0,21,true,0,NA
org/joda/time/format/InternalPrinter,true,0,57,true,0,NA
org/joda/time/format/PeriodPrinter,true,0,67,true,0,NA
org/joda/time/format/DateTimeParserInternalParser,true,9,242,true,0,true
org/joda/time/format/ISOPeriodFormat,true,4,902,true,4,true
org/joda/time/format/DateTimeFormat,true,335,6355,false,NA,false
org/joda/time/format/PeriodFormatter,true,107,1645,true,0,true
org/joda/time/format/InternalParserDateTimeParser,true,13,425,true,0,true
org/joda/time/format/DateTimeFormatterBuilder,true,1307,24548,false,NA,false
org/joda/time/format/ISODateTimeFormat,true,334,13387,false,NA,false
org/joda/time/format/DateTimePrinter,true,0,103,true,0,NA
org/joda/time/MutableDateTime,true,284,7828,false,NA,false
org/joda/time/Months,true,14,1887,true,0,true
org/joda/time/YearMonth,true,128,4635,true,0,true
org/joda/time/DateTimeConstants,true,63,572,true,4,NA
org/joda/time/TimeOfDay,true,169,5726,true,0,true
org/joda/time/Instant,true,18,966,true,0,true
org/joda/time/DateTimeField,true,0,606,true,0,NA
org/joda/time/tz/DefaultNameProvider,true,85,1479,false,NA,false
org/joda/time/tz/DateTimeZoneBuilder,true,959,22892,false,NA,false
org/joda/time/tz/Provider,true,0,17,true,0,NA
org/joda/time/tz/CachedDateTimeZone,true,134,2310,false,NA,false
org/joda/time/tz/NameProvider,true,0,34,true,0,NA
org/joda/time/tz/ZoneInfoCompiler,true,434,12215,false,NA,false
org/joda/time/tz/ZoneInfoProvider,true,137,2273,false,NA,false
org/joda/time/tz/UTCProvider,true,4,96,true,0,true
org/joda/time/tz/FixedDateTimeZone,true,38,694,true,0,true
org/joda/time/LocalDateTime,true,284,13490,false,NA,false
org/joda/time/ReadablePartial,true,0,89,true,0,NA
org/joda/time/MonthDay,true,128,4610,false,NA,false
org/joda/time/convert/PartialConverter,true,0,73,true,0,NA
org/joda/time/convert/DateConverter,true,4,96,true,4,false
org/joda/time/convert/Converter,true,0,11,true,0,NA
org/joda/time/convert/ReadableDurationConverter,true,4,274,true,4,false
org/joda/time/convert/StringConverter,true,253,2580,false,NA,false
org/joda/time/convert/DurationConverter,true,0,12,true,0,NA
org/joda/time/convert/PeriodConverter,true,0,29,true,0,NA
org/joda/time/convert/ReadablePeriodConverter,true,4,128,true,4,false
org/joda/time/convert/AbstractConverter,true,4,364,true,4,true
org/joda/time/convert/ReadablePartialConverter,true,4,389,false,NA,false
org/joda/time/convert/LongConverter,true,4,116,true,4,false
org/joda/time/convert/ReadableIntervalConverter,true,4,441,true,4,false
org/joda/time/convert/CalendarConverter,true,25,528,true,14,false
org/joda/time/convert/ConverterSet,true,268,3423,false,NA,false
org/joda/time/convert/InstantConverter,true,0,42,true,0,NA
org/joda/time/convert/NullConverter,true,4,189,false,NA,false
org/joda/time/convert/ConverterManager,true,132,3800,true,10,true
org/joda/time/convert/ReadableInstantConverter,true,4,327,true,4,false
org/joda/time/convert/IntervalConverter,true,0,33,true,0,NA
