Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/joda/time/MutableInterval,true,174,1651,true,0,true
org/joda/time/Chronology,true,43,405,true,0,NA
org/joda/time/Days,true,188,1983,true,0,true
org/joda/time/Interval,true,234,2000,true,0,true
org/joda/time/UTCDateTimeZone,true,35,296,true,0,true
org/joda/time/DateTimeFieldType,true,600,3939,true,0,true
org/joda/time/chrono/BuddhistChronology,true,82,1530,true,1,true
org/joda/time/chrono/AssembledChronology,true,762,7401,false,NA,false
org/joda/time/chrono/EthiopicChronology,true,93,1820,true,50,true
org/joda/time/chrono/BaseChronology,true,387,4085,true,0,true
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,80,789,true,0,true
org/joda/time/chrono/BasicWeekyearDateTimeField,true,206,1798,true,0,true
org/joda/time/chrono/GJChronology,true,4394,14126,false,NA,false
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,20,256,true,0,true
org/joda/time/chrono/LimitChronology,true,2859,8528,false,NA,false
org/joda/time/chrono/LenientChronology,true,181,1522,true,0,true
org/joda/time/chrono/BasicSingleEraDateTimeField,true,94,555,true,0,true
org/joda/time/chrono/GJLocaleSymbols,true,309,3577,true,13,true
org/joda/time/chrono/GJCacheKey,true,51,682,true,0,true
org/joda/time/chrono/ZonedChronology,true,3447,10361,false,NA,false
org/joda/time/chrono/IslamicChronology,true,460,4278,true,54,true
org/joda/time/chrono/CopticChronology,true,90,1859,true,50,true
org/joda/time/chrono/GJEraDateTimeField,true,127,906,true,0,true
org/joda/time/chrono/BasicChronology,true,564,6967,true,0,true
org/joda/time/chrono/BasicGJChronology,true,211,2290,true,0,true
org/joda/time/chrono/BasicYearDateTimeField,true,139,1261,true,0,true
org/joda/time/chrono/BasicFixedMonthChronology,true,132,986,true,0,true
org/joda/time/chrono/ISOChronology,true,70,1245,true,1,true
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,49,432,true,0,true
org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,335,3897,true,75,true
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,74,766,true,0,true
