Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/jsoup/examples/ListLinks,true,8,886,true,1,NA
org/jsoup/examples/HtmlToPlainText,true,130,1896,true,0,NA
org/jsoup/examples/package-info,true,NA,NA,false,NA,NA
org/jsoup/select/CombiningEvaluator,true,86,1146,true,6,true
org/jsoup/select/Elements,true,353,4285,false,NA,false
org/jsoup/select/package-info,true,NA,NA,false,NA,NA
org/jsoup/select/QueryParser,true,500,6795,true,116,true
org/jsoup/select/StructuralEvaluator,true,120,1331,true,0,NA
org/jsoup/select/Evaluator,true,649,6551,true,0,NA
org/jsoup/select/Collector,true,29,393,true,0,true
org/jsoup/select/Selector,true,17,631,true,12,true
org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
org/jsoup/select/NodeTraversor,true,81,346,false,NA,false
org/jsoup/Jsoup,true,0,942,true,0,true
org/jsoup/safety/Whitelist,true,311,7947,false,NA,false
org/jsoup/safety/package-info,true,NA,NA,false,NA,NA
org/jsoup/safety/Cleaner,true,150,1565,true,0,true
org/jsoup/package-info,true,NA,NA,false,NA,NA
org/jsoup/UnsupportedMimeTypeException,true,16,221,true,1,NA
org/jsoup/HttpStatusException,true,16,221,true,1,NA
org/jsoup/Connection,true,17,881,true,0,NA
org/jsoup/helper/DescendableLinkedList,true,42,491,false,NA,false
org/jsoup/helper/Validate,true,2,531,true,6,true
org/jsoup/helper/HttpConnection,true,832,11729,false,NA,false
org/jsoup/helper/W3CDom,true,71,1350,true,4,true
org/jsoup/helper/DataUtil,true,43,2503,true,79,true
org/jsoup/helper/StringUtil,true,19,1361,true,44,true
org/jsoup/nodes/Attribute,true,89,1588,false,NA,false
org/jsoup/nodes/TextNode,true,112,1643,true,0,true
org/jsoup/nodes/DocumentType,true,46,738,true,0,true
org/jsoup/nodes/Node,true,389,6503,true,24,true
org/jsoup/nodes/Entities,true,150,2845,true,76,true
org/jsoup/nodes/Comment,true,14,299,true,0,true
org/jsoup/nodes/Document,true,192,3193,true,32,true
org/jsoup/nodes/package-info,true,NA,NA,false,NA,NA
org/jsoup/nodes/XmlDeclaration,true,14,320,true,0,true
org/jsoup/nodes/FormElement,true,55,807,false,NA,false
org/jsoup/nodes/Attributes,true,211,2970,false,NA,false
org/jsoup/nodes/DataNode,true,13,334,true,0,true
org/jsoup/nodes/Element,true,586,8822,true,86,true
org/jsoup/parser/TokenQueue,true,522,3956,false,NA,false
org/jsoup/parser/Tag,true,325,3534,true,180,true
org/jsoup/parser/Tokeniser,true,390,3338,true,87,true
org/jsoup/parser/ParseErrorList,true,12,206,true,0,true
org/jsoup/parser/TokeniserState,true,NA,22459,false,NA,false
org/jsoup/parser/package-info,true,NA,NA,false,NA,NA
org/jsoup/parser/TreeBuilder,true,59,603,true,0,true
org/jsoup/parser/Parser,true,33,985,true,25,true
org/jsoup/parser/HtmlTreeBuilderState,true,NA,27218,false,NA,false
org/jsoup/parser/CharacterReader,true,565,4520,true,93,true
org/jsoup/parser/XmlTreeBuilder,true,243,1365,false,NA,false
org/jsoup/parser/ParseError,true,17,286,true,1,true
org/jsoup/parser/HtmlTreeBuilder,true,2562,8966,false,NA,false
org/jsoup/parser/Token,true,539,3197,true,4,true
