Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/jsoup/helper/W3CDom,true,222,1350,false,NA,false
org/jsoup/helper/DataUtil,true,56,2503,true,79,true
org/jsoup/helper/Validate,true,30,531,true,2,true
org/jsoup/helper/HttpConnection,true,2111,11729,false,NA,false
org/jsoup/helper/StringUtil,true,87,1361,true,48,true
org/jsoup/helper/DescendableLinkedList,true,83,491,false,NA,false
org/jsoup/HttpStatusException,true,13,221,true,0,NA
org/jsoup/package-info,false,NA,NA,false,NA,NA
org/jsoup/select/CombiningEvaluator,true,198,1146,false,NA,false
org/jsoup/select/package-info,false,NA,NA,false,NA,NA
org/jsoup/select/Evaluator,true,1771,6551,false,NA,NA
org/jsoup/select/QueryParser,true,554,6795,true,190,true
org/jsoup/select/Collector,true,91,393,false,NA,false
org/jsoup/select/Elements,true,828,4285,false,NA,false
org/jsoup/select/StructuralEvaluator,true,365,1331,false,NA,NA
org/jsoup/select/Selector,true,85,631,false,NA,false
org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
org/jsoup/select/NodeTraversor,true,9,346,true,0,true
org/jsoup/Connection,true,392,881,false,NA,NA
org/jsoup/Jsoup,true,1,942,true,0,true
org/jsoup/parser/Tag,true,454,3534,true,11,true
org/jsoup/parser/package-info,false,NA,NA,false,NA,NA
org/jsoup/parser/TokenQueue,true,668,3956,true,61,true
org/jsoup/parser/Tokeniser,true,475,3338,true,87,true
org/jsoup/parser/Parser,true,57,985,true,9,true
org/jsoup/parser/HtmlTreeBuilder,true,2631,8966,false,NA,false
org/jsoup/parser/XmlTreeBuilder,true,129,1365,false,NA,false
org/jsoup/parser/ParseErrorList,true,12,206,true,0,true
org/jsoup/parser/CharacterReader,true,676,4520,true,66,true
org/jsoup/parser/ParseError,true,13,286,true,0,true
org/jsoup/parser/TokeniserState,true,NA,22459,false,NA,false
org/jsoup/parser/Token,true,571,3197,false,NA,false
org/jsoup/parser/TreeBuilder,true,55,603,false,NA,false
org/jsoup/parser/HtmlTreeBuilderState,true,NA,27218,false,NA,false
org/jsoup/safety/package-info,false,NA,NA,false,NA,NA
org/jsoup/safety/Cleaner,true,255,1565,false,NA,false
org/jsoup/safety/Whitelist,true,825,7947,false,NA,false
org/jsoup/nodes/Comment,true,22,299,true,0,true
org/jsoup/nodes/FormElement,true,84,807,true,42,true
org/jsoup/nodes/Element,true,896,8822,false,NA,false
org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA
org/jsoup/nodes/Entities,true,209,2845,false,NA,false
org/jsoup/nodes/XmlDeclaration,true,22,320,true,0,true
org/jsoup/nodes/DataNode,true,24,334,true,0,true
org/jsoup/nodes/Attributes,true,458,2970,false,NA,false
org/jsoup/nodes/TextNode,true,126,1643,true,0,true
org/jsoup/nodes/Node,true,646,6503,false,NA,false
org/jsoup/nodes/Document,true,498,3193,false,NA,false
org/jsoup/nodes/Attribute,true,125,1588,false,NA,false
org/jsoup/nodes/DocumentType,true,75,738,true,0,true
org/jsoup/examples/package-info,false,NA,NA,false,NA,NA
org/jsoup/examples/ListLinks,true,60,886,true,22,NA
org/jsoup/examples/HtmlToPlainText,true,297,1896,false,NA,NA
org/jsoup/UnsupportedMimeTypeException,true,13,221,true,0,NA
