Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/jsoup/examples/ListLinks,true,216,886,false,NA,NA
org/jsoup/examples/HtmlToPlainText,true,374,1896,false,NA,NA
org/jsoup/examples/package-info,false,NA,NA,false,NA,NA
org/jsoup/select/CombiningEvaluator,true,211,1146,false,NA,false
org/jsoup/select/Elements,true,945,4285,false,NA,false
org/jsoup/select/package-info,false,NA,NA,false,NA,NA
org/jsoup/select/QueryParser,true,964,6795,false,NA,false
org/jsoup/select/StructuralEvaluator,true,364,1331,false,NA,NA
org/jsoup/select/Evaluator,true,1771,6551,false,NA,NA
org/jsoup/select/Collector,true,88,393,false,NA,false
org/jsoup/select/Selector,true,108,631,false,NA,false
org/jsoup/select/NodeVisitor,true,1,26,true,0,NA
org/jsoup/select/NodeTraversor,true,58,346,true,14,true
org/jsoup/Jsoup,true,33,942,false,NA,false
org/jsoup/safety/Whitelist,true,2025,7947,false,NA,false
org/jsoup/safety/package-info,false,NA,NA,false,NA,NA
org/jsoup/safety/Cleaner,true,314,1565,false,NA,false
org/jsoup/package-info,false,NA,NA,false,NA,NA
org/jsoup/UnsupportedMimeTypeException,true,37,221,true,2,NA
org/jsoup/HttpStatusException,true,37,221,true,2,NA
org/jsoup/Connection,true,385,881,false,NA,NA
org/jsoup/helper/DescendableLinkedList,true,82,491,false,NA,false
org/jsoup/helper/Validate,true,39,531,true,31,true
org/jsoup/helper/HttpConnection,true,2064,11729,false,NA,false
org/jsoup/helper/W3CDom,true,246,1350,false,NA,false
org/jsoup/helper/DataUtil,true,306,2503,false,NA,false
org/jsoup/helper/StringUtil,true,241,1361,false,NA,false
org/jsoup/nodes/Attribute,true,480,1588,false,NA,false
org/jsoup/nodes/TextNode,true,326,1643,false,NA,false
org/jsoup/nodes/DocumentType,true,113,738,false,NA,false
org/jsoup/nodes/Node,true,965,6503,false,NA,false
org/jsoup/nodes/Entities,true,506,2845,false,NA,false
org/jsoup/nodes/Comment,true,22,299,false,NA,false
org/jsoup/nodes/Document,true,558,3193,false,NA,false
org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA
org/jsoup/nodes/XmlDeclaration,true,22,320,false,NA,false
org/jsoup/nodes/FormElement,true,103,807,false,NA,false
org/jsoup/nodes/Attributes,true,444,2970,false,NA,false
org/jsoup/nodes/DataNode,true,29,334,false,NA,false
org/jsoup/nodes/Element,true,1488,8822,false,NA,false
org/jsoup/parser/TokenQueue,true,1232,3956,true,501,true
org/jsoup/parser/Tag,true,1835,3534,true,717,true
org/jsoup/parser/Tokeniser,true,824,3338,false,NA,false
org/jsoup/parser/ParseErrorList,true,12,206,true,0,true
org/jsoup/parser/TokeniserState,true,6104,22459,false,NA,false
org/jsoup/parser/package-info,false,NA,NA,false,NA,NA
org/jsoup/parser/TreeBuilder,true,46,603,false,NA,false
org/jsoup/parser/Parser,true,98,985,true,55,true
org/jsoup/parser/HtmlTreeBuilderState,true,5927,27218,false,NA,false
org/jsoup/parser/CharacterReader,true,1279,4520,false,NA,false
org/jsoup/parser/XmlTreeBuilder,true,236,1365,false,NA,false
org/jsoup/parser/ParseError,true,26,286,false,NA,false
org/jsoup/parser/HtmlTreeBuilder,true,3789,8966,false,NA,false
org/jsoup/parser/Token,true,559,3197,false,NA,false
