Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/junit/validator/ValidateWith,true,0,37,true,0,true
org/junit/validator/TestClassValidator,true,0,12,true,0,true
org/junit/validator/AnnotationValidatorFactory,true,0,365,true,0,true
org/junit/validator/AnnotationsValidator,true,40,1066,false,NA,false
org/junit/validator/AnnotationValidator,true,0,118,true,0,true
org/junit/validator/PublicClassValidator,true,3,135,false,NA,false
org/junit/runners/Parameterized,true,137,1696,true,21,true
org/junit/runners/BlockJUnit4ClassRunner,true,203,3403,true,4,true
org/junit/runners/package-info,true,NA,NA,false,NA,false
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,128,1709,true,15,true
org/junit/runners/parameterized/ParametersRunnerFactory,true,0,12,true,0,true
org/junit/runners/parameterized/TestWithParameters,true,50,869,true,1,true
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
org/junit/runners/ParentRunner,true,271,3497,false,NA,false
org/junit/runners/Suite,true,22,975,false,NA,false
org/junit/runners/JUnit4,true,0,47,true,0,true
org/junit/runners/AllTests,true,0,47,true,0,true
org/junit/runners/model/FrameworkMember,true,16,213,false,NA,false
org/junit/runners/model/NoGenericTypeParametersValidator,true,35,696,true,0,true
org/junit/runners/model/Annotatable,true,0,24,true,0,true
org/junit/runners/model/TestTimedOutException,true,6,188,true,0,true
org/junit/runners/model/InitializationError,true,3,181,true,0,true
org/junit/runners/model/FrameworkMethod,true,108,1773,false,NA,false
org/junit/runners/model/FrameworkField,true,36,511,false,NA,false
org/junit/runners/model/Statement,true,0,20,true,0,true
org/junit/runners/model/MultipleFailureException,true,11,480,true,0,true
org/junit/runners/model/TestClass,true,125,4288,false,NA,false
org/junit/runners/model/RunnerScheduler,true,0,14,true,0,true
org/junit/runners/model/RunnerBuilder,true,35,825,true,18,true
org/junit/runners/MethodSorters,true,3,179,true,0,true
org/junit/AssumptionViolatedException,true,2,163,true,0,true
org/junit/rules/TemporaryFolder,true,72,1169,true,4,true
org/junit/rules/TestName,true,7,90,true,0,true
org/junit/rules/Stopwatch,true,63,948,true,0,true
org/junit/rules/MethodRule,true,0,17,true,0,true
org/junit/rules/ExpectedException,true,117,885,false,NA,false
org/junit/rules/DisableOnDebug,true,37,346,false,NA,false
org/junit/rules/ErrorCollector,true,18,385,false,NA,false
org/junit/rules/RunRules,true,6,206,true,0,true
org/junit/rules/TestWatchman,true,18,266,true,0,true
org/junit/rules/TestWatcher,true,99,985,false,NA,false
org/junit/rules/ExpectedExceptionMatcherBuilder,true,32,532,false,NA,false
org/junit/rules/RuleChain,true,8,350,false,NA,false
org/junit/rules/ExternalResource,true,10,158,true,0,true
org/junit/rules/TestRule,true,0,13,true,0,true
org/junit/rules/Verifier,true,4,96,true,0,true
org/junit/rules/Timeout,true,48,982,false,NA,false
org/junit/Rule,true,0,57,true,0,true
org/junit/runner/Result,true,156,2220,true,0,true
org/junit/runner/Describable,true,0,5,true,0,true
org/junit/runner/package-info,true,NA,NA,false,NA,false
org/junit/runner/FilterFactories,true,22,599,false,NA,false
org/junit/runner/Request,true,9,679,false,NA,false
org/junit/runner/Computer,true,3,236,true,0,true
org/junit/runner/JUnitCore,true,44,1020,true,0,true
org/junit/runner/Description,true,118,2368,true,7,true
org/junit/runner/FilterFactoryParams,true,6,161,true,0,true
org/junit/runner/RunWith,true,4,56,true,0,true
org/junit/runner/JUnitCommandLineParseResult,true,112,1731,true,43,true
org/junit/runner/notification/Failure,true,26,343,true,1,true
org/junit/runner/notification/package-info,true,NA,NA,false,NA,false
org/junit/runner/notification/StoppedByUserException,true,0,22,true,0,true
org/junit/runner/notification/SynchronizedRunListener,true,140,752,true,71,true
org/junit/runner/notification/RunListener,true,5,139,true,0,true
org/junit/runner/notification/RunNotifier,true,81,1625,false,NA,false
org/junit/runner/Runner,true,3,59,true,0,true
org/junit/runner/manipulation/Filterable,true,0,12,true,0,true
org/junit/runner/manipulation/package-info,true,NA,NA,false,NA,false
org/junit/runner/manipulation/Filter,true,29,617,false,NA,false
org/junit/runner/manipulation/Sortable,true,0,9,true,0,true
org/junit/runner/manipulation/NoTestsRemainException,true,0,22,true,0,true
org/junit/runner/manipulation/Sorter,true,7,251,false,NA,false
org/junit/runner/FilterFactory,true,0,57,true,0,true
org/junit/package-info,true,NA,NA,false,NA,false
org/junit/Assert,true,106,4910,true,36,true
org/junit/internal/runners/SuiteMethod,true,7,280,true,1,true
org/junit/internal/runners/rules/ValidationError,true,0,113,true,0,true
org/junit/internal/runners/rules/RuleMemberValidator,true,109,2845,false,NA,false
org/junit/internal/runners/statements/ExpectException,true,36,428,true,8,true
org/junit/internal/runners/statements/RunBefores,true,11,217,true,0,true
org/junit/internal/runners/statements/Fail,true,7,80,true,0,true
org/junit/internal/runners/statements/InvokeMethod,true,9,136,true,0,true
org/junit/internal/runners/statements/FailOnTimeout,true,145,2442,false,NA,false
org/junit/internal/runners/statements/RunAfters,true,84,326,false,NA,false
org/junit/internal/runners/JUnit4ClassRunner,true,132,1621,false,NA,false
org/junit/internal/runners/FailedBefore,true,2,29,true,0,true
org/junit/internal/runners/package-info,true,NA,NA,false,NA,false
org/junit/internal/runners/MethodValidator,true,71,1369,true,4,true
org/junit/internal/runners/ErrorReportingRunner,true,33,727,true,0,true
org/junit/internal/runners/InitializationError,true,3,197,true,0,true
org/junit/internal/runners/JUnit38ClassRunner,true,260,1968,false,NA,false
org/junit/internal/runners/ClassRoadie,true,44,620,true,12,true
org/junit/internal/runners/TestMethod,true,30,627,true,0,true
org/junit/internal/runners/MethodRoadie,true,148,1785,false,NA,false
org/junit/internal/runners/TestClass,true,66,1384,true,22,true
org/junit/internal/runners/model/EachTestNotifier,true,39,436,true,0,true
org/junit/internal/runners/model/MultipleFailureException,true,0,50,true,0,true
org/junit/internal/runners/model/ReflectiveCallable,true,3,68,true,0,true
org/junit/internal/InexactComparisonCriteria,true,24,232,true,0,true
org/junit/internal/AssumptionViolatedException,true,27,833,true,0,true
org/junit/internal/RealSystem,true,0,69,true,0,true
org/junit/internal/builders/JUnit4Builder,true,0,69,true,0,true
org/junit/internal/builders/IgnoredClassRunner,true,9,180,true,0,true
org/junit/internal/builders/NullBuilder,true,0,44,true,0,true
org/junit/internal/builders/IgnoredBuilder,true,0,117,true,0,true
org/junit/internal/builders/AllDefaultPossibilitiesBuilder,true,20,370,true,4,true
org/junit/internal/builders/AnnotatedBuilder,true,34,726,true,0,true
org/junit/internal/builders/SuiteMethodBuilder,true,5,185,true,0,true
org/junit/internal/builders/JUnit3Builder,true,3,169,true,0,true
org/junit/internal/requests/package-info,true,NA,NA,false,NA,false
org/junit/internal/requests/ClassRequest,true,30,358,true,10,true
org/junit/internal/requests/SortingRequest,true,6,178,true,0,true
org/junit/internal/requests/FilterRequest,true,13,275,true,0,true
org/junit/internal/JUnitSystem,true,0,21,true,0,true
org/junit/internal/matchers/ThrowableCauseMatcher,true,12,379,true,0,true
org/junit/internal/matchers/TypeSafeMatcher,true,19,646,false,NA,false
org/junit/internal/matchers/ThrowableMessageMatcher,true,12,340,true,0,true
org/junit/internal/matchers/StacktracePrintingMatcher,true,14,469,true,0,true
org/junit/internal/ComparisonCriteria,true,79,777,true,53,true
org/junit/internal/Classes,true,0,87,true,0,true
org/junit/internal/ArrayComparisonFailure,true,46,476,true,11,true
org/junit/internal/TextListener,true,84,1169,true,1,true
org/junit/internal/MethodSorter,true,14,600,false,NA,false
org/junit/internal/Throwables,true,3,88,false,NA,false
org/junit/internal/ExactComparisonCriteria,true,2,60,true,0,true
org/junit/matchers/JUnitMatchers,true,3,612,false,NA,false
org/junit/matchers/package-info,true,NA,NA,false,NA,false
org/junit/After,true,4,38,true,0,true
org/junit/Assume,true,0,523,true,0,true
org/junit/Ignore,true,0,65,true,0,true
org/junit/ComparisonFailure,true,197,2360,true,0,true
org/junit/BeforeClass,true,4,38,true,0,true
org/junit/experimental/runners/Enclosed,true,8,368,false,NA,false
org/junit/experimental/ParallelComputer,true,12,655,true,0,true
org/junit/experimental/results/ResultMatchers,true,20,418,false,NA,false
org/junit/experimental/results/PrintableResult,true,7,331,true,0,true
org/junit/experimental/results/FailureList,true,3,168,true,0,true
org/junit/experimental/theories/Theory,true,4,46,true,0,true
org/junit/experimental/theories/ParameterSupplier,true,0,27,true,0,true
org/junit/experimental/theories/ParameterSignature,true,74,2602,true,10,true
org/junit/experimental/theories/PotentialAssignment,true,19,383,false,NA,false
org/junit/experimental/theories/ParametersSuppliedBy,true,0,68,true,0,true
org/junit/experimental/theories/internal/Assignments,true,105,1960,true,8,true
org/junit/experimental/theories/internal/BooleanSupplier,true,0,100,true,0,true
org/junit/experimental/theories/internal/AllMembersSupplier,true,158,2664,true,29,true
org/junit/experimental/theories/internal/ParameterizedAssertionError,true,12,537,true,4,true
org/junit/experimental/theories/internal/EnumSupplier,true,5,234,false,NA,false
org/junit/experimental/theories/internal/SpecificDataPointsSupplier,true,20,1029,true,24,true
org/junit/experimental/theories/DataPoint,true,0,97,true,0,true
org/junit/experimental/theories/Theories,true,284,3330,false,NA,false
org/junit/experimental/theories/DataPoints,true,0,97,true,0,true
org/junit/experimental/theories/suppliers/TestedOn,true,4,65,true,0,true
org/junit/experimental/theories/suppliers/TestedOnSupplier,true,10,176,true,14,true
org/junit/experimental/theories/FromDataPoints,true,4,62,true,0,true
org/junit/experimental/max/MaxCore,true,48,1458,true,4,true
org/junit/experimental/max/MaxHistory,true,112,1476,false,NA,false
org/junit/experimental/max/CouldNotReadCoreException,true,0,34,true,0,true
org/junit/experimental/categories/CategoryFilterFactory,true,11,300,false,NA,false
org/junit/experimental/categories/Categories,true,189,4710,true,8,true
org/junit/experimental/categories/Category,true,0,59,true,0,true
org/junit/experimental/categories/IncludeCategories,true,0,264,true,0,true
org/junit/experimental/categories/ExcludeCategories,true,0,264,true,0,true
org/junit/experimental/categories/CategoryValidator,true,24,504,false,NA,false
org/junit/ClassRule,true,0,57,true,0,true
org/junit/Test,true,2,102,true,0,true
org/junit/AfterClass,true,4,38,true,0,true
org/junit/FixMethodOrder,true,0,61,true,0,true
org/junit/Before,true,4,38,true,0,true
junit/extensions/package-info,true,NA,NA,false,NA,false
junit/extensions/TestSetup,true,10,174,true,0,true
junit/extensions/RepeatedTest,true,15,263,true,1,true
junit/extensions/TestDecorator,true,19,210,true,0,true
junit/extensions/ActiveTestSuite,true,22,430,true,0,true
junit/runner/package-info,true,NA,NA,false,NA,false
junit/runner/Version,true,0,69,true,0,true
junit/runner/TestRunListener,true,0,82,true,0,true
junit/runner/BaseTestRunner,true,148,2971,false,NA,false
junit/textui/ResultPrinter,true,133,1527,false,NA,false
junit/textui/package-info,true,NA,NA,false,NA,false
junit/textui/TestRunner,true,73,1817,false,NA,false
junit/framework/Protectable,true,0,8,true,0,true
junit/framework/AssertionFailedError,true,0,96,true,0,true
junit/framework/package-info,true,NA,NA,false,NA,false
junit/framework/Assert,true,36,2705,true,6,true
junit/framework/TestCase,true,310,2894,true,72,true
junit/framework/TestListener,true,0,44,true,0,true
junit/framework/ComparisonFailure,true,22,247,true,0,true
junit/framework/JUnit4TestAdapter,true,62,802,false,NA,false
junit/framework/JUnit4TestCaseFacade,true,10,145,true,0,true
junit/framework/ComparisonCompactor,true,229,1757,true,4,true
junit/framework/TestFailure,true,30,328,true,0,true
junit/framework/JUnit4TestAdapterCache,true,78,747,true,2,true
junit/framework/TestResult,true,122,1294,true,23,true
junit/framework/Test,true,0,14,true,0,true
junit/framework/TestSuite,true,133,3051,false,NA,false
