Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit/extensions/ActiveTestSuite,true,42,430,false,NA,false
junit/extensions/TestDecorator,true,4,210,true,0,true
junit/extensions/package-info,true,NA,NA,false,NA,false
junit/extensions/TestSetup,true,29,174,false,NA,false
junit/extensions/RepeatedTest,true,50,263,true,36,false
junit/textui/TestRunner,true,354,1817,false,NA,false
junit/textui/package-info,true,NA,NA,false,NA,false
junit/textui/ResultPrinter,true,533,1527,true,207,true
junit/runner/Version,true,7,69,true,0,true
junit/runner/TestRunListener,true,1,82,true,0,true
junit/runner/package-info,true,NA,NA,false,NA,false
junit/runner/BaseTestRunner,false,NA,NA,false,NA,false
junit/framework/Assert,true,339,2705,true,183,true
junit/framework/JUnit4TestAdapterCache,true,213,747,false,NA,false
junit/framework/ComparisonFailure,true,11,247,true,6,false
junit/framework/Protectable,true,1,8,true,0,true
junit/framework/Test,true,2,14,true,0,true
junit/framework/JUnit4TestAdapter,true,130,802,false,NA,false
junit/framework/AssertionFailedError,true,19,96,true,11,true
junit/framework/TestFailure,true,70,328,true,22,true
junit/framework/ComparisonCompactor,true,397,1757,true,173,true
junit/framework/package-info,true,NA,NA,false,NA,false
junit/framework/TestSuite,true,893,3051,false,NA,false
junit/framework/TestResult,false,NA,NA,false,NA,false
junit/framework/JUnit4TestCaseFacade,true,4,145,true,0,true
junit/framework/TestCase,false,NA,NA,false,NA,false
junit/framework/TestListener,true,6,44,true,0,true
org/junit/Assert,true,634,4910,false,NA,false
org/junit/ComparisonFailure,true,402,2360,false,NA,false
org/junit/experimental/ParallelComputer,true,111,655,false,NA,false
org/junit/experimental/runners/Enclosed,false,NA,NA,false,NA,false
org/junit/experimental/results/FailureList,true,34,168,true,28,true
org/junit/experimental/results/ResultMatchers,true,142,418,false,NA,false
org/junit/experimental/results/PrintableResult,true,41,331,false,NA,false
org/junit/experimental/categories/Category,true,20,59,false,NA,false
org/junit/experimental/categories/IncludeCategories,true,39,264,false,NA,false
org/junit/experimental/categories/Categories,true,747,4710,false,NA,false
org/junit/experimental/categories/CategoryFilterFactory,true,80,300,false,NA,false
org/junit/experimental/categories/CategoryValidator,true,117,504,false,NA,false
org/junit/experimental/categories/ExcludeCategories,true,39,264,false,NA,false
org/junit/experimental/theories/DataPoints,true,32,97,false,NA,false
org/junit/experimental/theories/ParameterSignature,true,252,2602,false,NA,false
org/junit/experimental/theories/ParametersSuppliedBy,true,22,68,false,NA,false
org/junit/experimental/theories/Theory,true,20,46,false,NA,false
org/junit/experimental/theories/Theories,true,890,3330,false,NA,false
org/junit/experimental/theories/internal/EnumSupplier,true,62,234,true,32,true
org/junit/experimental/theories/internal/ParameterizedAssertionError,false,NA,NA,false,NA,false
