Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/junit/validator/ValidateWith,true,0,37,true,0,true
org/junit/validator/TestClassValidator,true,0,12,true,0,true
org/junit/validator/AnnotationValidatorFactory,true,0,365,true,0,true
org/junit/validator/AnnotationsValidator,true,62,1066,false,NA,false
org/junit/validator/AnnotationValidator,true,0,118,true,0,true
org/junit/validator/PublicClassValidator,true,2,135,true,0,true
org/junit/runners/Parameterized,true,57,1696,false,NA,false
org/junit/runners/BlockJUnit4ClassRunner,true,22,3403,false,NA,false
org/junit/runners/package-info,false,NA,NA,false,NA,false
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,51,1709,true,20,true
org/junit/runners/parameterized/ParametersRunnerFactory,true,0,12,true,0,true
org/junit/runners/parameterized/TestWithParameters,true,42,869,true,0,true
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
org/junit/runners/ParentRunner,true,149,3497,false,NA,false
org/junit/runners/Suite,true,29,975,false,NA,false
org/junit/runners/JUnit4,true,0,47,true,0,true
org/junit/runners/AllTests,true,0,47,true,0,true
org/junit/runners/model/FrameworkMember,true,18,213,true,0,true
org/junit/runners/model/NoGenericTypeParametersValidator,true,6,696,true,0,true
org/junit/runners/model/Annotatable,true,0,24,true,0,true
org/junit/runners/model/TestTimedOutException,true,11,188,true,0,true
org/junit/runners/model/InitializationError,true,6,181,true,0,true
org/junit/runners/model/FrameworkMethod,true,75,1773,false,NA,false
org/junit/runners/model/FrameworkField,true,30,511,true,0,true
org/junit/runners/model/Statement,true,1,20,false,NA,false
org/junit/runners/model/MultipleFailureException,true,20,480,false,NA,false
org/junit/runners/model/TestClass,true,76,4288,false,NA,false
org/junit/runners/model/RunnerScheduler,true,0,14,true,0,true
org/junit/runners/model/RunnerBuilder,true,9,825,false,NA,false
org/junit/runners/MethodSorters,true,7,179,false,NA,false
org/junit/AssumptionViolatedException,true,2,163,false,NA,false
org/junit/rules/TemporaryFolder,true,27,1169,false,NA,false
org/junit/rules/TestName,true,7,90,true,0,true
org/junit/rules/Stopwatch,true,74,948,false,NA,false
org/junit/rules/MethodRule,true,0,17,true,0,true
org/junit/rules/ExpectedException,true,41,885,false,NA,false
org/junit/rules/DisableOnDebug,true,23,346,true,0,true
org/junit/rules/ErrorCollector,true,10,385,false,NA,false
org/junit/rules/RunRules,true,7,206,true,0,true
org/junit/rules/TestWatchman,true,14,266,false,NA,false
org/junit/rules/TestWatcher,true,62,985,false,NA,false
org/junit/rules/ExpectedExceptionMatcherBuilder,true,21,532,false,NA,false
org/junit/rules/RuleChain,true,6,350,false,NA,false
org/junit/rules/ExternalResource,true,9,158,false,NA,false
org/junit/rules/TestRule,true,0,13,true,0,true
org/junit/rules/Verifier,true,6,96,false,NA,false
org/junit/rules/Timeout,true,49,982,false,NA,false
org/junit/Rule,true,0,57,true,0,true
org/junit/runner/Result,true,224,2220,false,NA,false
org/junit/runner/Describable,true,0,5,true,0,true
org/junit/runner/package-info,false,NA,NA,false,NA,false
org/junit/runner/FilterFactories,true,10,599,true,10,true
org/junit/runner/Request,true,2,679,false,NA,false
org/junit/runner/Computer,true,22,236,false,NA,false
org/junit/runner/JUnitCore,true,28,1020,false,NA,false
org/junit/runner/Description,true,77,2368,false,NA,false
org/junit/runner/FilterFactoryParams,true,6,161,true,0,true
org/junit/runner/RunWith,true,4,56,true,0,true
org/junit/runner/JUnitCommandLineParseResult,true,50,1731,false,NA,false
org/junit/runner/notification/Failure,true,13,343,true,0,true
org/junit/runner/notification/package-info,false,NA,NA,false,NA,false
org/junit/runner/notification/StoppedByUserException,true,0,22,true,0,true
org/junit/runner/notification/SynchronizedRunListener,true,62,752,false,NA,false
org/junit/runner/notification/RunListener,true,6,139,false,NA,false
org/junit/runner/notification/RunNotifier,true,62,1625,false,NA,false
org/junit/runner/Runner,true,0,59,true,0,true
org/junit/runner/manipulation/Filterable,true,0,12,true,0,true
org/junit/runner/manipulation/package-info,false,NA,NA,false,NA,false
org/junit/runner/manipulation/Filter,true,12,617,true,0,true
org/junit/runner/manipulation/Sortable,true,0,9,true,0,true
org/junit/runner/manipulation/NoTestsRemainException,true,0,22,true,0,true
org/junit/runner/manipulation/Sorter,true,3,251,true,0,true
org/junit/runner/FilterFactory,true,0,57,true,0,true
org/junit/package-info,false,NA,NA,false,NA,false
org/junit/Assert,true,23,4910,true,8,true
org/junit/internal/runners/SuiteMethod,true,4,280,true,0,true
org/junit/internal/runners/rules/ValidationError,true,5,113,true,0,true
org/junit/internal/runners/rules/RuleMemberValidator,true,78,2845,false,NA,false
org/junit/internal/runners/statements/ExpectException,true,13,428,true,0,true
org/junit/internal/runners/statements/RunBefores,true,12,217,true,0,true
org/junit/internal/runners/statements/Fail,true,7,80,true,0,true
org/junit/internal/runners/statements/InvokeMethod,true,9,136,true,0,true
org/junit/internal/runners/statements/FailOnTimeout,true,100,2442,false,NA,false
org/junit/internal/runners/statements/RunAfters,true,25,326,false,NA,false
org/junit/internal/runners/JUnit4ClassRunner,true,56,1621,false,NA,false
org/junit/internal/runners/FailedBefore,true,0,29,true,0,true
org/junit/internal/runners/package-info,false,NA,NA,false,NA,false
org/junit/internal/runners/MethodValidator,true,43,1369,false,NA,false
org/junit/internal/runners/ErrorReportingRunner,true,23,727,true,6,false
org/junit/internal/runners/InitializationError,true,5,197,true,0,true
org/junit/internal/runners/JUnit38ClassRunner,true,50,1968,false,NA,false
org/junit/internal/runners/ClassRoadie,true,20,620,false,NA,false
org/junit/internal/runners/TestMethod,true,22,627,true,0,true
org/junit/internal/runners/MethodRoadie,true,96,1785,false,NA,false
org/junit/internal/runners/TestClass,true,16,1384,true,0,true
org/junit/internal/runners/model/EachTestNotifier,true,32,436,true,0,true
org/junit/internal/runners/model/MultipleFailureException,true,0,50,false,NA,false
org/junit/internal/runners/model/ReflectiveCallable,true,0,68,true,0,true
org/junit/internal/InexactComparisonCriteria,true,34,232,true,0,true
org/junit/internal/AssumptionViolatedException,true,22,833,false,NA,false
org/junit/internal/RealSystem,true,0,69,true,0,true
org/junit/internal/builders/JUnit4Builder,true,1,69,true,0,true
org/junit/internal/builders/IgnoredClassRunner,true,8,180,true,0,true
org/junit/internal/builders/NullBuilder,true,1,44,true,0,true
org/junit/internal/builders/IgnoredBuilder,true,1,117,true,0,true
org/junit/internal/builders/AllDefaultPossibilitiesBuilder,true,10,370,true,0,true
org/junit/internal/builders/AnnotatedBuilder,true,27,726,true,0,true
org/junit/internal/builders/SuiteMethodBuilder,true,3,185,true,0,true
org/junit/internal/builders/JUnit3Builder,true,1,169,true,0,true
org/junit/internal/requests/package-info,false,NA,NA,false,NA,false
org/junit/internal/requests/ClassRequest,true,27,358,false,NA,false
org/junit/internal/requests/SortingRequest,true,7,178,true,0,true
org/junit/internal/requests/FilterRequest,true,20,275,true,0,true
org/junit/internal/JUnitSystem,true,0,21,true,0,true
org/junit/internal/matchers/ThrowableCauseMatcher,true,12,379,true,0,true
org/junit/internal/matchers/TypeSafeMatcher,true,9,646,false,NA,false
org/junit/internal/matchers/ThrowableMessageMatcher,true,12,340,true,0,true
org/junit/internal/matchers/StacktracePrintingMatcher,true,11,469,true,0,true
org/junit/internal/ComparisonCriteria,true,0,777,true,0,true
org/junit/internal/Classes,true,0,87,false,NA,false
org/junit/internal/ArrayComparisonFailure,true,38,476,true,0,true
org/junit/internal/TextListener,true,17,1169,true,0,true
org/junit/internal/MethodSorter,true,4,600,true,4,true
org/junit/internal/Throwables,true,5,88,false,NA,false
org/junit/internal/ExactComparisonCriteria,true,2,60,true,0,true
org/junit/matchers/JUnitMatchers,true,3,612,true,4,true
org/junit/matchers/package-info,false,NA,NA,false,NA,false
org/junit/After,true,4,38,true,0,true
org/junit/Assume,true,7,523,false,NA,false
org/junit/Ignore,true,0,65,true,0,true
org/junit/ComparisonFailure,true,198,2360,false,NA,false
org/junit/BeforeClass,true,4,38,true,0,true
org/junit/experimental/runners/Enclosed,true,3,368,true,5,true
org/junit/experimental/ParallelComputer,true,14,655,false,NA,false
org/junit/experimental/results/ResultMatchers,true,1,418,true,0,true
org/junit/experimental/results/PrintableResult,true,7,331,true,0,true
org/junit/experimental/results/FailureList,true,3,168,true,0,true
org/junit/experimental/theories/Theory,true,4,46,true,0,true
org/junit/experimental/theories/ParameterSupplier,true,0,27,true,0,true
org/junit/experimental/theories/ParameterSignature,true,54,2602,false,NA,false
org/junit/experimental/theories/PotentialAssignment,true,24,383,false,NA,false
org/junit/experimental/theories/ParametersSuppliedBy,true,0,68,true,0,true
org/junit/experimental/theories/internal/Assignments,true,61,1960,true,0,true
org/junit/experimental/theories/internal/BooleanSupplier,true,16,100,false,NA,false
org/junit/experimental/theories/internal/AllMembersSupplier,true,52,2664,false,NA,false
org/junit/experimental/theories/internal/ParameterizedAssertionError,true,9,537,true,0,true
org/junit/experimental/theories/internal/EnumSupplier,true,4,234,true,0,true
org/junit/experimental/theories/internal/SpecificDataPointsSupplier,true,4,1029,true,0,true
org/junit/experimental/theories/DataPoint,true,0,97,true,0,true
org/junit/experimental/theories/Theories,true,76,3330,false,NA,false
org/junit/experimental/theories/DataPoints,true,0,97,true,0,true
org/junit/experimental/theories/suppliers/TestedOn,true,4,65,true,0,true
org/junit/experimental/theories/suppliers/TestedOnSupplier,true,5,176,true,0,true
org/junit/experimental/theories/FromDataPoints,true,4,62,true,0,true
org/junit/experimental/max/MaxCore,true,22,1458,true,0,true
org/junit/experimental/max/MaxHistory,true,115,1476,false,NA,false
org/junit/experimental/max/CouldNotReadCoreException,true,0,34,true,0,true
org/junit/experimental/categories/CategoryFilterFactory,true,1,300,true,0,true
org/junit/experimental/categories/Categories,true,87,4710,false,NA,false
org/junit/experimental/categories/Category,true,0,59,true,0,true
org/junit/experimental/categories/IncludeCategories,true,2,264,false,NA,false
org/junit/experimental/categories/ExcludeCategories,true,2,264,false,NA,false
org/junit/experimental/categories/CategoryValidator,true,10,504,true,0,true
org/junit/ClassRule,true,0,57,true,0,true
org/junit/Test,true,5,102,true,0,true
org/junit/AfterClass,true,4,38,true,0,true
org/junit/FixMethodOrder,true,0,61,true,0,true
org/junit/Before,true,4,38,true,0,true
junit/extensions/package-info,false,NA,NA,false,NA,false
junit/extensions/TestSetup,true,10,174,true,0,true
junit/extensions/RepeatedTest,true,22,263,true,4,true
junit/extensions/TestDecorator,true,16,210,true,0,true
junit/extensions/ActiveTestSuite,true,19,430,false,NA,false
junit/runner/package-info,false,NA,NA,false,NA,false
junit/runner/Version,true,3,69,true,0,true
junit/runner/TestRunListener,true,0,82,true,0,true
junit/runner/BaseTestRunner,true,102,2971,false,NA,false
junit/textui/ResultPrinter,true,13,1527,true,4,true
junit/textui/package-info,false,NA,NA,false,NA,false
junit/textui/TestRunner,true,59,1817,false,NA,false
junit/framework/Protectable,true,0,8,true,0,true
junit/framework/AssertionFailedError,true,0,96,true,0,true
junit/framework/package-info,false,NA,NA,false,NA,false
junit/framework/Assert,true,7,2705,true,8,true
junit/framework/TestCase,true,266,2894,false,NA,false
junit/framework/TestListener,true,0,44,true,0,true
junit/framework/ComparisonFailure,true,22,247,true,0,true
junit/framework/JUnit4TestAdapter,true,38,802,true,0,true
junit/framework/JUnit4TestCaseFacade,true,7,145,true,0,true
junit/framework/ComparisonCompactor,true,194,1757,true,8,true
junit/framework/TestFailure,true,19,328,true,0,true
junit/framework/JUnit4TestAdapterCache,true,26,747,true,0,true
junit/framework/TestResult,true,70,1294,false,NA,false
junit/framework/Test,true,0,14,true,0,true
junit/framework/TestSuite,true,59,3051,false,NA,false
