Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/junit/validator/ValidateWith,true,0,37,true,0,true
org/junit/validator/TestClassValidator,true,1,12,true,0,true
org/junit/validator/AnnotationValidatorFactory,true,0,365,true,0,true
org/junit/validator/AnnotationsValidator,true,210,1066,false,NA,false
org/junit/validator/AnnotationValidator,true,2,118,false,NA,false
org/junit/validator/PublicClassValidator,true,4,135,false,NA,false
org/junit/runners/Parameterized,true,70,1696,false,NA,false
org/junit/runners/BlockJUnit4ClassRunner,true,34,3403,false,NA,false
org/junit/runners/package-info,false,NA,NA,false,NA,false
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,18,1709,false,NA,false
org/junit/runners/parameterized/ParametersRunnerFactory,true,1,12,true,0,true
org/junit/runners/parameterized/TestWithParameters,true,9,869,true,6,false
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
org/junit/runners/ParentRunner,true,87,3497,false,NA,false
org/junit/runners/Suite,true,21,975,false,NA,false
org/junit/runners/JUnit4,true,0,47,true,0,true
org/junit/runners/AllTests,true,0,47,true,0,true
org/junit/runners/model/FrameworkMember,true,0,213,true,0,true
org/junit/runners/model/NoGenericTypeParametersValidator,true,0,696,true,0,true
org/junit/runners/model/Annotatable,true,1,24,true,0,true
org/junit/runners/model/TestTimedOutException,true,5,188,true,0,true
org/junit/runners/model/InitializationError,true,6,181,true,0,true
org/junit/runners/model/FrameworkMethod,true,32,1773,false,NA,false
org/junit/runners/model/FrameworkField,true,6,511,true,0,true
org/junit/runners/model/Statement,true,0,20,true,0,true
org/junit/runners/model/MultipleFailureException,true,15,480,true,0,true
org/junit/runners/model/TestClass,true,56,4288,false,NA,false
org/junit/runners/model/RunnerScheduler,true,1,14,true,0,true
org/junit/runners/model/RunnerBuilder,true,2,825,true,1,true
org/junit/runners/MethodSorters,true,0,179,true,0,true
org/junit/AssumptionViolatedException,true,2,163,true,0,true
org/junit/rules/TemporaryFolder,true,8,1169,true,0,true
org/junit/rules/TestName,true,1,90,true,0,true
org/junit/rules/Stopwatch,true,102,948,false,NA,false
org/junit/rules/MethodRule,true,1,17,true,0,true
org/junit/rules/ExpectedException,true,52,885,false,NA,false
org/junit/rules/DisableOnDebug,true,5,346,true,0,true
