Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/scribe/utils/OAuthEncoder,true,1,686,true,6,true
org/scribe/utils/StreamUtils,true,7,306,true,32,true
org/scribe/utils/MapUtils,true,0,283,true,0,true
org/scribe/utils/Preconditions,true,8,534,true,4,true
org/scribe/model/OAuthRequest,true,42,481,true,0,true
org/scribe/model/Parameter,true,27,526,false,NA,false
org/scribe/model/SignatureType,true,0,43,true,0,true
org/scribe/model/ParameterList,true,72,1301,true,2,true
org/scribe/model/Request,true,198,3014,true,0,true
org/scribe/model/Verb,true,0,108,true,0,true
org/scribe/model/RequestTuner,true,0,21,true,0,NA
org/scribe/model/Response,true,64,822,true,0,true
org/scribe/model/OAuthConstants,true,3,207,true,0,NA
org/scribe/model/OAuthConfig,true,30,562,true,1,true
org/scribe/model/Verifier,true,3,93,true,0,NA
org/scribe/model/Token,true,38,779,true,0,true
org/scribe/extractors/AccessTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/HeaderExtractorImpl,true,10,622,true,0,false
org/scribe/extractors/BaseStringExtractor,true,1,9,true,0,NA
org/scribe/extractors/JsonTokenExtractor,true,6,198,true,0,true
org/scribe/extractors/HeaderExtractor,true,1,9,true,0,NA
org/scribe/extractors/RequestTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/TokenExtractorImpl,true,9,374,true,0,true
org/scribe/extractors/BaseStringExtractorImpl,true,10,401,true,0,true
org/scribe/extractors/TokenExtractor20Impl,true,3,249,true,0,true
org/scribe/builder/api/QWeiboApi,true,4,149,true,0,NA
org/scribe/builder/api/FreelancerApi,true,18,297,true,0,NA
org/scribe/builder/api/DiggApi,true,14,157,true,0,NA
org/scribe/builder/api/FacebookApi,true,10,276,true,0,NA
org/scribe/builder/api/NeteaseWeibooApi,true,5,211,true,0,NA
org/scribe/builder/api/LinkedInApi,true,18,516,true,0,NA
org/scribe/builder/api/TrelloApi,true,4,117,true,0,NA
org/scribe/builder/api/GetGlueApi,true,3,149,true,0,NA
org/scribe/builder/api/ConstantContactApi,true,4,117,true,0,NA
org/scribe/builder/api/VimeoApi,true,3,117,true,0,NA
org/scribe/builder/api/MendeleyApi,true,10,167,true,0,NA
org/scribe/builder/api/RenrenApi,true,12,270,true,0,NA
org/scribe/builder/api/SinaWeiboApi20,true,14,295,true,0,NA
org/scribe/builder/api/YahooApi,true,3,117,true,0,NA
org/scribe/builder/api/GoogleApi,true,8,167,true,0,NA
org/scribe/builder/api/KaixinApi,true,10,199,true,0,NA
org/scribe/builder/api/DropBoxApi,true,4,82,true,0,NA
org/scribe/builder/api/SapoApi,true,10,199,true,0,NA
org/scribe/builder/api/LiveApi,true,12,298,true,0,NA
org/scribe/builder/api/XingApi,true,4,117,true,0,NA
org/scribe/builder/api/PlurkApi,true,4,237,true,0,NA
org/scribe/builder/api/UbuntuOneApi,true,5,139,true,0,NA
org/scribe/builder/api/SinaWeiboApi,true,4,149,true,0,NA
org/scribe/builder/api/ImgUrApi,true,4,101,true,0,NA
org/scribe/builder/api/FoursquareApi,true,3,117,true,0,NA
org/scribe/builder/api/MisoApi,true,3,149,true,0,NA
org/scribe/builder/api/Px500Api,true,4,117,true,0,NA
org/scribe/builder/api/TumblrApi,true,3,149,true,0,NA
org/scribe/builder/api/SohuWeiboApi,true,4,149,true,0,NA
org/scribe/builder/api/FlickrApi,true,4,82,true,0,NA
org/scribe/builder/api/VkontakteApi,true,10,315,true,0,NA
org/scribe/builder/api/YammerApi,true,6,139,true,0,NA
org/scribe/builder/api/ViadeoApi,true,10,298,true,0,NA
org/scribe/builder/api/TwitterApi,true,16,253,true,0,NA
org/scribe/builder/api/DefaultApi20,true,5,94,true,0,NA
org/scribe/builder/api/AWeberApi,true,3,149,true,0,NA
org/scribe/builder/api/EvernoteApi,true,28,235,true,3,NA
org/scribe/builder/api/ConstantContactApi2,true,10,383,true,0,NA
org/scribe/builder/api/Foursquare2Api,true,5,171,true,0,NA
org/scribe/builder/api/NetProspexApi,true,3,149,true,0,NA
org/scribe/builder/api/MeetupApi,true,3,117,true,0,NA
org/scribe/builder/api/SimpleGeoApi,true,3,101,true,0,NA
org/scribe/builder/api/LoveFilmApi,true,3,149,true,0,NA
org/scribe/builder/api/DefaultApi10a,true,11,192,true,0,NA
org/scribe/builder/api/KaixinApi20,true,12,270,true,0,NA
org/scribe/builder/api/SkyrockApi,true,22,205,true,0,NA
org/scribe/builder/api/Api,true,2,9,true,0,NA
org/scribe/builder/ServiceBuilder,true,68,1100,true,0,true
org/scribe/exceptions/OAuthSignatureException,true,0,87,true,0,true
org/scribe/exceptions/OAuthConnectionException,true,0,49,true,0,NA
org/scribe/exceptions/OAuthParametersMissingException,true,5,80,true,0,true
org/scribe/exceptions/OAuthException,true,1,76,true,0,true
org/scribe/services/TimestampService,true,0,10,true,0,NA
org/scribe/services/HMACSha1SignatureService,true,10,552,true,0,true
org/scribe/services/TimestampServiceImpl,true,29,338,true,0,true
org/scribe/services/SignatureService,true,0,22,true,0,NA
org/scribe/services/DatatypeConverterEncoder,true,2,77,true,0,NA
org/scribe/services/RSASha1SignatureService,true,6,332,true,0,true
org/scribe/services/Base64Encoder,true,2,169,true,0,true
org/scribe/services/PlaintextSignatureService,true,3,163,true,1,NA
org/scribe/services/CommonsEncoder,true,2,185,true,0,true
org/scribe/oauth/OAuth20ServiceImpl,true,57,547,true,0,NA
org/scribe/oauth/OAuth10aServiceImpl,true,301,2574,false,NA,NA
org/scribe/oauth/OAuthService,true,7,45,true,0,NA
