Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/scribe/exceptions/OAuthConnectionException,true,3,49,true,0,NA
org/scribe/exceptions/OAuthParametersMissingException,true,8,80,true,0,true
org/scribe/exceptions/OAuthException,true,1,76,true,1,true
org/scribe/exceptions/OAuthSignatureException,true,3,87,true,0,true
org/scribe/builder/ServiceBuilder,true,56,1100,true,16,true
org/scribe/builder/api/Foursquare2Api,true,8,171,true,0,NA
org/scribe/builder/api/UbuntuOneApi,true,8,139,true,0,NA
org/scribe/builder/api/ConstantContactApi,true,7,117,true,0,NA
org/scribe/builder/api/TrelloApi,true,7,117,true,0,NA
org/scribe/builder/api/Px500Api,true,7,117,true,0,NA
org/scribe/builder/api/GoogleApi,true,11,167,true,0,NA
org/scribe/builder/api/DropBoxApi,true,4,82,true,0,NA
org/scribe/builder/api/DefaultApi20,true,5,94,true,0,NA
org/scribe/builder/api/LinkedInApi,true,44,516,true,4,NA
org/scribe/builder/api/YahooApi,true,6,117,true,0,NA
org/scribe/builder/api/Api,true,2,9,true,0,NA
org/scribe/builder/api/PlurkApi,true,38,237,true,2,NA
org/scribe/builder/api/TwitterApi,true,44,253,true,2,NA
org/scribe/builder/api/RenrenApi,true,35,270,true,3,NA
org/scribe/builder/api/DefaultApi10a,true,11,192,true,0,NA
org/scribe/builder/api/EvernoteApi,true,34,235,true,4,NA
org/scribe/builder/api/FacebookApi,true,24,276,true,3,NA
org/scribe/builder/api/ConstantContactApi2,true,63,383,false,NA,NA
org/scribe/builder/api/LiveApi,true,26,298,true,3,NA
org/scribe/builder/api/MisoApi,true,12,149,true,0,NA
org/scribe/builder/api/AWeberApi,true,12,149,true,0,NA
org/scribe/builder/api/DiggApi,true,17,157,true,0,NA
org/scribe/builder/api/QWeiboApi,true,13,149,true,0,NA
org/scribe/builder/api/VimeoApi,true,6,117,true,0,NA
org/scribe/builder/api/KaixinApi20,true,35,270,true,3,NA
org/scribe/builder/api/SinaWeiboApi20,true,37,295,true,3,NA
org/scribe/builder/api/MeetupApi,true,6,117,true,0,NA
org/scribe/builder/api/FlickrApi,true,4,82,true,0,NA
org/scribe/builder/api/FreelancerApi,true,64,297,true,2,NA
org/scribe/builder/api/SohuWeiboApi,true,13,149,true,0,NA
org/scribe/builder/api/SapoApi,true,18,199,true,0,NA
org/scribe/builder/api/SimpleGeoApi,true,12,101,true,0,NA
org/scribe/builder/api/GetGlueApi,true,12,149,true,0,NA
org/scribe/builder/api/TumblrApi,true,12,149,true,0,NA
org/scribe/builder/api/MendeleyApi,true,12,167,true,0,NA
org/scribe/builder/api/ImgUrApi,true,4,101,true,0,NA
org/scribe/builder/api/YammerApi,true,9,139,true,0,NA
org/scribe/builder/api/XingApi,true,7,117,true,0,NA
org/scribe/builder/api/LoveFilmApi,true,12,149,true,0,NA
org/scribe/builder/api/VkontakteApi,true,25,315,true,0,NA
org/scribe/builder/api/NetProspexApi,true,12,149,true,0,NA
org/scribe/builder/api/KaixinApi,true,18,199,true,0,NA
org/scribe/builder/api/SinaWeiboApi,true,13,149,true,0,NA
org/scribe/builder/api/NeteaseWeibooApi,true,17,211,true,0,NA
org/scribe/builder/api/ViadeoApi,true,33,298,true,3,NA
org/scribe/builder/api/FoursquareApi,true,6,117,true,0,NA
org/scribe/builder/api/SkyrockApi,true,22,205,true,0,NA
org/scribe/oauth/OAuth10aServiceImpl,true,313,2574,false,NA,NA
org/scribe/oauth/OAuth20ServiceImpl,true,60,547,true,0,NA
org/scribe/oauth/OAuthService,true,7,45,true,0,NA
org/scribe/extractors/HeaderExtractorImpl,true,42,622,true,12,false
org/scribe/extractors/TokenExtractorImpl,true,7,374,true,1,true
org/scribe/extractors/HeaderExtractor,true,1,9,true,0,NA
org/scribe/extractors/TokenExtractor20Impl,true,7,249,true,0,true
org/scribe/extractors/JsonTokenExtractor,true,4,198,true,0,true
org/scribe/extractors/RequestTokenExtractor,true,1,9,true,0,NA
