Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/scribe/utils/OAuthEncoder,true,2,686,true,52,true
org/scribe/utils/StreamUtils,true,2,306,true,0,true
org/scribe/utils/MapUtils,true,3,283,true,0,true
org/scribe/utils/Preconditions,true,28,534,true,14,true
org/scribe/model/OAuthRequest,true,34,481,true,0,true
org/scribe/model/Parameter,true,45,526,true,16,true
org/scribe/model/SignatureType,true,0,43,true,0,true
org/scribe/model/ParameterList,true,75,1301,true,27,true
org/scribe/model/Request,true,216,3014,false,NA,false
org/scribe/model/Verb,true,0,108,true,0,true
org/scribe/model/RequestTuner,true,0,21,true,0,NA
org/scribe/model/Response,true,45,822,false,NA,false
org/scribe/model/OAuthConstants,true,4,207,true,0,NA
org/scribe/model/OAuthConfig,true,32,562,true,8,true
org/scribe/model/Verifier,true,3,93,true,0,NA
org/scribe/model/Token,true,62,779,true,15,true
org/scribe/extractors/AccessTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/HeaderExtractorImpl,true,18,622,true,0,false
org/scribe/extractors/BaseStringExtractor,true,1,9,true,0,NA
org/scribe/extractors/JsonTokenExtractor,true,6,198,true,0,true
org/scribe/extractors/HeaderExtractor,true,1,9,true,0,NA
org/scribe/extractors/RequestTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/TokenExtractorImpl,true,13,374,true,18,true
org/scribe/extractors/BaseStringExtractorImpl,true,11,401,true,0,true
org/scribe/extractors/TokenExtractor20Impl,true,9,249,true,8,true
org/scribe/builder/api/QWeiboApi,true,6,149,true,0,NA
org/scribe/builder/api/FreelancerApi,true,63,297,true,2,NA
org/scribe/builder/api/DiggApi,true,16,157,true,0,NA
org/scribe/builder/api/FacebookApi,true,18,276,true,0,NA
org/scribe/builder/api/NeteaseWeibooApi,true,9,211,true,0,NA
org/scribe/builder/api/LinkedInApi,true,27,516,true,10,NA
org/scribe/builder/api/TrelloApi,true,6,117,true,0,NA
org/scribe/builder/api/GetGlueApi,true,5,149,true,0,NA
org/scribe/builder/api/ConstantContactApi,true,6,117,true,0,NA
org/scribe/builder/api/VimeoApi,true,5,117,true,0,NA
org/scribe/builder/api/MendeleyApi,true,10,167,true,0,NA
org/scribe/builder/api/RenrenApi,true,20,270,true,0,NA
org/scribe/builder/api/SinaWeiboApi20,true,28,295,true,0,NA
org/scribe/builder/api/YahooApi,true,5,117,true,0,NA
org/scribe/builder/api/GoogleApi,true,10,167,true,0,NA
org/scribe/builder/api/KaixinApi,true,10,199,true,0,NA
org/scribe/builder/api/DropBoxApi,true,4,82,true,0,NA
org/scribe/builder/api/SapoApi,true,10,199,true,0,NA
org/scribe/builder/api/LiveApi,true,20,298,true,0,NA
org/scribe/builder/api/XingApi,true,6,117,true,0,NA
org/scribe/builder/api/PlurkApi,true,31,237,true,2,NA
