Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/scribe/utils/OAuthEncoder,true,43,686,true,28,true
org/scribe/utils/StreamUtils,true,10,306,true,40,true
org/scribe/utils/MapUtils,true,37,283,true,14,true
org/scribe/utils/Preconditions,true,5,534,true,0,true
org/scribe/model/OAuthRequest,true,33,481,false,NA,false
org/scribe/model/Parameter,true,20,526,false,NA,false
org/scribe/model/SignatureType,true,13,43,false,NA,false
org/scribe/model/ParameterList,true,124,1301,true,48,true
org/scribe/model/Request,true,122,3014,true,82,true
org/scribe/model/Verb,true,38,108,false,NA,false
org/scribe/model/RequestTuner,true,0,21,true,0,NA
org/scribe/model/Response,true,24,822,true,18,true
org/scribe/model/OAuthConstants,true,3,207,true,0,NA
org/scribe/model/OAuthConfig,true,28,562,true,1,true
org/scribe/model/Verifier,true,0,93,true,0,NA
org/scribe/model/Token,true,37,779,true,0,true
org/scribe/extractors/AccessTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/HeaderExtractorImpl,true,45,622,true,12,false
org/scribe/extractors/BaseStringExtractor,true,1,9,true,0,NA
org/scribe/extractors/JsonTokenExtractor,true,14,198,true,0,true
org/scribe/extractors/HeaderExtractor,true,1,9,true,0,NA
org/scribe/extractors/RequestTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/TokenExtractorImpl,true,20,374,true,0,true
org/scribe/extractors/BaseStringExtractorImpl,true,14,401,true,0,true
org/scribe/extractors/TokenExtractor20Impl,true,27,249,true,0,true
org/scribe/builder/api/QWeiboApi,true,15,149,true,0,NA
org/scribe/builder/api/FreelancerApi,true,51,297,true,0,NA
org/scribe/builder/api/DiggApi,true,19,157,true,0,NA
org/scribe/builder/api/FacebookApi,true,24,276,true,0,NA
org/scribe/builder/api/NeteaseWeibooApi,true,21,211,true,0,NA
org/scribe/builder/api/LinkedInApi,true,51,516,false,NA,NA
org/scribe/builder/api/TrelloApi,true,9,117,true,0,NA
org/scribe/builder/api/GetGlueApi,true,14,149,true,0,NA
org/scribe/builder/api/ConstantContactApi,true,9,117,true,0,NA
org/scribe/builder/api/VimeoApi,true,8,117,true,0,NA
org/scribe/builder/api/MendeleyApi,true,15,167,true,0,NA
org/scribe/builder/api/RenrenApi,true,31,270,true,0,NA
org/scribe/builder/api/SinaWeiboApi20,true,33,295,true,0,NA
org/scribe/builder/api/YahooApi,true,8,117,true,0,NA
org/scribe/builder/api/GoogleApi,true,13,167,true,0,NA
org/scribe/builder/api/KaixinApi,true,20,199,true,0,NA
org/scribe/builder/api/DropBoxApi,true,11,82,true,0,NA
org/scribe/builder/api/SapoApi,true,20,199,true,0,NA
org/scribe/builder/api/LiveApi,true,26,298,true,0,NA
org/scribe/builder/api/XingApi,true,9,117,true,0,NA
org/scribe/builder/api/PlurkApi,true,39,237,true,0,NA
