Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/scribe/utils/OAuthEncoder,true,13,686,true,0,true
org/scribe/utils/StreamUtils,true,3,306,true,0,true
org/scribe/utils/MapUtils,true,3,283,true,0,true
org/scribe/utils/Preconditions,true,24,534,true,0,true
org/scribe/model/OAuthRequest,true,48,481,true,0,true
org/scribe/model/Parameter,true,36,526,true,0,true
org/scribe/model/SignatureType,true,19,43,true,14,true
org/scribe/model/ParameterList,true,149,1301,true,20,true
org/scribe/model/Request,true,333,3014,true,3,true
org/scribe/model/Verb,true,39,108,true,34,true
org/scribe/model/RequestTuner,true,1,21,true,0,NA
org/scribe/model/Response,true,74,822,true,5,true
org/scribe/model/OAuthConstants,true,10,207,true,0,NA
org/scribe/model/OAuthConfig,true,41,562,true,1,true
org/scribe/model/Verifier,true,4,93,true,0,NA
org/scribe/model/Token,true,44,779,true,0,true
org/scribe/extractors/AccessTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/HeaderExtractorImpl,true,25,622,true,0,false
org/scribe/extractors/BaseStringExtractor,true,1,9,true,0,NA
org/scribe/extractors/JsonTokenExtractor,true,15,198,true,0,true
org/scribe/extractors/HeaderExtractor,true,1,9,true,0,NA
org/scribe/extractors/RequestTokenExtractor,true,1,9,true,0,NA
org/scribe/extractors/TokenExtractorImpl,true,27,374,true,0,true
org/scribe/extractors/BaseStringExtractorImpl,true,16,401,true,0,true
org/scribe/extractors/TokenExtractor20Impl,true,11,249,true,0,true
org/scribe/builder/api/QWeiboApi,true,10,149,true,0,NA
org/scribe/builder/api/FreelancerApi,true,10,297,true,0,NA
org/scribe/builder/api/DiggApi,true,14,157,true,0,NA
org/scribe/builder/api/FacebookApi,true,14,276,true,0,NA
org/scribe/builder/api/NeteaseWeibooApi,true,14,211,true,0,NA
org/scribe/builder/api/LinkedInApi,true,28,516,true,0,NA
org/scribe/builder/api/TrelloApi,true,4,117,true,0,NA
org/scribe/builder/api/GetGlueApi,true,11,149,true,0,NA
org/scribe/builder/api/ConstantContactApi,true,4,117,true,0,NA
org/scribe/builder/api/VimeoApi,true,5,117,true,0,NA
org/scribe/builder/api/MendeleyApi,true,4,167,true,0,NA
org/scribe/builder/api/RenrenApi,true,14,270,true,0,NA
org/scribe/builder/api/SinaWeiboApi20,true,14,295,true,0,NA
org/scribe/builder/api/YahooApi,true,5,117,true,0,NA
org/scribe/builder/api/GoogleApi,true,4,167,true,0,NA
org/scribe/builder/api/KaixinApi,true,10,199,true,0,NA
org/scribe/builder/api/DropBoxApi,true,1,82,true,0,NA
org/scribe/builder/api/SapoApi,true,10,199,true,0,NA
org/scribe/builder/api/LiveApi,true,14,298,true,0,NA
org/scribe/builder/api/XingApi,true,4,117,true,0,NA
org/scribe/builder/api/PlurkApi,true,16,237,true,0,NA
org/scribe/builder/api/UbuntuOneApi,true,5,139,true,0,NA
org/scribe/builder/api/SinaWeiboApi,true,10,149,true,0,NA
org/scribe/builder/api/ImgUrApi,true,1,101,true,0,NA
org/scribe/builder/api/FoursquareApi,true,5,117,true,0,NA
org/scribe/builder/api/MisoApi,true,11,149,true,0,NA
org/scribe/builder/api/Px500Api,true,4,117,true,0,NA
org/scribe/builder/api/TumblrApi,true,11,149,true,0,NA
org/scribe/builder/api/SohuWeiboApi,true,10,149,true,0,NA
org/scribe/builder/api/FlickrApi,true,1,82,true,0,NA
org/scribe/builder/api/VkontakteApi,true,23,315,true,0,NA
org/scribe/builder/api/YammerApi,true,4,139,true,0,NA
org/scribe/builder/api/ViadeoApi,true,16,298,true,0,NA
org/scribe/builder/api/TwitterApi,true,20,253,true,0,NA
org/scribe/builder/api/DefaultApi20,true,2,94,true,0,NA
org/scribe/builder/api/AWeberApi,true,11,149,true,0,NA
org/scribe/builder/api/EvernoteApi,true,23,235,true,3,NA
org/scribe/builder/api/ConstantContactApi2,true,10,383,true,0,NA
org/scribe/builder/api/Foursquare2Api,true,4,171,true,0,NA
org/scribe/builder/api/NetProspexApi,true,11,149,true,0,NA
org/scribe/builder/api/MeetupApi,true,5,117,true,0,NA
org/scribe/builder/api/SimpleGeoApi,true,11,101,true,0,NA
org/scribe/builder/api/LoveFilmApi,true,11,149,true,0,NA
org/scribe/builder/api/DefaultApi10a,true,2,192,true,0,NA
org/scribe/builder/api/KaixinApi20,true,14,270,true,0,NA
org/scribe/builder/api/SkyrockApi,true,19,205,true,0,NA
org/scribe/builder/api/Api,true,1,9,true,0,NA
org/scribe/builder/ServiceBuilder,true,45,1100,true,0,true
org/scribe/exceptions/OAuthSignatureException,true,5,87,true,0,true
org/scribe/exceptions/OAuthConnectionException,true,4,49,true,0,NA
org/scribe/exceptions/OAuthParametersMissingException,true,8,80,true,0,true
org/scribe/exceptions/OAuthException,true,4,76,true,0,true
org/scribe/services/TimestampService,true,0,10,true,0,NA
org/scribe/services/HMACSha1SignatureService,true,42,552,true,1,true
org/scribe/services/TimestampServiceImpl,true,28,338,true,0,true
org/scribe/services/SignatureService,true,3,22,true,0,NA
org/scribe/services/DatatypeConverterEncoder,true,1,77,true,0,NA
org/scribe/services/RSASha1SignatureService,true,21,332,true,0,true
org/scribe/services/Base64Encoder,true,3,169,true,0,true
org/scribe/services/PlaintextSignatureService,true,10,163,true,1,NA
org/scribe/services/CommonsEncoder,true,1,185,true,0,true
org/scribe/oauth/OAuth20ServiceImpl,true,57,547,true,0,NA
org/scribe/oauth/OAuth10aServiceImpl,true,240,2574,true,14,NA
org/scribe/oauth/OAuthService,true,5,45,true,0,NA
