Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/utils/MimeParse,true,149,2962,true,50,true
spark/utils/SparkUtils,true,3,213,true,8,true
spark/utils/IOUtils,true,8,558,true,0,true
spark/route/HttpMethod,true,0,160,true,0,true
spark/route/RouteMatcher,true,0,75,true,0,NA
spark/route/RouteMatch,true,17,290,true,0,true
spark/route/RouteMatcherFactory,true,0,140,true,0,true
spark/route/SimpleRouteMatcher,true,141,3431,true,48,true
spark/Spark,true,28,1672,true,0,true
spark/QueryParamsMap,true,108,2053,true,14,true
spark/ResponseTransformerRoute,true,1,70,true,0,NA
spark/ModelAndView,true,8,124,true,0,true
spark/Access,true,0,50,true,0,true
spark/Session,true,41,582,true,1,NA
spark/Request,true,230,3268,true,42,true
spark/webserver/JettyHandler,true,6,229,true,0,true
spark/webserver/MatcherFilter,true,113,2035,true,404,true
spark/webserver/RequestWrapper,true,139,1425,true,0,true
spark/webserver/SparkServer,true,0,42,true,0,NA
spark/webserver/ResponseWrapper,true,62,861,true,0,true
spark/webserver/SparkServerImpl,true,57,1605,false,NA,false
spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/webserver/SparkServerFactory,true,0,104,true,0,true
spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/servlet/FilterTools,true,24,657,true,2,true
spark/servlet/SparkFilter,true,20,561,true,0,true
spark/AbstractRoute,true,0,120,true,0,true
spark/JettyLogger,true,50,918,true,0,NA
spark/RequestResponseFactory,true,0,69,true,0,true
spark/TemplateViewRoute,true,3,162,true,0,true
spark/Response,true,52,1135,true,0,true
spark/HaltException,true,10,239,true,0,true
spark/Route,true,5,229,true,0,true
spark/Filter,true,5,203,true,0,true
