Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/utils/MimeParse,true,628,2962,false,NA,false
spark/utils/SparkUtils,true,40,213,true,24,true
spark/utils/IOUtils,true,88,558,false,NA,false
spark/route/HttpMethod,true,NA,160,false,NA,false
spark/route/RouteMatcher,true,4,75,false,NA,NA
spark/route/RouteMatch,true,16,290,true,0,true
spark/route/RouteMatcherFactory,true,12,140,false,NA,false
spark/route/SimpleRouteMatcher,false,NA,NA,false,NA,false
spark/Spark,true,380,1672,false,NA,false
spark/QueryParamsMap,true,547,2053,false,NA,false
spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/ModelAndView,true,7,124,true,0,true
spark/Access,true,0,50,true,0,true
spark/Session,true,39,582,true,30,NA
spark/Request,true,510,3268,false,NA,false
spark/webserver/JettyHandler,true,13,229,false,NA,false
spark/webserver/MatcherFilter,false,NA,NA,false,NA,false
spark/webserver/RequestWrapper,true,85,1425,true,8,true
spark/webserver/SparkServer,true,1,42,true,0,NA
spark/webserver/ResponseWrapper,true,31,861,true,0,true
spark/webserver/SparkServerImpl,true,218,1605,false,NA,false
spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/webserver/SparkServerFactory,true,20,104,true,8,true
spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/servlet/FilterTools,true,155,657,true,106,true
spark/servlet/SparkFilter,true,112,561,false,NA,false
spark/AbstractRoute,true,0,120,true,0,true
spark/JettyLogger,true,193,918,false,NA,NA
spark/RequestResponseFactory,true,1,69,false,NA,false
spark/TemplateViewRoute,true,13,162,true,0,true
spark/Response,true,83,1135,false,NA,false
spark/HaltException,true,48,239,true,0,true
spark/Route,true,16,229,true,8,true
spark/Filter,true,15,203,true,0,true
