Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/Access,true,0,50,true,0,true
spark/Response,true,57,1135,true,0,true
spark/Route,true,17,229,true,3,true
spark/HaltException,true,10,239,true,0,true
spark/TemplateViewRoute,true,4,162,true,0,true
spark/QueryParamsMap,true,213,2053,false,NA,false
spark/RequestResponseFactory,true,0,69,true,0,true
spark/Filter,true,8,203,true,0,true
spark/JettyLogger,true,152,918,true,6,NA
spark/Request,true,263,3268,true,26,false
spark/Spark,true,106,1672,false,NA,false
spark/ModelAndView,true,8,124,true,0,true
spark/servlet/SparkFilter,true,38,561,false,NA,false
spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/servlet/FilterTools,true,63,657,true,30,true
spark/webserver/ResponseWrapper,true,75,861,true,0,true
spark/webserver/JettyHandler,true,6,229,true,1,true
spark/webserver/SparkServerImpl,true,48,1605,true,5,true
spark/webserver/SparkServer,true,0,42,true,0,NA
spark/webserver/SparkServerFactory,true,0,104,true,1,true
spark/webserver/MatcherFilter,true,101,2035,true,86,true
spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/webserver/RequestWrapper,true,134,1425,true,8,true
spark/Session,true,46,582,true,4,NA
spark/utils/SparkUtils,true,30,213,true,4,true
spark/utils/IOUtils,true,41,558,true,7,true
spark/utils/MimeParse,true,324,2962,false,NA,false
spark/AbstractRoute,true,0,120,true,0,true
spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/route/SimpleRouteMatcher,true,521,3431,false,NA,false
spark/route/RouteMatch,true,17,290,true,0,true
spark/route/HttpMethod,true,0,160,true,0,true
spark/route/RouteMatcher,true,0,75,true,2,NA
spark/route/RouteMatcherFactory,true,0,140,true,0,true
