Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/utils/MimeParse,true,359,2962,false,NA,false
spark/utils/SparkUtils,true,35,213,true,24,true
spark/utils/IOUtils,true,14,558,true,4,true
spark/route/HttpMethod,true,0,160,true,0,true
spark/route/RouteMatcher,true,1,75,true,0,NA
spark/route/RouteMatch,true,6,290,true,0,true
spark/route/RouteMatcherFactory,true,3,140,true,4,true
spark/route/SimpleRouteMatcher,true,461,3431,false,NA,false
spark/Spark,true,64,1672,false,NA,false
spark/QueryParamsMap,true,72,2053,false,NA,false
spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/ModelAndView,true,2,124,true,0,true
spark/Access,true,5,50,true,5,true
spark/Session,true,2,582,true,0,NA
spark/Request,true,76,3268,true,40,true
spark/webserver/JettyHandler,true,3,229,true,0,true
spark/webserver/MatcherFilter,true,29,2035,true,76,true
spark/webserver/RequestWrapper,true,83,1425,true,0,true
spark/webserver/SparkServer,true,1,42,true,0,NA
spark/webserver/ResponseWrapper,true,26,861,true,0,true
spark/webserver/SparkServerImpl,true,20,1605,false,NA,false
spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/webserver/SparkServerFactory,true,3,104,true,4,true
spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/servlet/FilterTools,true,48,657,true,0,true
spark/servlet/SparkFilter,true,25,561,false,NA,false
spark/AbstractRoute,true,0,120,true,0,true
spark/JettyLogger,true,119,918,true,54,NA
spark/RequestResponseFactory,true,3,69,true,4,true
spark/TemplateViewRoute,true,1,162,true,0,true
spark/Response,true,14,1135,true,0,true
spark/HaltException,true,4,239,true,0,true
spark/Route,true,7,229,true,0,true
spark/Filter,true,7,203,true,0,true
