Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/utils/MimeParse,true,219,2962,false,NA,false
spark/utils/SparkUtils,true,30,213,true,2,true
spark/utils/IOUtils,true,11,558,true,0,true
spark/route/HttpMethod,true,58,160,false,NA,false
spark/route/RouteMatcher,true,0,75,true,2,NA
spark/route/RouteMatch,true,6,290,true,0,true
spark/route/RouteMatcherFactory,true,46,140,false,NA,false
spark/route/SimpleRouteMatcher,true,740,3431,false,NA,false
spark/Spark,true,36,1672,true,0,true
spark/QueryParamsMap,true,133,2053,false,NA,false
spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/ModelAndView,true,2,124,true,0,true
spark/Access,true,0,50,true,0,true
spark/Session,true,5,582,true,4,NA
spark/Request,true,741,3268,false,NA,false
spark/webserver/JettyHandler,true,67,229,false,NA,false
spark/webserver/MatcherFilter,true,525,2035,false,NA,false
spark/webserver/RequestWrapper,true,83,1425,true,8,true
spark/webserver/SparkServer,true,0,42,true,0,NA
spark/webserver/ResponseWrapper,true,26,861,true,0,true
spark/webserver/SparkServerImpl,true,370,1605,false,NA,false
spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/webserver/SparkServerFactory,true,34,104,false,NA,false
spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/servlet/FilterTools,true,70,657,true,0,true
spark/servlet/SparkFilter,true,152,561,true,NA,false
spark/AbstractRoute,true,0,120,true,0,true
spark/JettyLogger,true,235,918,true,NA,NA
spark/RequestResponseFactory,true,0,69,true,0,true
spark/TemplateViewRoute,true,1,162,true,0,true
spark/Response,true,297,1135,false,NA,false
spark/HaltException,true,4,239,true,0,true
spark/Route,true,7,229,true,0,true
spark/Filter,true,7,203,true,0,true
