Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/eclipse/org/bukkit/Statistic,true,10,822,true,0,true
Bukkit/eclipse/org/bukkit/Rotation,true,9,205,true,0,NA
Bukkit/eclipse/org/bukkit/Chunk,true,0,116,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/ProjectileSource,true,0,42,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
Bukkit/eclipse/org/bukkit/Location,true,236,4496,true,6,true
Bukkit/eclipse/org/bukkit/material/NetherWarts,true,122,496,false,NA,false
Bukkit/eclipse/org/bukkit/material/LongGrass,true,18,331,true,0,true
Bukkit/eclipse/org/bukkit/material/SpawnEgg,true,12,269,true,0,true
Bukkit/eclipse/org/bukkit/material/EnderChest,true,9,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Step,true,33,825,true,1,true
Bukkit/eclipse/org/bukkit/material/Dye,true,20,299,true,0,true
Bukkit/eclipse/org/bukkit/material/Openable,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/FurnaceAndDispenser,true,6,161,true,0,true
Bukkit/eclipse/org/bukkit/material/Cauldron,true,38,282,true,1,true
Bukkit/eclipse/org/bukkit/material/Tree,true,314,746,false,NA,false
Bukkit/eclipse/org/bukkit/material/Diode,true,296,715,false,NA,false
Bukkit/eclipse/org/bukkit/material/Tripwire,true,33,429,true,1,true
Bukkit/eclipse/org/bukkit/material/Pumpkin,true,292,577,false,NA,false
Bukkit/eclipse/org/bukkit/material/RedstoneWire,true,16,278,true,1,true
Bukkit/eclipse/org/bukkit/material/PistonExtensionMaterial,true,333,627,false,NA,false
Bukkit/eclipse/org/bukkit/material/Coal,true,18,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Rails,true,327,1022,false,NA,false
Bukkit/eclipse/org/bukkit/material/MonsterEggs,true,9,417,true,0,true
Bukkit/eclipse/org/bukkit/material/Colorable,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/TexturedMaterial,true,34,535,true,0,true
Bukkit/eclipse/org/bukkit/material/Redstone,true,0,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/TrapDoor,true,342,753,false,NA,false
Bukkit/eclipse/org/bukkit/material/ExtendedRails,true,30,462,true,4,true
Bukkit/eclipse/org/bukkit/material/Gate,true,368,710,false,NA,false
Bukkit/eclipse/org/bukkit/material/Button,true,320,619,false,NA,false
Bukkit/eclipse/org/bukkit/material/Lever,true,392,877,false,NA,false
Bukkit/eclipse/org/bukkit/material/Chest,true,9,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Attachable,true,0,8,true,0,NA
Bukkit/eclipse/org/bukkit/material/Mushroom,true,457,1481,false,NA,false
Bukkit/eclipse/org/bukkit/material/Ladder,true,272,416,false,NA,false
Bukkit/eclipse/org/bukkit/material/Dispenser,true,289,531,false,NA,false
Bukkit/eclipse/org/bukkit/material/WoodenStep,true,41,550,true,1,true
Bukkit/eclipse/org/bukkit/material/DetectorRail,true,19,283,true,0,true
Bukkit/eclipse/org/bukkit/material/CocoaPlant,true,387,911,false,NA,false
Bukkit/eclipse/org/bukkit/material/Wool,true,20,334,true,0,true
Bukkit/eclipse/org/bukkit/material/Sandstone,true,18,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Stairs,true,306,668,false,NA,false
Bukkit/eclipse/org/bukkit/material/FlowerPot,true,68,1119,true,33,true
Bukkit/eclipse/org/bukkit/material/PressureSensor,true,0,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/Bed,true,312,686,false,NA,false
Bukkit/eclipse/org/bukkit/material/Cake,true,21,428,true,1,true
Bukkit/eclipse/org/bukkit/material/SimpleAttachableMaterialData,true,16,365,true,1,true
Bukkit/eclipse/org/bukkit/material/DirectionalContainer,true,282,449,false,NA,false
Bukkit/eclipse/org/bukkit/material/PressurePlate,true,10,262,true,1,true
