Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/javac/org/bukkit/Statistic,true,NA,822,false,NA,false
Bukkit/javac/org/bukkit/Rotation,true,NA,205,false,NA,NA
Bukkit/javac/org/bukkit/Chunk,true,1,116,true,0,NA
Bukkit/javac/org/bukkit/projectiles/ProjectileSource,true,7,42,true,4,NA
Bukkit/javac/org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
Bukkit/javac/org/bukkit/Location,true,905,4496,false,NA,false
Bukkit/javac/org/bukkit/material/NetherWarts,true,96,496,false,NA,false
Bukkit/javac/org/bukkit/material/LongGrass,true,74,331,false,NA,false
Bukkit/javac/org/bukkit/material/SpawnEgg,true,49,269,false,NA,false
Bukkit/javac/org/bukkit/material/EnderChest,true,19,211,false,NA,false
Bukkit/javac/org/bukkit/material/Step,true,238,825,false,NA,false
Bukkit/javac/org/bukkit/material/Dye,true,72,299,false,NA,false
Bukkit/javac/org/bukkit/material/Openable,true,1,14,true,0,NA
Bukkit/javac/org/bukkit/material/FurnaceAndDispenser,true,16,161,false,NA,false
Bukkit/javac/org/bukkit/material/Cauldron,true,149,282,false,NA,false
Bukkit/javac/org/bukkit/material/Tree,true,150,746,false,NA,false
Bukkit/javac/org/bukkit/material/Diode,true,165,715,false,NA,false
Bukkit/javac/org/bukkit/material/Tripwire,true,204,429,false,NA,false
Bukkit/javac/org/bukkit/material/Pumpkin,true,173,577,false,NA,false
Bukkit/javac/org/bukkit/material/RedstoneWire,true,105,278,false,NA,false
Bukkit/javac/org/bukkit/material/PistonExtensionMaterial,true,168,627,false,NA,false
Bukkit/javac/org/bukkit/material/Coal,true,74,331,false,NA,false
Bukkit/javac/org/bukkit/material/Rails,true,317,1022,false,NA,false
Bukkit/javac/org/bukkit/material/MonsterEggs,true,120,417,false,NA,false
Bukkit/javac/org/bukkit/material/Colorable,true,2,14,true,0,NA
Bukkit/javac/org/bukkit/material/TexturedMaterial,true,127,535,false,NA,false
Bukkit/javac/org/bukkit/material/Redstone,true,1,5,true,0,NA
Bukkit/javac/org/bukkit/material/TrapDoor,true,308,753,false,NA,false
Bukkit/javac/org/bukkit/material/ExtendedRails,true,83,462,false,NA,false
Bukkit/javac/org/bukkit/material/Gate,true,213,710,false,NA,false
Bukkit/javac/org/bukkit/material/Button,true,224,619,false,NA,false
Bukkit/javac/org/bukkit/material/Lever,true,350,877,false,NA,false
Bukkit/javac/org/bukkit/material/Chest,true,19,211,false,NA,false
Bukkit/javac/org/bukkit/material/Attachable,true,1,8,true,0,NA
Bukkit/javac/org/bukkit/material/Mushroom,true,446,1481,false,NA,false
