Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/javac/org/bukkit/Statistic,true,41,822,false,NA,false
Bukkit/javac/org/bukkit/Rotation,true,0,205,true,0,NA
Bukkit/javac/org/bukkit/Chunk,true,0,116,true,0,NA
Bukkit/javac/org/bukkit/projectiles/ProjectileSource,true,6,42,true,4,NA
Bukkit/javac/org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
Bukkit/javac/org/bukkit/Location,true,348,4496,false,NA,false
Bukkit/javac/org/bukkit/material/NetherWarts,true,43,496,false,NA,false
Bukkit/javac/org/bukkit/material/LongGrass,true,20,331,true,0,true
Bukkit/javac/org/bukkit/material/SpawnEgg,true,14,269,true,0,true
Bukkit/javac/org/bukkit/material/EnderChest,true,10,211,true,0,true
Bukkit/javac/org/bukkit/material/Step,true,42,825,true,4,true
Bukkit/javac/org/bukkit/material/Dye,true,20,299,true,0,true
Bukkit/javac/org/bukkit/material/Openable,true,0,14,true,0,NA
Bukkit/javac/org/bukkit/material/FurnaceAndDispenser,true,7,161,true,0,true
Bukkit/javac/org/bukkit/material/Cauldron,true,23,282,true,0,true
Bukkit/javac/org/bukkit/material/Tree,true,63,746,false,NA,false
Bukkit/javac/org/bukkit/material/Diode,true,45,715,false,NA,false
Bukkit/javac/org/bukkit/material/Tripwire,true,32,429,true,0,true
Bukkit/javac/org/bukkit/material/Pumpkin,true,39,577,false,NA,false
Bukkit/javac/org/bukkit/material/RedstoneWire,true,14,278,true,0,true
Bukkit/javac/org/bukkit/material/PistonExtensionMaterial,true,87,627,false,NA,false
Bukkit/javac/org/bukkit/material/Coal,true,20,331,true,0,true
Bukkit/javac/org/bukkit/material/Rails,true,78,1022,false,NA,false
Bukkit/javac/org/bukkit/material/MonsterEggs,true,16,417,true,4,true
Bukkit/javac/org/bukkit/material/Colorable,true,0,14,true,0,NA
Bukkit/javac/org/bukkit/material/TexturedMaterial,true,36,535,true,2,true
Bukkit/javac/org/bukkit/material/Redstone,true,0,5,true,0,NA
Bukkit/javac/org/bukkit/material/TrapDoor,true,90,753,false,NA,false
Bukkit/javac/org/bukkit/material/ExtendedRails,true,44,462,true,0,true
Bukkit/javac/org/bukkit/material/Gate,true,112,710,false,NA,false
Bukkit/javac/org/bukkit/material/Button,true,80,619,false,NA,false
Bukkit/javac/org/bukkit/material/Lever,true,150,877,false,NA,false
Bukkit/javac/org/bukkit/material/Chest,true,10,211,true,0,true
Bukkit/javac/org/bukkit/material/Attachable,true,0,8,true,0,NA
Bukkit/javac/org/bukkit/material/Mushroom,true,205,1481,false,NA,false
Bukkit/javac/org/bukkit/material/Ladder,true,29,416,false,NA,false
Bukkit/javac/org/bukkit/material/Dispenser,true,33,531,false,NA,false
Bukkit/javac/org/bukkit/material/WoodenStep,true,40,550,true,0,true
Bukkit/javac/org/bukkit/material/DetectorRail,true,19,283,true,0,true
Bukkit/javac/org/bukkit/material/CocoaPlant,true,108,911,false,NA,false
Bukkit/javac/org/bukkit/material/Wool,true,20,334,true,0,true
Bukkit/javac/org/bukkit/material/Sandstone,true,20,331,true,0,true
Bukkit/javac/org/bukkit/material/Stairs,true,52,668,false,NA,false
Bukkit/javac/org/bukkit/material/FlowerPot,true,47,1119,true,0,true
Bukkit/javac/org/bukkit/material/PressureSensor,true,0,5,true,0,NA
Bukkit/javac/org/bukkit/material/Bed,true,59,686,false,NA,false
Bukkit/javac/org/bukkit/material/Cake,true,20,428,true,0,true
Bukkit/javac/org/bukkit/material/SimpleAttachableMaterialData,true,14,365,true,0,true
Bukkit/javac/org/bukkit/material/DirectionalContainer,true,30,449,false,NA,false
Bukkit/javac/org/bukkit/material/PressurePlate,true,8,262,true,0,true
Bukkit/javac/org/bukkit/material/PoweredRail,true,19,283,true,0,true
Bukkit/javac/org/bukkit/material/Torch,true,28,448,false,NA,false
Bukkit/javac/org/bukkit/material/Command,true,23,358,true,0,true
Bukkit/javac/org/bukkit/material/PistonBaseMaterial,true,84,632,false,NA,false
Bukkit/javac/org/bukkit/material/TripwireHook,true,72,757,false,NA,false
Bukkit/javac/org/bukkit/material/Crops,true,20,331,true,0,true
Bukkit/javac/org/bukkit/material/Skull,true,36,546,false,NA,false
Bukkit/javac/org/bukkit/material/SmoothBrick,true,16,445,true,4,true
Bukkit/javac/org/bukkit/material/Sign,true,107,1279,false,NA,false
Bukkit/javac/org/bukkit/material/Directional,true,0,14,true,0,NA
Bukkit/javac/org/bukkit/material/RedstoneTorch,true,14,286,true,0,true
Bukkit/javac/org/bukkit/material/MaterialData,true,58,785,true,0,true
Bukkit/javac/org/bukkit/material/Furnace,true,10,211,true,0,true
Bukkit/javac/org/bukkit/material/Leaves,true,20,343,true,0,NA
Bukkit/javac/org/bukkit/material/Door,true,97,892,false,NA,false
Bukkit/javac/org/bukkit/material/Vine,true,328,2034,false,NA,false
Bukkit/javac/org/bukkit/BlockChangeDelegate,true,0,166,true,0,NA
Bukkit/javac/org/bukkit/conversations/FixedSetPrompt,true,8,211,true,2,true
Bukkit/javac/org/bukkit/conversations/ConversationAbandonedEvent,true,9,194,true,1,true
Bukkit/javac/org/bukkit/conversations/StringPrompt,true,0,29,true,0,true
Bukkit/javac/org/bukkit/conversations/PlayerNamePrompt,true,12,202,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationContext,true,12,291,true,4,true
Bukkit/javac/org/bukkit/conversations/ExactMatchConversationCanceller,true,6,138,true,0,true
Bukkit/javac/org/bukkit/conversations/MessagePrompt,true,7,76,true,0,true
Bukkit/javac/org/bukkit/conversations/Prompt,true,0,42,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationCanceller,true,0,30,true,0,NA
Bukkit/javac/org/bukkit/conversations/NullConversationPrefix,true,0,29,true,0,true
Bukkit/javac/org/bukkit/conversations/PluginNameConversationPrefix,true,6,244,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationPrefix,true,0,9,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationAbandonedListener,true,0,12,true,0,NA
Bukkit/javac/org/bukkit/conversations/BooleanPrompt,true,9,194,true,0,true
Bukkit/javac/org/bukkit/conversations/Conversation,true,218,1918,false,NA,false
Bukkit/javac/org/bukkit/conversations/NumericPrompt,true,38,396,true,3,true
Bukkit/javac/org/bukkit/conversations/ConversationFactory,true,167,1327,false,NA,false
Bukkit/javac/org/bukkit/conversations/ManuallyAbandonedConversationCanceller,true,0,72,true,0,NA
Bukkit/javac/org/bukkit/conversations/Conversable,true,0,54,true,0,NA
Bukkit/javac/org/bukkit/conversations/RegexPrompt,true,5,158,true,0,true
Bukkit/javac/org/bukkit/conversations/InactivityConversationCanceller,true,89,710,false,NA,NA
Bukkit/javac/org/bukkit/conversations/ValidatingPrompt,true,13,249,true,0,true
Bukkit/javac/org/bukkit/Achievement,true,9,1053,true,0,true
Bukkit/javac/org/bukkit/World,true,121,1680,false,NA,NA
Bukkit/javac/org/bukkit/EntityEffect,true,33,496,true,2,true
Bukkit/javac/org/bukkit/Effect,true,55,1326,false,NA,false
Bukkit/javac/org/bukkit/Server,true,1,783,false,NA,NA
Bukkit/javac/org/bukkit/event/world/WorldUnloadEvent,true,2,143,true,0,NA
Bukkit/javac/org/bukkit/event/world/ChunkEvent,true,4,79,true,0,NA
Bukkit/javac/org/bukkit/event/world/PortalCreateEvent,true,39,385,false,NA,NA
Bukkit/javac/org/bukkit/event/world/WorldInitEvent,true,2,79,true,0,NA
Bukkit/javac/org/bukkit/event/world/WorldEvent,true,4,68,true,0,NA
Bukkit/javac/org/bukkit/event/world/WorldSaveEvent,true,2,79,true,0,NA
Bukkit/javac/org/bukkit/event/world/SpawnChangeEvent,true,14,133,true,0,NA
Bukkit/javac/org/bukkit/event/world/ChunkPopulateEvent,true,2,79,true,0,NA
Bukkit/javac/org/bukkit/event/world/StructureGrowEvent,true,34,438,true,6,NA
Bukkit/javac/org/bukkit/event/world/WorldLoadEvent,true,2,79,true,0,NA
Bukkit/javac/org/bukkit/event/world/ChunkUnloadEvent,true,14,146,true,0,NA
Bukkit/javac/org/bukkit/event/world/ChunkLoadEvent,true,14,135,true,0,NA
Bukkit/javac/org/bukkit/event/weather/LightningStrikeEvent,true,20,197,true,0,NA
Bukkit/javac/org/bukkit/event/weather/WeatherChangeEvent,true,20,199,true,0,NA
