Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/javac/org/bukkit/Statistic,true,51,822,false,NA,false
Bukkit/javac/org/bukkit/Rotation,true,15,205,false,NA,NA
Bukkit/javac/org/bukkit/Chunk,true,5,116,true,8,NA
Bukkit/javac/org/bukkit/projectiles/ProjectileSource,true,0,42,true,0,NA
Bukkit/javac/org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
Bukkit/javac/org/bukkit/Location,true,396,4496,true,160,true
Bukkit/javac/org/bukkit/material/NetherWarts,true,23,496,false,NA,false
Bukkit/javac/org/bukkit/material/LongGrass,true,8,331,true,0,true
Bukkit/javac/org/bukkit/material/SpawnEgg,true,2,269,true,0,true
Bukkit/javac/org/bukkit/material/EnderChest,true,7,211,true,0,true
Bukkit/javac/org/bukkit/material/Step,true,29,825,false,NA,false
Bukkit/javac/org/bukkit/material/Dye,true,8,299,true,0,true
Bukkit/javac/org/bukkit/material/Openable,true,0,14,true,0,NA
Bukkit/javac/org/bukkit/material/FurnaceAndDispenser,true,7,161,true,0,true
Bukkit/javac/org/bukkit/material/Cauldron,true,24,282,true,8,true
Bukkit/javac/org/bukkit/material/Tree,true,34,746,false,NA,false
Bukkit/javac/org/bukkit/material/Diode,true,32,715,false,NA,false
Bukkit/javac/org/bukkit/material/Tripwire,true,8,429,true,0,true
Bukkit/javac/org/bukkit/material/Pumpkin,true,29,577,false,NA,false
Bukkit/javac/org/bukkit/material/RedstoneWire,true,8,278,true,0,true
Bukkit/javac/org/bukkit/material/PistonExtensionMaterial,true,74,627,false,NA,false
Bukkit/javac/org/bukkit/material/Coal,true,8,331,true,0,true
Bukkit/javac/org/bukkit/material/Rails,true,128,1022,false,NA,false
Bukkit/javac/org/bukkit/material/MonsterEggs,true,24,417,false,NA,false
Bukkit/javac/org/bukkit/material/Colorable,true,0,14,true,0,NA
Bukkit/javac/org/bukkit/material/TexturedMaterial,true,9,535,false,NA,false
Bukkit/javac/org/bukkit/material/Redstone,true,0,5,true,0,NA
