Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/eclipse/org/bukkit/Statistic,true,53,822,false,NA,false
Bukkit/eclipse/org/bukkit/Rotation,true,18,205,false,NA,NA
Bukkit/eclipse/org/bukkit/Chunk,true,0,116,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/ProjectileSource,true,0,42,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
Bukkit/eclipse/org/bukkit/Location,true,190,4496,true,2,true
Bukkit/eclipse/org/bukkit/material/NetherWarts,true,24,496,false,NA,false
Bukkit/eclipse/org/bukkit/material/LongGrass,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/SpawnEgg,true,2,269,true,0,true
Bukkit/eclipse/org/bukkit/material/EnderChest,true,7,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Step,true,14,825,true,1,true
Bukkit/eclipse/org/bukkit/material/Dye,true,8,299,true,0,true
Bukkit/eclipse/org/bukkit/material/Openable,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/FurnaceAndDispenser,true,7,161,true,0,true
Bukkit/eclipse/org/bukkit/material/Cauldron,true,22,282,true,2,true
Bukkit/eclipse/org/bukkit/material/Tree,true,70,746,false,NA,false
Bukkit/eclipse/org/bukkit/material/Diode,true,66,715,false,NA,false
Bukkit/eclipse/org/bukkit/material/Tripwire,true,22,429,false,NA,false
Bukkit/eclipse/org/bukkit/material/Pumpkin,true,63,577,false,NA,false
Bukkit/eclipse/org/bukkit/material/RedstoneWire,true,11,278,true,1,true
Bukkit/eclipse/org/bukkit/material/PistonExtensionMaterial,true,69,627,false,NA,false
Bukkit/eclipse/org/bukkit/material/Coal,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Rails,true,56,1022,false,NA,false
Bukkit/eclipse/org/bukkit/material/MonsterEggs,true,8,417,true,0,true
Bukkit/eclipse/org/bukkit/material/Colorable,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/TexturedMaterial,true,7,535,true,0,true
Bukkit/eclipse/org/bukkit/material/Redstone,true,0,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/TrapDoor,true,64,753,false,NA,false
Bukkit/eclipse/org/bukkit/material/ExtendedRails,true,13,462,true,0,true
Bukkit/eclipse/org/bukkit/material/Gate,true,96,710,false,NA,false
Bukkit/eclipse/org/bukkit/material/Button,true,61,619,false,NA,false
Bukkit/eclipse/org/bukkit/material/Lever,true,121,877,false,NA,false
Bukkit/eclipse/org/bukkit/material/Chest,true,7,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Attachable,true,0,8,true,0,NA
Bukkit/eclipse/org/bukkit/material/Mushroom,true,193,1481,false,NA,false
Bukkit/eclipse/org/bukkit/material/Ladder,true,21,416,false,NA,false
Bukkit/eclipse/org/bukkit/material/Dispenser,true,77,531,false,NA,false
Bukkit/eclipse/org/bukkit/material/WoodenStep,true,10,550,true,1,true
Bukkit/eclipse/org/bukkit/material/DetectorRail,true,10,283,true,0,true
Bukkit/eclipse/org/bukkit/material/CocoaPlant,true,21,911,true,24,true
Bukkit/eclipse/org/bukkit/material/Wool,true,8,334,true,0,true
Bukkit/eclipse/org/bukkit/material/Sandstone,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Stairs,true,69,668,false,NA,false
Bukkit/eclipse/org/bukkit/material/FlowerPot,true,13,1119,true,1,true
Bukkit/eclipse/org/bukkit/material/PressureSensor,true,0,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/Bed,true,75,686,false,NA,false
Bukkit/eclipse/org/bukkit/material/Cake,true,5,428,true,1,true
Bukkit/eclipse/org/bukkit/material/SimpleAttachableMaterialData,true,5,365,true,1,true
Bukkit/eclipse/org/bukkit/material/DirectionalContainer,true,63,449,false,NA,false
Bukkit/eclipse/org/bukkit/material/PressurePlate,true,5,262,true,1,true
Bukkit/eclipse/org/bukkit/material/PoweredRail,true,10,283,true,0,true
Bukkit/eclipse/org/bukkit/material/Torch,true,68,448,false,NA,false
Bukkit/eclipse/org/bukkit/material/Command,true,14,358,true,1,true
Bukkit/eclipse/org/bukkit/material/PistonBaseMaterial,true,74,632,false,NA,false
Bukkit/eclipse/org/bukkit/material/TripwireHook,true,38,757,false,NA,false
Bukkit/eclipse/org/bukkit/material/Crops,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Skull,true,79,546,false,NA,false
Bukkit/eclipse/org/bukkit/material/SmoothBrick,true,8,445,true,0,true
Bukkit/eclipse/org/bukkit/material/Sign,true,196,1279,false,NA,false
Bukkit/eclipse/org/bukkit/material/Directional,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/RedstoneTorch,true,11,286,true,1,true
Bukkit/eclipse/org/bukkit/material/MaterialData,true,33,785,true,0,true
Bukkit/eclipse/org/bukkit/material/Furnace,true,7,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Leaves,true,8,343,true,0,NA
Bukkit/eclipse/org/bukkit/material/Door,true,71,892,false,NA,false
Bukkit/eclipse/org/bukkit/material/Vine,true,173,2034,false,NA,false
Bukkit/eclipse/org/bukkit/BlockChangeDelegate,true,0,166,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/FixedSetPrompt,true,8,211,true,0,true
Bukkit/eclipse/org/bukkit/conversations/ConversationAbandonedEvent,true,9,194,true,0,true
Bukkit/eclipse/org/bukkit/conversations/StringPrompt,true,0,29,true,0,true
Bukkit/eclipse/org/bukkit/conversations/PlayerNamePrompt,true,9,202,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/ConversationContext,true,12,291,true,0,true
