Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/eclipse/org/bukkit/Statistic,true,35,822,false,NA,false
Bukkit/eclipse/org/bukkit/Rotation,true,6,205,true,0,NA
Bukkit/eclipse/org/bukkit/Chunk,true,1,116,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/ProjectileSource,true,1,42,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
Bukkit/eclipse/org/bukkit/Location,true,194,4496,true,32,true
Bukkit/eclipse/org/bukkit/material/NetherWarts,true,10,496,true,8,true
Bukkit/eclipse/org/bukkit/material/LongGrass,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/SpawnEgg,true,2,269,true,0,true
Bukkit/eclipse/org/bukkit/material/EnderChest,true,7,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Step,true,11,825,true,0,true
Bukkit/eclipse/org/bukkit/material/Dye,true,8,299,true,0,true
Bukkit/eclipse/org/bukkit/material/Openable,true,1,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/FurnaceAndDispenser,true,7,161,true,0,true
Bukkit/eclipse/org/bukkit/material/Cauldron,true,18,282,true,8,true
Bukkit/eclipse/org/bukkit/material/Tree,true,26,746,false,NA,false
Bukkit/eclipse/org/bukkit/material/Diode,true,22,715,false,NA,false
Bukkit/eclipse/org/bukkit/material/Tripwire,true,8,429,true,0,true
Bukkit/eclipse/org/bukkit/material/Pumpkin,true,21,577,false,NA,false
Bukkit/eclipse/org/bukkit/material/RedstoneWire,true,8,278,true,0,true
Bukkit/eclipse/org/bukkit/material/PistonExtensionMaterial,true,53,627,true,16,true
Bukkit/eclipse/org/bukkit/material/Coal,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Rails,true,17,1022,false,NA,false
Bukkit/eclipse/org/bukkit/material/MonsterEggs,true,8,417,true,0,true
Bukkit/eclipse/org/bukkit/material/Colorable,true,1,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/TexturedMaterial,true,6,535,true,0,true
Bukkit/eclipse/org/bukkit/material/Redstone,true,1,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/TrapDoor,true,50,753,true,6,true
Bukkit/eclipse/org/bukkit/material/ExtendedRails,true,13,462,true,0,true
Bukkit/eclipse/org/bukkit/material/Gate,true,83,710,true,18,true
Bukkit/eclipse/org/bukkit/material/Button,true,44,619,true,14,true
Bukkit/eclipse/org/bukkit/material/Lever,true,78,877,true,44,true
Bukkit/eclipse/org/bukkit/material/Chest,true,7,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Attachable,true,1,8,true,0,NA
Bukkit/eclipse/org/bukkit/material/Mushroom,true,106,1481,true,32,true
Bukkit/eclipse/org/bukkit/material/Ladder,true,8,416,true,14,true
Bukkit/eclipse/org/bukkit/material/Dispenser,true,26,531,false,NA,false
Bukkit/eclipse/org/bukkit/material/WoodenStep,true,7,550,true,0,true
Bukkit/eclipse/org/bukkit/material/DetectorRail,true,10,283,true,0,true
Bukkit/eclipse/org/bukkit/material/CocoaPlant,true,60,911,false,NA,false
Bukkit/eclipse/org/bukkit/material/Wool,true,8,334,true,0,true
Bukkit/eclipse/org/bukkit/material/Sandstone,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Stairs,true,26,668,false,NA,false
Bukkit/eclipse/org/bukkit/material/FlowerPot,true,10,1119,true,0,true
Bukkit/eclipse/org/bukkit/material/PressureSensor,true,1,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/Bed,true,32,686,false,NA,false
Bukkit/eclipse/org/bukkit/material/Cake,true,2,428,true,0,true
Bukkit/eclipse/org/bukkit/material/SimpleAttachableMaterialData,true,2,365,true,0,true
Bukkit/eclipse/org/bukkit/material/DirectionalContainer,true,21,449,false,NA,false
Bukkit/eclipse/org/bukkit/material/PressurePlate,true,2,262,true,0,true
Bukkit/eclipse/org/bukkit/material/PoweredRail,true,10,283,true,0,true
Bukkit/eclipse/org/bukkit/material/Torch,true,23,448,false,NA,false
Bukkit/eclipse/org/bukkit/material/Command,true,11,358,true,0,true
Bukkit/eclipse/org/bukkit/material/PistonBaseMaterial,true,59,632,true,16,true
Bukkit/eclipse/org/bukkit/material/TripwireHook,true,15,757,true,24,true
Bukkit/eclipse/org/bukkit/material/Crops,true,8,331,true,0,true
Bukkit/eclipse/org/bukkit/material/Skull,true,28,546,false,NA,false
Bukkit/eclipse/org/bukkit/material/SmoothBrick,true,8,445,true,0,true
Bukkit/eclipse/org/bukkit/material/Sign,true,74,1279,false,NA,false
Bukkit/eclipse/org/bukkit/material/Directional,true,1,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/RedstoneTorch,true,8,286,true,0,true
Bukkit/eclipse/org/bukkit/material/MaterialData,true,12,785,true,0,true
Bukkit/eclipse/org/bukkit/material/Furnace,true,7,211,true,0,true
Bukkit/eclipse/org/bukkit/material/Leaves,true,8,343,true,0,NA
Bukkit/eclipse/org/bukkit/material/Door,true,56,892,true,12,true
Bukkit/eclipse/org/bukkit/material/Vine,true,105,2034,true,117,true
Bukkit/eclipse/org/bukkit/BlockChangeDelegate,true,1,166,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/FixedSetPrompt,true,2,211,true,0,true
Bukkit/eclipse/org/bukkit/conversations/ConversationAbandonedEvent,true,3,194,true,0,true
Bukkit/eclipse/org/bukkit/conversations/StringPrompt,true,0,29,true,0,true
