Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/javac/org/bukkit/Statistic,true,35,822,false,NA,false
Bukkit/javac/org/bukkit/Rotation,true,10,205,true,0,NA
Bukkit/javac/org/bukkit/Chunk,true,1,116,true,0,NA
Bukkit/javac/org/bukkit/projectiles/ProjectileSource,true,1,42,true,0,NA
Bukkit/javac/org/bukkit/projectiles/BlockProjectileSource,true,1,8,true,0,NA
Bukkit/javac/org/bukkit/Location,true,194,4496,true,32,true
Bukkit/javac/org/bukkit/material/NetherWarts,true,24,496,false,NA,false
Bukkit/javac/org/bukkit/material/LongGrass,true,8,331,true,0,true
Bukkit/javac/org/bukkit/material/SpawnEgg,true,2,269,true,0,true
Bukkit/javac/org/bukkit/material/EnderChest,true,7,211,true,0,true
Bukkit/javac/org/bukkit/material/Step,true,11,825,true,0,true
Bukkit/javac/org/bukkit/material/Dye,true,8,299,true,0,true
Bukkit/javac/org/bukkit/material/Openable,true,1,14,true,0,NA
Bukkit/javac/org/bukkit/material/FurnaceAndDispenser,true,7,161,true,0,true
Bukkit/javac/org/bukkit/material/Cauldron,true,17,282,true,8,true
Bukkit/javac/org/bukkit/material/Tree,true,49,746,false,NA,false
Bukkit/javac/org/bukkit/material/Diode,true,38,715,false,NA,false
Bukkit/javac/org/bukkit/material/Tripwire,true,8,429,true,0,true
Bukkit/javac/org/bukkit/material/Pumpkin,true,37,577,false,NA,false
Bukkit/javac/org/bukkit/material/RedstoneWire,true,8,278,true,0,true
Bukkit/javac/org/bukkit/material/PistonExtensionMaterial,true,69,627,false,NA,false
Bukkit/javac/org/bukkit/material/Coal,true,8,331,true,0,true
Bukkit/javac/org/bukkit/material/Rails,true,44,1022,false,NA,false
Bukkit/javac/org/bukkit/material/MonsterEggs,true,8,417,true,0,true
Bukkit/javac/org/bukkit/material/Colorable,true,1,14,true,0,NA
Bukkit/javac/org/bukkit/material/TexturedMaterial,true,6,535,true,0,true
Bukkit/javac/org/bukkit/material/Redstone,true,1,5,true,0,NA
Bukkit/javac/org/bukkit/material/TrapDoor,true,62,753,false,NA,false
Bukkit/javac/org/bukkit/material/ExtendedRails,true,13,462,true,0,true
Bukkit/javac/org/bukkit/material/Gate,true,91,710,false,NA,false
Bukkit/javac/org/bukkit/material/Button,true,58,619,false,NA,false
Bukkit/javac/org/bukkit/material/Lever,true,120,877,false,NA,false
Bukkit/javac/org/bukkit/material/Chest,true,7,211,true,0,true
Bukkit/javac/org/bukkit/material/Attachable,true,1,8,true,0,NA
Bukkit/javac/org/bukkit/material/Mushroom,true,132,1481,false,NA,false
Bukkit/javac/org/bukkit/material/Ladder,true,22,416,false,NA,false
Bukkit/javac/org/bukkit/material/Dispenser,true,48,531,false,NA,false
Bukkit/javac/org/bukkit/material/WoodenStep,true,7,550,true,0,true
Bukkit/javac/org/bukkit/material/DetectorRail,true,10,283,true,0,true
Bukkit/javac/org/bukkit/material/CocoaPlant,true,69,911,false,NA,false
Bukkit/javac/org/bukkit/material/Wool,true,8,334,true,0,true
Bukkit/javac/org/bukkit/material/Sandstone,true,8,331,true,0,true
Bukkit/javac/org/bukkit/material/Stairs,true,42,668,false,NA,false
Bukkit/javac/org/bukkit/material/FlowerPot,true,10,1119,true,0,true
Bukkit/javac/org/bukkit/material/PressureSensor,true,1,5,true,0,NA
Bukkit/javac/org/bukkit/material/Bed,true,48,686,false,NA,false
Bukkit/javac/org/bukkit/material/Cake,true,2,428,true,0,true
Bukkit/javac/org/bukkit/material/SimpleAttachableMaterialData,true,2,365,true,0,true
Bukkit/javac/org/bukkit/material/DirectionalContainer,true,37,449,false,NA,false
Bukkit/javac/org/bukkit/material/PressurePlate,true,2,262,true,0,true
Bukkit/javac/org/bukkit/material/PoweredRail,true,10,283,true,0,true
Bukkit/javac/org/bukkit/material/Torch,true,42,448,false,NA,false
Bukkit/javac/org/bukkit/material/Command,true,11,358,true,0,true
Bukkit/javac/org/bukkit/material/PistonBaseMaterial,true,75,632,false,NA,false
Bukkit/javac/org/bukkit/material/TripwireHook,true,27,757,false,NA,false
Bukkit/javac/org/bukkit/material/Crops,true,8,331,true,0,true
Bukkit/javac/org/bukkit/material/Skull,true,50,546,false,NA,false
Bukkit/javac/org/bukkit/material/SmoothBrick,true,8,445,true,0,true
Bukkit/javac/org/bukkit/material/Sign,true,139,1279,false,NA,false
Bukkit/javac/org/bukkit/material/Directional,true,1,14,true,0,NA
Bukkit/javac/org/bukkit/material/RedstoneTorch,true,8,286,true,0,true
Bukkit/javac/org/bukkit/material/MaterialData,true,12,785,true,0,true
Bukkit/javac/org/bukkit/material/Furnace,true,7,211,true,0,true
Bukkit/javac/org/bukkit/material/Leaves,true,8,343,true,0,NA
Bukkit/javac/org/bukkit/material/Door,true,68,892,false,NA,false
Bukkit/javac/org/bukkit/material/Vine,true,159,2034,false,NA,false
Bukkit/javac/org/bukkit/BlockChangeDelegate,true,1,166,true,0,NA
Bukkit/javac/org/bukkit/conversations/FixedSetPrompt,true,2,211,true,0,true
Bukkit/javac/org/bukkit/conversations/ConversationAbandonedEvent,true,3,194,true,0,true
Bukkit/javac/org/bukkit/conversations/StringPrompt,true,0,29,true,0,true
Bukkit/javac/org/bukkit/conversations/PlayerNamePrompt,true,3,202,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationContext,true,3,291,true,0,true
Bukkit/javac/org/bukkit/conversations/ExactMatchConversationCanceller,true,0,138,true,0,true
Bukkit/javac/org/bukkit/conversations/MessagePrompt,true,4,76,true,0,true
Bukkit/javac/org/bukkit/conversations/Prompt,true,1,42,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationCanceller,true,1,30,true,0,NA
Bukkit/javac/org/bukkit/conversations/NullConversationPrefix,true,0,29,true,0,true
Bukkit/javac/org/bukkit/conversations/PluginNameConversationPrefix,true,0,244,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationPrefix,true,1,9,true,0,NA
Bukkit/javac/org/bukkit/conversations/ConversationAbandonedListener,true,1,12,true,0,NA
Bukkit/javac/org/bukkit/conversations/BooleanPrompt,true,6,194,true,0,true
Bukkit/javac/org/bukkit/conversations/Conversation,true,47,1918,false,NA,false
Bukkit/javac/org/bukkit/conversations/NumericPrompt,true,10,396,true,0,true
Bukkit/javac/org/bukkit/conversations/ConversationFactory,true,27,1327,false,NA,false
Bukkit/javac/org/bukkit/conversations/ManuallyAbandonedConversationCanceller,true,0,72,true,0,NA
Bukkit/javac/org/bukkit/conversations/Conversable,true,1,54,true,0,NA
Bukkit/javac/org/bukkit/conversations/RegexPrompt,true,2,158,true,0,true
Bukkit/javac/org/bukkit/conversations/InactivityConversationCanceller,true,41,710,false,NA,NA
Bukkit/javac/org/bukkit/conversations/ValidatingPrompt,true,8,249,true,0,true
Bukkit/javac/org/bukkit/Achievement,true,0,1053,true,0,true
Bukkit/javac/org/bukkit/World,true,103,1680,false,NA,NA
