Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
Bukkit/eclipse/org/bukkit/Statistic,true,242,822,false,NA,false
Bukkit/eclipse/org/bukkit/Rotation,true,61,205,false,NA,NA
Bukkit/eclipse/org/bukkit/Chunk,true,0,116,true,0,NA
Bukkit/eclipse/org/bukkit/projectiles/ProjectileSource,true,6,42,true,4,NA
Bukkit/eclipse/org/bukkit/projectiles/BlockProjectileSource,true,0,8,true,0,NA
Bukkit/eclipse/org/bukkit/Location,true,223,4496,false,NA,false
Bukkit/eclipse/org/bukkit/material/NetherWarts,true,128,496,false,NA,false
Bukkit/eclipse/org/bukkit/material/LongGrass,true,29,331,false,NA,false
Bukkit/eclipse/org/bukkit/material/SpawnEgg,true,20,269,false,NA,false
Bukkit/eclipse/org/bukkit/material/EnderChest,true,14,211,false,NA,false
Bukkit/eclipse/org/bukkit/material/Step,true,42,825,false,NA,false
Bukkit/eclipse/org/bukkit/material/Dye,true,33,299,false,NA,false
Bukkit/eclipse/org/bukkit/material/Openable,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/FurnaceAndDispenser,true,14,161,false,NA,false
Bukkit/eclipse/org/bukkit/material/Cauldron,true,54,282,false,NA,false
Bukkit/eclipse/org/bukkit/material/Tree,true,304,746,false,NA,false
Bukkit/eclipse/org/bukkit/material/Diode,true,293,715,false,NA,false
Bukkit/eclipse/org/bukkit/material/Tripwire,true,49,429,false,NA,false
Bukkit/eclipse/org/bukkit/material/Pumpkin,true,306,577,false,NA,false
Bukkit/eclipse/org/bukkit/material/RedstoneWire,true,38,278,false,NA,false
Bukkit/eclipse/org/bukkit/material/PistonExtensionMaterial,true,281,627,false,NA,false
Bukkit/eclipse/org/bukkit/material/Coal,true,29,331,false,NA,false
Bukkit/eclipse/org/bukkit/material/Rails,true,318,1022,false,NA,false
Bukkit/eclipse/org/bukkit/material/MonsterEggs,true,15,417,false,NA,false
Bukkit/eclipse/org/bukkit/material/Colorable,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/TexturedMaterial,true,32,535,false,NA,false
Bukkit/eclipse/org/bukkit/material/Redstone,true,0,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/TrapDoor,true,305,753,false,NA,false
Bukkit/eclipse/org/bukkit/material/ExtendedRails,true,18,462,false,NA,false
Bukkit/eclipse/org/bukkit/material/Gate,true,324,710,false,NA,false
Bukkit/eclipse/org/bukkit/material/Button,true,299,619,false,NA,false
Bukkit/eclipse/org/bukkit/material/Lever,true,345,877,false,NA,false
Bukkit/eclipse/org/bukkit/material/Chest,true,14,211,false,NA,false
Bukkit/eclipse/org/bukkit/material/Attachable,true,0,8,true,0,NA
Bukkit/eclipse/org/bukkit/material/Mushroom,true,411,1481,false,NA,false
Bukkit/eclipse/org/bukkit/material/Ladder,true,272,416,false,NA,false
Bukkit/eclipse/org/bukkit/material/Dispenser,true,276,531,false,NA,false
Bukkit/eclipse/org/bukkit/material/WoodenStep,true,44,550,false,NA,false
Bukkit/eclipse/org/bukkit/material/DetectorRail,true,22,283,false,NA,false
Bukkit/eclipse/org/bukkit/material/CocoaPlant,true,246,911,false,NA,false
Bukkit/eclipse/org/bukkit/material/Wool,true,29,334,false,NA,false
Bukkit/eclipse/org/bukkit/material/Sandstone,true,29,331,false,NA,false
Bukkit/eclipse/org/bukkit/material/Stairs,true,297,668,false,NA,false
Bukkit/eclipse/org/bukkit/material/FlowerPot,true,26,1119,false,NA,false
Bukkit/eclipse/org/bukkit/material/PressureSensor,true,0,5,true,0,NA
Bukkit/eclipse/org/bukkit/material/Bed,true,302,686,false,NA,false
Bukkit/eclipse/org/bukkit/material/Cake,true,31,428,false,NA,false
Bukkit/eclipse/org/bukkit/material/SimpleAttachableMaterialData,true,20,365,false,NA,false
Bukkit/eclipse/org/bukkit/material/DirectionalContainer,true,284,449,false,NA,false
Bukkit/eclipse/org/bukkit/material/PressurePlate,true,24,262,false,NA,false
Bukkit/eclipse/org/bukkit/material/PoweredRail,true,22,283,false,NA,false
Bukkit/eclipse/org/bukkit/material/Torch,true,274,448,false,NA,false
Bukkit/eclipse/org/bukkit/material/Command,true,38,358,false,NA,false
Bukkit/eclipse/org/bukkit/material/PistonBaseMaterial,true,295,632,false,NA,false
Bukkit/eclipse/org/bukkit/material/TripwireHook,true,320,757,false,NA,false
Bukkit/eclipse/org/bukkit/material/Crops,true,29,331,false,NA,false
Bukkit/eclipse/org/bukkit/material/Skull,true,287,546,false,NA,false
Bukkit/eclipse/org/bukkit/material/SmoothBrick,true,15,445,false,NA,false
Bukkit/eclipse/org/bukkit/material/Sign,true,354,1279,false,NA,false
Bukkit/eclipse/org/bukkit/material/Directional,true,0,14,true,0,NA
Bukkit/eclipse/org/bukkit/material/RedstoneTorch,true,37,286,false,NA,false
Bukkit/eclipse/org/bukkit/material/MaterialData,true,62,785,false,NA,false
Bukkit/eclipse/org/bukkit/material/Furnace,true,14,211,false,NA,false
Bukkit/eclipse/org/bukkit/material/Leaves,true,29,343,false,NA,NA
Bukkit/eclipse/org/bukkit/material/Door,true,319,892,false,NA,false
Bukkit/eclipse/org/bukkit/material/Vine,true,497,2034,false,NA,false
Bukkit/eclipse/org/bukkit/BlockChangeDelegate,true,10,166,true,5,NA
Bukkit/eclipse/org/bukkit/conversations/FixedSetPrompt,true,13,211,false,NA,false
Bukkit/eclipse/org/bukkit/conversations/ConversationAbandonedEvent,true,11,194,true,0,true
Bukkit/eclipse/org/bukkit/conversations/StringPrompt,true,0,29,true,0,true
Bukkit/eclipse/org/bukkit/conversations/PlayerNamePrompt,true,11,202,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/ConversationContext,true,3,291,true,4,true
Bukkit/eclipse/org/bukkit/conversations/ExactMatchConversationCanceller,true,8,138,false,NA,false
Bukkit/eclipse/org/bukkit/conversations/MessagePrompt,true,4,76,true,0,true
Bukkit/eclipse/org/bukkit/conversations/Prompt,true,0,42,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/ConversationCanceller,true,0,30,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/NullConversationPrefix,true,0,29,true,0,true
Bukkit/eclipse/org/bukkit/conversations/PluginNameConversationPrefix,true,17,244,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/ConversationPrefix,true,0,9,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/ConversationAbandonedListener,true,0,12,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/BooleanPrompt,true,6,194,true,0,true
Bukkit/eclipse/org/bukkit/conversations/Conversation,true,451,1918,false,NA,false
Bukkit/eclipse/org/bukkit/conversations/NumericPrompt,true,26,396,true,12,true
Bukkit/eclipse/org/bukkit/conversations/ConversationFactory,true,325,1327,true,NA,false
Bukkit/eclipse/org/bukkit/conversations/ManuallyAbandonedConversationCanceller,true,8,72,false,NA,NA
Bukkit/eclipse/org/bukkit/conversations/Conversable,true,0,54,true,0,NA
Bukkit/eclipse/org/bukkit/conversations/RegexPrompt,true,2,158,true,0,true
Bukkit/eclipse/org/bukkit/conversations/InactivityConversationCanceller,true,166,710,false,NA,NA
Bukkit/eclipse/org/bukkit/conversations/ValidatingPrompt,true,28,249,true,0,true
Bukkit/eclipse/org/bukkit/Achievement,true,303,1053,false,NA,false
Bukkit/eclipse/org/bukkit/World,true,1144,1680,false,NA,NA
Bukkit/eclipse/org/bukkit/EntityEffect,true,157,496,false,NA,false
Bukkit/eclipse/org/bukkit/Effect,true,296,1326,false,NA,false
Bukkit/eclipse/org/bukkit/Server,true,8,783,false,NA,NA
Bukkit/eclipse/org/bukkit/event/world/WorldUnloadEvent,true,8,143,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/ChunkEvent,true,1,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/PortalCreateEvent,true,118,385,true,NA,NA
Bukkit/eclipse/org/bukkit/event/world/WorldInitEvent,true,2,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/WorldEvent,true,1,68,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/WorldSaveEvent,true,2,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/SpawnChangeEvent,true,3,133,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/ChunkPopulateEvent,true,2,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/StructureGrowEvent,true,6,438,true,6,NA
Bukkit/eclipse/org/bukkit/event/world/WorldLoadEvent,true,2,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/ChunkUnloadEvent,true,2,146,true,0,NA
Bukkit/eclipse/org/bukkit/event/world/ChunkLoadEvent,true,3,135,true,0,NA
Bukkit/eclipse/org/bukkit/event/weather/LightningStrikeEvent,true,3,197,true,0,NA
Bukkit/eclipse/org/bukkit/event/weather/WeatherChangeEvent,true,3,199,true,0,NA
Bukkit/eclipse/org/bukkit/event/weather/ThunderChangeEvent,true,3,199,true,0,NA
Bukkit/eclipse/org/bukkit/event/weather/WeatherEvent,true,1,68,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleExitEvent,true,6,197,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleBlockCollisionEvent,true,3,133,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleDestroyEvent,true,6,197,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleUpdateEvent,true,2,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleDamageEvent,true,13,428,true,3,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleEvent,true,1,68,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleEnterEvent,true,6,197,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleEntityCollisionEvent,true,6,328,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleMoveEvent,true,4,187,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleCollisionEvent,true,1,23,true,0,NA
Bukkit/eclipse/org/bukkit/event/vehicle/VehicleCreateEvent,true,2,79,true,0,NA
Bukkit/eclipse/org/bukkit/event/hanging/HangingBreakByEntityEvent,true,2,81,true,0,NA
Bukkit/eclipse/org/bukkit/event/hanging/HangingBreakEvent,true,112,326,false,NA,NA
