Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-codec/eclipse/org/apache/commons/codec/StringDecoder,true,0,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/DecoderException,true,5,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/Decoder,true,0,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoder,true,0,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/net/QCodec,true,165,2528,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/QuotedPrintableCodec,true,149,2268,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/RFC1522Codec,true,33,1204,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/BCodec,true,48,994,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/Utils,true,13,142,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/URLCodec,true,184,2301,true,0,true
commons-codec/eclipse/org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoderComparator,true,11,322,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone1,true,5,2156,true,1,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,9,820,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/Rule,true,531,8598,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/NameType,true,1,133,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/RuleType,true,1,133,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/Languages,true,296,2277,true,18,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/Lang,true,124,1846,true,60,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/PhoneticEngine,true,300,5845,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/ResourceConstants,true,5,52,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/Nysiis,true,81,2627,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/AbstractCaverphone,true,7,175,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/ColognePhonetic,true,363,3533,true,168,true
commons-codec/eclipse/org/apache/commons/codec/language/DoubleMetaphone,true,3696,16763,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone2,true,5,2264,true,1,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone,true,9,275,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/SoundexUtils,true,17,623,true,16,true
commons-codec/eclipse/org/apache/commons/codec/language/Soundex,true,106,1468,true,80,true
commons-codec/eclipse/org/apache/commons/codec/language/MatchRatingApproachEncoder,true,278,3792,true,44,true
commons-codec/eclipse/org/apache/commons/codec/language/RefinedSoundex,true,37,925,true,20,true
commons-codec/eclipse/org/apache/commons/codec/language/Metaphone,true,265,4545,true,177,true
commons-codec/eclipse/org/apache/commons/codec/Encoder,true,0,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/BinaryDecoder,true,0,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/EncoderException,true,5,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/BinaryEncoder,true,0,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/Charsets,true,28,343,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/B64,true,9,353,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacUtils,true,136,3372,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/Md5Crypt,true,82,2461,true,155,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacAlgorithms,true,5,180,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/Crypt,true,36,458,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/DigestUtils,true,176,2927,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/digest/UnixCrypt,true,7011,10756,true,2428,true
commons-codec/eclipse/org/apache/commons/codec/digest/Sha2Crypt,true,90,5675,true,434,true
commons-codec/eclipse/org/apache/commons/codec/binary/CharSequenceUtils,true,16,378,true,20,NA
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecOutputStream,true,149,1213,true,20,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64,true,1164,7614,true,376,true
commons-codec/eclipse/org/apache/commons/codec/binary/Hex,true,65,1826,true,27,false
commons-codec/eclipse/org/apache/commons/codec/binary/BinaryCodec,true,146,2251,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodec,true,283,3581,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base32,true,1684,9816,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/StringUtils,true,42,1244,true,1,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecInputStream,true,125,1381,true,28,true
