Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-codec/eclipse/org/apache/commons/codec/StringDecoder,true,1,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/DecoderException,true,5,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/Decoder,true,1,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoder,true,1,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/net/QCodec,true,440,2528,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/QuotedPrintableCodec,true,530,2268,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/RFC1522Codec,true,221,1204,true,263,true
commons-codec/eclipse/org/apache/commons/codec/net/BCodec,true,234,994,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/Utils,true,51,142,true,20,true
commons-codec/eclipse/org/apache/commons/codec/net/URLCodec,true,559,2301,true,326,true
commons-codec/eclipse/org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoderComparator,true,52,322,true,20,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone1,true,260,2156,true,245,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,296,820,true,134,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/Rule,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/NameType,true,NA,133,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/RuleType,true,NA,133,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/Languages,true,624,2277,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/Lang,true,574,1846,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/PhoneticEngine,true,1527,5845,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/ResourceConstants,true,5,52,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/Nysiis,true,643,2627,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/AbstractCaverphone,true,19,175,true,18,true
commons-codec/eclipse/org/apache/commons/codec/language/ColognePhonetic,true,796,3533,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/DoubleMetaphone,true,5941,16763,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone2,true,272,2264,true,257,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone,true,28,275,true,19,NA
commons-codec/eclipse/org/apache/commons/codec/language/SoundexUtils,true,102,623,true,94,true
commons-codec/eclipse/org/apache/commons/codec/language/Soundex,true,229,1468,true,145,true
commons-codec/eclipse/org/apache/commons/codec/language/MatchRatingApproachEncoder,true,775,3792,true,484,true
commons-codec/eclipse/org/apache/commons/codec/language/RefinedSoundex,true,104,925,true,92,true
commons-codec/eclipse/org/apache/commons/codec/language/Metaphone,true,647,4545,true,942,false
commons-codec/eclipse/org/apache/commons/codec/Encoder,true,1,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/BinaryDecoder,true,1,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/EncoderException,true,5,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/BinaryEncoder,true,1,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/Charsets,true,145,343,true,48,true
commons-codec/eclipse/org/apache/commons/codec/digest/B64,true,87,353,true,46,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacUtils,true,232,3372,true,111,true
commons-codec/eclipse/org/apache/commons/codec/digest/Md5Crypt,true,415,2461,true,364,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacAlgorithms,true,NA,180,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/digest/Crypt,true,56,458,true,46,true
commons-codec/eclipse/org/apache/commons/codec/digest/DigestUtils,true,195,2927,true,42,true
commons-codec/eclipse/org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/digest/UnixCrypt,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/digest/Sha2Crypt,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/CharSequenceUtils,true,89,378,true,87,NA
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecOutputStream,true,140,1213,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Hex,true,398,1826,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BinaryCodec,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodec,false,NA,NA,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/Base32,true,2488,9816,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/StringUtils,true,170,1244,true,114,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecInputStream,true,311,1381,false,NA,false
