Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-codec/javac/org/apache/commons/codec/StringDecoder,true,2,15,false,NA,NA
commons-codec/javac/org/apache/commons/codec/DecoderException,true,5,103,true,0,true
commons-codec/javac/org/apache/commons/codec/Decoder,true,2,12,false,NA,NA
commons-codec/javac/org/apache/commons/codec/StringEncoder,true,2,15,false,NA,NA
commons-codec/javac/org/apache/commons/codec/net/QCodec,true,380,2528,false,NA,false
commons-codec/javac/org/apache/commons/codec/net/QuotedPrintableCodec,true,398,2268,false,NA,false
commons-codec/javac/org/apache/commons/codec/net/RFC1522Codec,true,195,1204,false,NA,false
commons-codec/javac/org/apache/commons/codec/net/BCodec,true,185,994,false,NA,false
commons-codec/javac/org/apache/commons/codec/net/Utils,true,30,142,false,NA,false
commons-codec/javac/org/apache/commons/codec/net/URLCodec,true,457,2301,false,NA,false
commons-codec/javac/org/apache/commons/codec/CharEncoding,true,3,60,true,0,NA
commons-codec/javac/org/apache/commons/codec/StringEncoderComparator,true,22,322,true,13,true
commons-codec/javac/org/apache/commons/codec/language/Caverphone1,true,419,2156,true,129,true
commons-codec/javac/org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,29,820,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/Rule,true,1544,8598,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/NameType,true,137,133,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/RuleType,true,137,133,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/Languages,true,549,2277,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/Lang,true,295,1846,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/PhoneticEngine,true,1301,5845,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/bm/ResourceConstants,true,5,52,true,0,NA
commons-codec/javac/org/apache/commons/codec/language/Nysiis,true,506,2627,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/AbstractCaverphone,true,7,175,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/ColognePhonetic,true,1158,3533,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/DoubleMetaphone,true,7314,16763,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/Caverphone2,true,440,2264,true,135,true
commons-codec/javac/org/apache/commons/codec/language/Caverphone,true,16,275,false,NA,NA
commons-codec/javac/org/apache/commons/codec/language/SoundexUtils,true,123,623,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/Soundex,true,255,1468,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/MatchRatingApproachEncoder,true,984,3792,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/RefinedSoundex,true,133,925,false,NA,false
commons-codec/javac/org/apache/commons/codec/language/Metaphone,true,973,4545,false,NA,false
commons-codec/javac/org/apache/commons/codec/Encoder,true,2,12,false,NA,NA
commons-codec/javac/org/apache/commons/codec/BinaryDecoder,true,2,21,false,NA,NA
commons-codec/javac/org/apache/commons/codec/EncoderException,true,5,103,true,0,true
commons-codec/javac/org/apache/commons/codec/BinaryEncoder,true,2,21,true,2,NA
commons-codec/javac/org/apache/commons/codec/Charsets,true,114,343,true,35,true
commons-codec/javac/org/apache/commons/codec/digest/B64,true,108,353,true,58,true
commons-codec/javac/org/apache/commons/codec/digest/HmacUtils,false,NA,NA,false,NA,false
commons-codec/javac/org/apache/commons/codec/digest/Md5Crypt,true,316,2461,true,278,true
commons-codec/javac/org/apache/commons/codec/digest/HmacAlgorithms,true,193,180,false,NA,false
commons-codec/javac/org/apache/commons/codec/digest/Crypt,true,42,458,true,8,true
commons-codec/javac/org/apache/commons/codec/digest/DigestUtils,true,204,2927,false,NA,false
commons-codec/javac/org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
commons-codec/javac/org/apache/commons/codec/digest/UnixCrypt,true,8958,10756,false,NA,false
commons-codec/javac/org/apache/commons/codec/digest/Sha2Crypt,true,885,5675,true,1245,true
commons-codec/javac/org/apache/commons/codec/binary/CharSequenceUtils,true,113,378,true,90,NA
commons-codec/javac/org/apache/commons/codec/binary/BaseNCodecOutputStream,true,164,1213,false,NA,false
commons-codec/javac/org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
commons-codec/javac/org/apache/commons/codec/binary/Base64,true,2691,7614,false,NA,false
commons-codec/javac/org/apache/commons/codec/binary/Hex,true,400,1826,false,NA,false
commons-codec/javac/org/apache/commons/codec/binary/BinaryCodec,true,365,2251,false,NA,false
commons-codec/javac/org/apache/commons/codec/binary/BaseNCodec,true,550,3581,false,NA,false
commons-codec/javac/org/apache/commons/codec/binary/Base32,true,3498,9816,false,NA,false
commons-codec/javac/org/apache/commons/codec/binary/StringUtils,true,105,1244,true,43,true
commons-codec/javac/org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
commons-codec/javac/org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
commons-codec/javac/org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
commons-codec/javac/org/apache/commons/codec/binary/BaseNCodecInputStream,true,198,1381,false,NA,false
