Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-codec/eclipse/org/apache/commons/codec/StringDecoder,true,1,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/DecoderException,true,1,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/Decoder,true,1,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoder,true,1,15,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/net/QCodec,true,75,2528,true,2,true
commons-codec/eclipse/org/apache/commons/codec/net/QuotedPrintableCodec,true,88,2268,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/net/RFC1522Codec,true,37,1204,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/BCodec,true,36,994,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/Utils,true,9,142,true,0,true
commons-codec/eclipse/org/apache/commons/codec/net/URLCodec,true,103,2301,true,17,true
commons-codec/eclipse/org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/StringEncoderComparator,true,5,322,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone1,true,13,2156,true,1,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,11,820,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/Rule,true,410,8598,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/NameType,true,17,133,true,20,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/RuleType,true,17,133,true,20,true
commons-codec/eclipse/org/apache/commons/codec/language/bm/Languages,true,156,2277,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/Lang,true,88,1846,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/PhoneticEngine,true,123,5845,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/language/bm/ResourceConstants,true,3,52,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/Nysiis,true,129,2627,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/AbstractCaverphone,true,4,175,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/ColognePhonetic,true,238,3533,true,150,true
commons-codec/eclipse/org/apache/commons/codec/language/DoubleMetaphone,true,703,16763,true,71,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone2,true,13,2264,true,1,true
commons-codec/eclipse/org/apache/commons/codec/language/Caverphone,true,7,275,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/language/SoundexUtils,true,0,623,true,0,true
commons-codec/eclipse/org/apache/commons/codec/language/Soundex,true,74,1468,true,39,true
commons-codec/eclipse/org/apache/commons/codec/language/MatchRatingApproachEncoder,true,359,3792,true,88,true
commons-codec/eclipse/org/apache/commons/codec/language/RefinedSoundex,true,48,925,true,35,true
commons-codec/eclipse/org/apache/commons/codec/language/Metaphone,true,283,4545,true,92,true
commons-codec/eclipse/org/apache/commons/codec/Encoder,true,1,12,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/BinaryDecoder,true,1,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/EncoderException,true,1,103,true,0,true
commons-codec/eclipse/org/apache/commons/codec/BinaryEncoder,true,1,21,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/Charsets,true,75,343,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/B64,true,9,353,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacUtils,true,29,3372,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/Md5Crypt,true,51,2461,true,1,true
commons-codec/eclipse/org/apache/commons/codec/digest/HmacAlgorithms,true,26,180,true,28,true
commons-codec/eclipse/org/apache/commons/codec/digest/Crypt,true,30,458,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/DigestUtils,true,43,2927,true,0,true
commons-codec/eclipse/org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/digest/UnixCrypt,true,257,10756,true,6,true
commons-codec/eclipse/org/apache/commons/codec/digest/Sha2Crypt,true,87,5675,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/CharSequenceUtils,true,2,378,true,0,NA
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecOutputStream,true,118,1213,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base32OutputStream,true,0,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64,true,302,7614,true,13,true
commons-codec/eclipse/org/apache/commons/codec/binary/Hex,true,49,1826,false,NA,false
commons-codec/eclipse/org/apache/commons/codec/binary/BinaryCodec,true,66,2251,true,14,true
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodec,true,231,3581,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base32,true,465,9816,true,17,true
commons-codec/eclipse/org/apache/commons/codec/binary/StringUtils,true,6,1244,true,1,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64OutputStream,true,0,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base64InputStream,true,0,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/Base32InputStream,true,0,167,true,0,true
commons-codec/eclipse/org/apache/commons/codec/binary/BaseNCodecInputStream,true,163,1381,true,0,true
