Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-collections/javac/org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,125,873,true,47,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,51,440,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/TiedMapEntry,true,142,955,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/package-info,false,NA,NA,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/keyvalue/MultiKey,true,141,1100,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,50,515,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,17,286,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,112,674,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,13,250,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/TransformedSortedSet,true,91,973,true,22,true
commons-collections/javac/org/apache/commons/collections4/set/TransformedSet,true,48,485,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/CompositeSet,true,579,2981,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/AbstractSetDecorator,true,5,106,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/PredicatedSet,true,9,184,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/package-info,false,NA,NA,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/set/MapBackedSet,true,141,1559,true,24,true
commons-collections/javac/org/apache/commons/collections4/set/PredicatedSortedSet,true,50,625,true,18,true
commons-collections/javac/org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,13,173,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/UnmodifiableSortedSet,true,86,719,true,23,true
commons-collections/javac/org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,36,400,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/UnmodifiableSet,true,53,408,true,21,true
commons-collections/javac/org/apache/commons/collections4/set/ListOrderedSet,true,395,2629,false,NA,false
commons-collections/javac/org/apache/commons/collections4/ResettableIterator,true,2,13,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/bag/PredicatedBag,true,33,424,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,18,229,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/TreeBag,true,40,756,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/SynchronizedSortedBag,true,28,308,true,14,true
commons-collections/javac/org/apache/commons/collections4/bag/TransformedSortedBag,true,64,639,true,16,true
commons-collections/javac/org/apache/commons/collections4/bag/PredicatedSortedBag,true,23,309,true,12,true
commons-collections/javac/org/apache/commons/collections4/bag/package-info,false,NA,NA,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/bag/AbstractBagDecorator,true,23,322,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/CollectionSortedBag,true,143,1102,true,66,true
